,구동명,202001,202101,202201,위도,경도
241,양천구 신월1동,21725,21212,20686,37.532808,126.831487
242,양천구 신월2동,22111,21416,20790,37.5249763,126.8444512
243,양천구 신월3동,16656,15879,15316,37.5336234,126.8291541
244,양천구 신월4동,19009,18446,17961,37.5246218,126.8401341
245,양천구 신월5동,15554,15126,14776,37.5386227,126.8271621
246,양천구 신월6동,6583,13846,13937,37.5180328,126.8451512
247,양천구 신월7동,21567,20568,19820,37.5219343,126.8346571
248,양천구 신정1동,21606,21023,20473,37.5185289,126.8542636
249,양천구 신정2동,20705,20147,19570,37.5192314,126.870679
250,양천구 신정3동,48158,46710,49997,37.5151685,126.8547892
251,양천구 신정6동,25267,25000,24551,37.5170414,126.8644471
252,양천구 신정7동,30869,30023,29076,37.514393,126.8597007
253,양천구 목5동,42951,42257,41222,37.5371201,126.8816206
254,양천구 신정4동,35541,34133,33392,37.5245455,126.8558042
255,강서구,598097,584773,579439,,
256,강서구 염창동,42601,41982,41725,37.553751,126.8709777
257,강서구 등촌1동,23757,24389,24515,37.5558155,126.8589287
258,강서구 등촌2동,21857,21095,20394,37.542658,126.8625
259,강서구 등촌3동,32367,31588,30642,37.5589789,126.847881
260,강서구 화곡본동,35917,34993,34635,37.544075,126.847725
261,강서구 화곡2동,19400,18702,18040,37.531817,126.854613
262,강서구 화곡3동,22676,21824,21703,37.5425392,126.8384231
263,강서구 화곡4동,22023,21383,20827,37.5346476,126.8609068
264,강서구 화곡6동,25233,25096,25152,37.5518173,126.8501301
265,강서구 화곡8동,26487,25539,24800,37.5326541,126.848335
266,강서구 가양1동,34195,34545,34361,37.5695239,126.8447099
267,강서구 가양2동,15135,14507,14089,37.5673763,126.8512826
268,강서구 가양3동,16205,15548,15107,37.561092,126.8605955
269,강서구 발산1동,38506,37390,36569,37.5531209,126.8331686
270,강서구 공항동,28274,27539,31442,37.5588296,126.8101437
271,강서구 방화1동,45647,44408,43143,37.5703659,126.817026
272,강서구 방화2동,24022,23486,23636,37.5666997,126.8067549
273,강서구 방화3동,24468,23473,22862,37.5787386,126.8135628
274,강서구 화곡1동,54561,53311,52729,37.530408,126.841562
275,강서구 우장산동,44766,43975,43068,37.5482468,126.8418849
276,구로구,439424,430720,420754,,
