,사용월,호선명,지하철역,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,code,y,x
27,202201,2호선,건대입구,160,3,11003,1831,17561,18036,43561,21970,84848,54215,55926,43859,32405,36266,31998,41044,37873,51566,41002,58567,42837,61094,49182,69960,60257,83167,68079,104840,77699,133532,58479,77686,89667,43347,121546,65237,29609,32911,6840,12199,12,1366,0,0,0,0,0,0,212.0,37.540693,127.07023
28,202101,2호선,건대입구,99,2,10196,1647,15521,14964,41543,22036,73021,51470,48020,39280,26759,29168,25530,31157,29378,38195,32171,43861,34681,46822,37936,52087,43920,60841,53211,77361,67571,106890,49289,66800,67062,38480,73464,48501,16354,21459,4654,9211,6,990,0,0,0,0,0,0,212.0,37.540693,127.07023
29,202001,2호선,건대입구,361,14,19296,2185,23853,17018,53568,24729,101425,61012,66971,49469,40200,44069,40058,52620,47231,63951,53460,73940,55380,74019,59621,79476,68913,90855,83393,119274,96144,180881,75490,143384,77146,79108,91670,69914,97736,63550,62769,39222,10976,12858,105,1401,0,18,0,0,212.0,37.540693,127.07023
30,202201,2호선,구로디지털단지,171,1,30953,4584,45666,19732,115462,75250,166053,232448,99314,133395,57768,52171,53821,42184,59399,43188,60659,53925,57615,53966,61328,60867,72020,70677,118200,95606,206392,147253,94355,113482,64544,72612,66660,105544,22577,55253,5068,21466,1,62,0,0,0,0,0,0,232.0,37.485266,126.901401
31,202101,2호선,구로디지털단지,149,3,31848,4770,45017,21267,111142,69658,154198,211123,92286,127296,51478,48906,45411,38770,48793,40228,51787,45958,49036,47016,50311,55875,60112,61801,105315,90648,186197,136745,93693,110343,61018,69837,55066,89145,19572,38694,5003,16148,4,148,0,0,0,0,0,0,232.0,37.485266,126.901401
32,202001,2호선,구로디지털단지,176,8,36222,6567,50999,21744,139244,69743,190840,257694,123694,162115,77448,65489,69778,56558,76687,56283,80417,70543,73475,72047,77618,79279,90821,86852,129318,115856,238715,168175,128015,154457,79629,95397,66509,99533,55684,100145,27349,62035,4356,17001,33,747,0,1,0,0,232.0,37.485266,126.901401
33,202201,2호선,당산,20,0,5401,2382,14146,10075,38004,22965,48315,66397,29789,31356,19798,16589,20075,15994,20883,18044,21323,19531,20448,19677,21206,22395,23500,26980,34710,38543,52524,63502,22541,41963,20261,28259,24586,42560,8570,17956,2307,7943,0,211,0,0,0,0,0,0,237.0,37.53438,126.902281
34,202101,2호선,당산,19,1,4792,2138,13516,9641,35071,21563,42891,64173,25738,31172,16216,15874,15537,14023,17031,15344,17639,16789,17103,17379,17593,18963,20736,22882,30118,32747,49418,54310,21964,37766,18626,24476,20165,30772,7108,11361,2284,5877,2,227,0,0,0,0,0,0,237.0,37.53438,126.902281
35,202001,2호선,당산,25,1,5944,3125,16394,13688,44121,25327,60965,83949,36644,41036,25842,22919,25892,21786,26252,22066,26807,25139,25029,25407,25922,27734,28828,32495,42618,42750,66782,71652,33742,56955,22931,35666,22909,34686,19895,33703,10639,22345,1640,5963,17,266,0,3,0,0,237.0,37.53438,126.902281
36,202201,2호선,도림천,0,0,274,346,984,693,2923,2538,3202,5470,1805,2396,1768,1477,1614,1233,2545,1885,1621,1448,1944,1819,2088,1512,2650,1938,2769,2162,3798,2789,1767,2336,740,1539,973,2078,262,1101,120,440,0,24,0,2,0,0,0,0,247.0,37.514287,126.882768
