,구동명,202001,202101,202201
888,강동구 명일1동,26732,26322,25952
889,강동구 명일2동,17768,17594,17565
890,강동구 고덕1동,27099,25933,24313
891,강동구 고덕2동,20322,22683,22432
892,강동구 암사2동,14968,15471,15253
893,강동구 암사3동,18678,18356,17927
894,강동구 천호1동,28408,27690,26946
895,강동구 천호3동,28015,27094,26959
896,강동구 성내1동,20587,20319,20070
897,강동구 성내2동,25205,24844,24040
898,강동구 성내3동,23954,23744,23297
899,강동구 둔촌1동,283,260,144
900,강동구 둔촌2동,27709,25769,24745
901,강동구 암사1동,36689,35587,34823
902,강동구 천호2동,35843,35070,33706
903,강동구 길동,46230,46829,45927
904,강동구 상일1동,,,38922
905,강동구 상일2동,,,10204
