,grid_idx,pp_pop,pp_od,bs_ebit,geometry_grids,sigungunm,platplc,x,y,x_5179,y_5179,bdnm,bd_platarea,bd_archarea,bd_totarea,bd_totflrcnt,bd_elvtent,bs_gas,bs_elct,bd_height,bd_ilp,bd_vintage,count
2103,30695,11889.2003239555,123443.85823023388,1036637026385.2252,"POLYGON ((957035.230213883 1939965.54807064, 957035.230213883 1940065.54807064, 957135.230213883 1940065.54807064, 957135.230213883 1939965.54807064, 957035.230213883 1939965.54807064))",서초구,서울특별시 서초구 우면동 595-11번지,127.01505095,37.458039121,957111.208183916,1939981.4765636895,NoData,429.0,170.88,726.47,4,1.0,8271.0,5220.0,13.95,3605000.0,40.0,9
2104,30721,77632.18003797521,3919561.544647106,693343754959.0416,"POLYGON ((957035.230213883 1942565.54807064, 957035.230213883 1942665.54807064, 957135.230213883 1942665.54807064, 957135.230213883 1942565.54807064, 957035.230213883 1942565.54807064))",서초구,서울특별시 서초구 서초동 1452-8번지,127.014376019,37.481999211,957065.2235859352,1942639.9912769597,"도원빌딩, 신빌딩, DS HALL빌딩, 서초동 하임사옥, 아트빌딩",4301.1,2309.0,13474.869999999999,43,0.8333333333333334,106680.0,123277.0,19.128333333333334,10587000.0,23.333333333333332,20
2105,30722,80613.19150067017,4209946.612367037,894360031104.4445,"POLYGON ((957035.230213883 1942665.54807064, 957035.230213883 1942765.54807064, 957135.230213883 1942765.54807064, 957135.230213883 1942665.54807064, 957035.230213883 1942665.54807064))",서초구,서울특별시 서초구 서초동 1454-3번지,127.01475082,37.482740072,957098.7841442642,1942722.0140352775,우면성,237.4,129.09,468.81,4,0.0,834.0,10352.0,10.7,7893000.0,21.0,20
2106,30724,85177.91406968157,4652035.688224962,1068350928457.864,"POLYGON ((957035.230213883 1942865.54807064, 957035.230213883 1942965.54807064, 957135.230213883 1942965.54807064, 957135.230213883 1942865.54807064, 957035.230213883 1942865.54807064))",서초구,서울특별시 서초구 서초동 1457-2번지,127.01445412,37.484378657,957073.4900314468,1942903.9394218335,NoData,1381.3,662.7,4228.77,12,0.0,10033.0,108232.0,20.75,17200000.0,33.5,20
2107,30725,85807.42594566224,4953947.805292137,1114802970272.0674,"POLYGON ((957035.230213883 1942965.54807064, 957035.230213883 1943065.54807064, 957135.230213883 1943065.54807064, 957135.230213883 1942965.54807064, 957035.230213883 1942965.54807064))",서초구,서울특별시 서초구 서초동 1602-1번지,127.014782615,37.484955184,957102.8616903278,1942967.7515610764,"서초 어반하이 오피스텔, 스위트서초, 그린빌오피스텔, 제일빌딩, 동산빌딩, BC서초타워",6893.3,3191.7400000000002,54538.759999999995,98,0.8571428571428571,253168.0,451943.0,38.75,22061428.57142857,20.142857142857142,20
2108,30726,87290.7175701781,5155557.216238279,1121610307120.6577,"POLYGON ((957035.230213883 1943065.54807064, 957035.230213883 1943165.54807064, 957135.230213883 1943165.54807064, 957135.230213883 1943065.54807064, 957035.230213883 1943065.54807064))",서초구,서울특별시 서초구 서초동 1601-1번지,127.014480983,37.486182766,957076.8971618776,1943104.0811756663,"브이 샤르망, 쁘띠오피스텔, 동양라디안루키, 서초신성미소시티, 서초로젠빌오피스텔",6109.7,3518.81,49161.16,83,1.5,269207.0,569986.0,35.891666666666666,23763333.333333332,22.166666666666668,20
2109,30727,88715.80859910362,5333227.628227075,1142298950924.3718,"POLYGON ((957035.230213883 1943165.54807064, 957035.230213883 1943265.54807064, 957135.230213883 1943265.54807064, 957135.230213883 1943165.54807064, 957035.230213883 1943165.54807064))",서초구,서울특별시 서초구 서초동 1599-12번지,127.014642056,37.48708236,957091.651706074,1943203.8117974072,"송산빌딩, LG서초에클라트, 서초프라비다",4890.3,2640.44,55957.49999999999,70,1.2,795023.0,283967.0,41.75,25382000.0,14.8,20
2110,30728,91210.2895643813,5522152.981195415,1203256771348.5938,"POLYGON ((957035.230213883 1943265.54807064, 957035.230213883 1943365.54807064, 957135.230213883 1943365.54807064, 957135.230213883 1943265.54807064, 957035.230213883 1943265.54807064))",서초구,서울특별시 서초구 서초동 1624-11번지,127.015076292,37.487724598,957130.4078427638,1943274.866067932,"서초빌딩, 영빌딩, 큐브플러스, 한성빌딩, 동궁빌딩",3454.6,1793.8799999999999,15661.56,49,0.8333333333333334,159156.0,167341.0,23.941666666666666,21313333.333333332,27.166666666666668,20
2111,30729,91744.00207584044,5729160.520781398,1256507230840.119,"POLYGON ((957035.230213883 1943365.54807064, 957035.230213883 1943465.54807064, 957135.230213883 1943465.54807064, 957135.230213883 1943365.54807064, 957035.230213883 1943365.54807064))",서초구,서울특별시 서초구 서초동 1577-7번지,127.014214485,37.489100738,957055.0072984586,1943427.932602984,서운빌딩,414.3,205.83,1836.54,8,1.0,13941.0,13580.0,25.0,23100000.0,29.0,20
2112,30730,92158.99412010104,6040774.0793063175,1280405595978.5789,"POLYGON ((957035.230213883 1943465.54807064, 957035.230213883 1943565.54807064, 957135.230213883 1943565.54807064, 957135.230213883 1943465.54807064, 957035.230213883 1943465.54807064))",서초구,서울특별시 서초구 서초동 1577-11번지,127.014080459,37.489763573,957043.5384761874,1943501.5309789171,"미래빌딩, 예성빌딩",530.6,263.54,2459.75,18,1.0,4544.0,31113.0,24.25,21725000.0,28.0,20
