,grid_idx,pp_pop,pp_od,pp_drr,bs_ebit,geometry_grids,sigungunm,platplc,x,y,x_5179,y_5179,bdnm,bd_platarea,bd_archarea,bd_totarea,bd_totflrcnt,bd_elvtent,bs_gas,bs_elct,bd_height,bd_ilp,bd_vintage,count
3626,37895,86397.123238126,2845728.49530924,15.76441763854976,659452526524.6235,"POLYGON ((961435.230213883 1944665.54807064, 961435.230213883 1944765.54807064, 961535.230213883 1944765.54807064, 961535.230213883 1944665.54807064, 961435.230213883 1944665.54807064))",강남구,서울특별시 강남구 대치동 977-17번지,127.064641635,37.501148031,961519.1342603046,1944742.68996556,NoData,563.0,280.84000000000003,1483.01,11,0.0,6908.0,11878.0,14.600000000000001,9049500.0,29.0,7.0
3627,37899,77939.36178341412,3599851.9637058545,0.0,858406941020.2747,"POLYGON ((961435.230213883 1945065.54807064, 961435.230213883 1945165.54807064, 961535.230213883 1945165.54807064, 961535.230213883 1945065.54807064, 961435.230213883 1945065.54807064))",강남구,서울특별시 강남구 대치동 968번지,127.064254951,37.504725859,961486.7933726168,1945139.785030404,"안양빌딩, 정우 빌딩",1753.1,889.21,5859.01,29,0.25,45059.0,51807.0,22.6875,11608750.0,26.0,7.0
3628,37900,73728.54611721254,3797819.554564432,0.0,928238059200.2356,"POLYGON ((961435.230213883 1945165.54807064, 961435.230213883 1945265.54807064, 961535.230213883 1945265.54807064, 961535.230213883 1945165.54807064, 961435.230213883 1945165.54807064))",강남구,서울특별시 강남구 대치동 949-11번지,127.064567399,37.5052566,961514.6815930848,1945198.53950901,"포르쉐타워, 세원빌딩, 제니스타워, 코니빌딩, 수암빌딩, 대치동 빌딩",4867.0,2262.25,20532.8,61,1.0,97691.0,202484.0,28.822857142857142,18155714.285714287,19.285714285714285,7.0
3629,37901,69865.9799942261,4011479.6512146,12.02322968674985,970302081765.8145,"POLYGON ((961435.230213883 1945265.54807064, 961435.230213883 1945365.54807064, 961535.230213883 1945365.54807064, 961535.230213883 1945265.54807064, 961435.230213883 1945265.54807064))",강남구,서울특별시 강남구 대치동 948번지,127.063692595,37.506288381,961437.8931674008,1945313.367118661,오토웨이 타워,8267.1,3517.34,47721.19,14,9.0,348917.0,605016.0,51.44,21650000.0,6.0,7.0
3630,37902,66338.41295954389,4164047.907297344,43.542430463907976,1002615241861.3304,"POLYGON ((961435.230213883 1945365.54807064, 961435.230213883 1945465.54807064, 961535.230213883 1945465.54807064, 961535.230213883 1945365.54807064, 961435.230213883 1945365.54807064))",강남구,서울특별시 강남구 대치동 1001-3번지,127.064775165,37.507485278,961534.1884565862,1945445.7121174247,석교빌딩,2176.5,977.05,13436.98,20,1.0,109040.0,95755.0,25.4,16065000.0,24.0,7.0
3631,37903,55493.483088895024,4527491.256633938,46.67822652636202,1010903301544.158,"POLYGON ((961435.230213883 1945465.54807064, 961435.230213883 1945565.54807064, 961535.230213883 1945565.54807064, 961535.230213883 1945465.54807064, 961435.230213883 1945465.54807064))",강남구,서울특별시 강남구 대치동 1001-5번지,127.064670363,37.507731186,961525.0520671982,1945473.036887104,지산빌딩,980.0,478.17,3927.29,16,0.5,12058.0,56835.0,31.925,22325000.0,20.0,7.0
3632,37904,50818.23386321656,4604040.517695555,48.11066454181461,1011065386169.375,"POLYGON ((961435.230213883 1945565.54807064, 961435.230213883 1945665.54807064, 961535.230213883 1945665.54807064, 961535.230213883 1945565.54807064, 961435.230213883 1945565.54807064))",강남구,서울특별시 강남구 대치동 995-16번지,127.064532219,37.508836667,961513.4102523264,1945595.739459976,"호텔 글래드 강남 코엑스센터, 호텔아이파크(주)",3263.1,1495.02,36253.399999999994,52,4.0,993379.0,569813.0,88.15,35140000.0,9.0,5.0
3633,37905,48941.140312508775,4425228.538189733,46.9895050036686,982841488707.8289,"POLYGON ((961435.230213883 1945665.54807064, 961435.230213883 1945765.54807064, 961535.230213883 1945765.54807064, 961535.230213883 1945665.54807064, 961435.230213883 1945665.54807064))",강남구,서울특별시 강남구 삼성동 169-11번지,127.064550125,37.509931504,961515.5548931516,1945717.1973552736,"라스칼라, 뷰티크호텔XYM, 캐논케이타워",4935.3,2374.71,20920.28,50,0.6666666666666666,189662.0,217755.0,28.290000000000003,28116666.666666668,24.0,5.0
3634,37906,44069.87624850265,4167945.185510356,32.68386237093739,968246695708.6646,"POLYGON ((961435.230213883 1945765.54807064, 961435.230213883 1945865.54807064, 961535.230213883 1945865.54807064, 961535.230213883 1945765.54807064, 961435.230213883 1945765.54807064))",강남구,서울특별시 강남구 삼성동 169-1번지,127.064319258,37.510380882,961495.3819335932,1945767.147448716,NoData,2743.5,1186.9,15289.71,22,1.5,41738.0,124613.0,28.119999999999997,24135000.0,27.0,5.0
3635,37909,45555.75116237257,3338681.01875469,7.536693782774789,849733928529.4238,"POLYGON ((961435.230213883 1946065.54807064, 961435.230213883 1946165.54807064, 961535.230213883 1946165.54807064, 961535.230213883 1946065.54807064, 961435.230213883 1946065.54807064))",강남구,서울특별시 강남구 삼성동 165-14번지,127.064684083,37.513290571,961529.1181151574,1946089.809885513,"한호빌딩, 상원빌딩",2687.1,1408.41,8306.51,23,0.5,43161.0,73101.0,18.625,14107500.0,26.75,5.0
