platplc_short,jijigu,approvyear,platarea_py,bdarea_py,tyyyymm,tyyyymm,totalprc,etcprc
서울특별시 서대문구 창천동,일반상업,86.08.18,550,3505,202005,202005,10000000,"토:18,181 만"
서울특별시 영등포구 양평동,준공업,90.12.21,1286,725.5,202012,202012,10000000,"토:7,776 만"
서울특별시 광진구 화양동,2종일반,80.03.25,1507,3659,202206,202206,10000000,"토:6,635 만"
서울특별시 서초구 서초동,일반상업,90.05.29,347,1699,202104,202104,9700000,"토:27,953 만"
서울특별시 종로구 내자동,일반상업,00.03.23,382,3935,202106,202106,9600000,"토:25,130 만"
서울특별시 용산구 한강로3,일반상업,81.11.13,1825.2,3037.5,202006,202006,9479842,"토:5,194 만"
서울특별시 서초구 잠원동,일반상업,83.04.16,424,1824.8,20211,202110,9307211,"토:21,950 만"
서울특별시 서초구 서초동,일반상업,01.03.07,147,881,202106,202106,9200000,"토:62,585 만"
서울특별시 중구 남대문로2,중심상업,71.02.22,224,4256,20201,202010,9005000,"토:40,200 만"
서울특별시 동작구 사당동,일반상업,93.08.07,775,6495,202103,202103,9000000,"토:11,612 만"
서울특별시 마포구 동교동,근린상업,93.03.10,286,1916,202206,202206,8900000,"토:31,118 만"
서울특별시 서초구 서초동,일반상업,04.08.23,326,2881,20211,202110,8775000,"토:26,917 만"
서울특별시 강남구 신사동,일반상업,81.12.23,573,1762,202005,202005,8730000,"토:15,235 만"
서울특별시 강남구 논현동,노선상업,84.01.30,285,1228,202207,202207,8550000,"토:30,000 만"
서울특별시 강동구 길동,일반상업,10.07.05,657,8046,202103,202103,8500000,"토:11,406 만
건:125 만"
서울특별시 중구 쌍림동,일반상업,83.12.10,657.6,4636,202111,202111,8462932,"토:12,881 만"
서울특별시 구로구 오류동,준공업,�상,3186.8,1295.2,202103,202103,8271793,"토:2,591 만"
서울특별시 강남구 삼성동,3종일반,92.05.26,836.3,1754.9,202005,202005,8150000,"토:7,748 만"
서울특별시 강남구 신사동,3종일반,88.08.19,326.1,864.8,202111,202111,8150000,"토:25,000 만"
서울특별시 강남구 신사동,3종일반,88.08.19,326.1,864.8,202111,202111,8150000,"토:27,129 만"
서울특별시 서초구 서초동,일반상업,92.07.16,383,1426,20201,202010,8132835,"토:21,234 만"
서울특별시 강남구 청담동,일반상업,04.12.17,304,1402,202107,202107,8100000,"토:26,644 만"
서울특별시 강남구 논현동,3종일반,09.07.08,494,2879,202108,202108,8100000,"토:14,665 만
건:297 만"
서울특별시 노원구 공릉동,3종일반,80.06.19,2109,2252,202101,202101,8000000,"토:3,793 만"
서울특별시 강남구 신사동,3종일반,78.09.27,176,297,202304,202304,8000000,"토:45,454 만"
서울특별시 마포구 염리동,3종일반,89.12.28,1689.8,4421,202112,202112,7922000,"토:4,690 만"
서울특별시 강남구 논현동,3종일반,06.03.30,269,1603,202203,202203,7900000,"토:29,368 만"
서울특별시 강남구 대치동,3종일반,10.03.25,575,3444,202003,202003,7800000,"토:12,666 만
건:150 만"
서울특별시 강남구 역삼동,일반상업,18.01.12,216,2784,202006,202006,7800000,"토:31,271 만
건:375 만"
