grid_idx,pp_pop,pp_od,bs_ebit,sigungunm,platplc,x,y,x_5179,y_5179,bdnm,bd_platarea,bd_archarea,bd_totarea,bd_totflrcnt,bd_elvtent,bs_gas,bs_elct,bd_height,bd_ilp,bd_vintage,count,geometry_grids
12476,-1.9031690784224693,1.1484576506197282,3.679729706290736,영등포구,서울특별시 영등포구 여의도동 23-10번지,126.924832138,37.524305253,949177.130733087,1947378.196903092,BNK금융타워,0.2233622177942837,0.2004393234332806,1.0678808362356436,0.1865049844796906,1.1605220126097884,-0.1672380527272219,1.3535187313320105,2.396384264788059,3.3770385106445944,0.7483257865005574,8,"POLYGON ((126.92435884322235 37.524188936676545, 126.92435191767254 37.52509025396683, 126.92548358809297 37.52509576451284, 126.92549050002962 37.52419444704424, 126.92435884322235 37.524188936676545))"
12481,-2.40974491464718,-0.4081702431137059,4.0006455935577225,영등포구,서울특별시 영등포구 여의도동 12번지,126.924935737,37.529281938,949189.6607279148,1947930.2772717464,C.C.M.M빌딩,1.211523781289122,1.6274035574954864,2.912247826218547,-0.1388744807510312,1.9985524113943371,3.819567549090142,2.051595742846469,0.955856357223801,2.153800933643835,0.4486799465638604,8,"POLYGON ((126.92432421238817 37.528695521738, 126.92431728529574 37.52959683833332, 126.92544902379107 37.529602349771, 126.92545593726734 37.52870103299733, 126.92432421238817 37.528695521738))"
12482,-2.4108664597483638,-0.5080224016989259,3.738148143792367,영등포구,서울특별시 영등포구 여의도동 12-3번지,126.924492199,37.529794825,949150.81935618,1947987.4190514665,(주)신한 여의도 드림리버 오피스텔,0.0157741508650359,0.1618759367571108,0.6565907772912645,0.0470566422379526,0.741506813217514,-0.2449045161488346,0.1276052475069112,0.95394076160204,1.2997775195177756,-1.648840932993018,1,"POLYGON ((126.92431728529574 37.52959683833332, 126.92431035789473 37.53049815478963, 126.92544211000687 37.53050366640566, 126.92544902379107 37.529602349771, 126.92431728529574 37.52959683833332))"
12483,-2.487625968262855,-0.4391945825404417,3.442905643366605,영등포구,서울특별시 영등포구 여의도동 11-13번지,126.924414458,37.530712186,949144.5733302546,1948089.237398544,한국가정법률상담소,-0.2744254937197289,-0.267502399202818,-0.1903681992305155,-0.3712883844872611,0.1129840141291022,-0.0900708522857238,-0.221484743227991,0.2968914633380236,0.5095901989728561,-0.4502575732462304,2,"POLYGON ((126.92431035789473 37.53049815478963, 126.92430343018515 37.53139947110696, 126.92543519591467 37.531404982901314, 126.92544211000687 37.53050366640566, 126.92431035789473 37.53049815478963))"
12500,-1.383106965079157,1.7004997323804405,2.8358022348999885,영등포구,서울특별시 영등포구 여의도동 35-3번지,126.925653919,37.5218076,949248.0535034924,1947100.6522685173,"한국교직원공제회관, 여의도우체국",2.082334539601508,2.4942524391429126,5.26370578220622,2.185264556611268,2.836582810178886,-0.1098099534566088,4.207365367066665,4.248477891687664,4.124093335526582,-1.648840932993018,2,"POLYGON ((126.92551123399237 37.52149049380455, 126.9255043229793 37.52239181169009, 126.92663595286996 37.52239731085937, 126.92664285027165 37.52149599279587, 126.92551123399237 37.52149049380455))"
12501,-1.5750400650799958,1.4684122175125625,3.1767691456057987,영등포구,서울특별시 영등포구 여의도동 25-12번지,126.925614651,37.523046812,949245.4230560767,1947238.1572328948,신송센타빌딩,0.0233998349563144,0.0449447988790058,0.8230047603191246,0.2329877652269366,0.741506813217514,-0.2434452968807742,0.6515725457378815,1.882238399907412,3.799736968141331,0.9480896797916888,3,"POLYGON ((126.9255043229793 37.52239181169009, 126.9254974116584 37.523293129436645, 126.92662905516099 37.52329862878389, 126.92663595286996 37.52239731085937, 126.9255043229793 37.52239181169009))"
12502,-1.7888981010569585,1.042748655195002,3.5628030207219927,영등포구,서울특별시 영등포구 여의도동 25-4번지,126.926504844,37.523562211,949324.432737091,1947294.8579855408,"신송빌딩, 메리츠화재여의도사옥",0.957757960696021,1.215657448481889,1.8859301842576048,2.371195679600252,0.3748685137492737,0.2254526373488814,1.593029967768636,1.1574727964141445,3.4654601267536056,0.97306016645308,3,"POLYGON ((126.9254974116584 37.523293129436645, 126.92549050002962 37.52419444704424, 126.92662215714479 37.52419994656945, 126.92662905516099 37.52329862878389, 126.9254974116584 37.523293129436645))"
12503,-1.9131823069750755,0.9319787729491388,3.945672186873666,영등포구,서울특별시 영등포구 여의도동 23번지,126.92593686,37.525058399,949275.2567630276,1947461.1580352949,서울 국제금융 센터,-0.4493925787029522,0.7574780849292724,2.9265113471195408,0.7907811341938884,6.817227204405494,13.36169161547941,12.34690631454736,6.016859989916314,3.784209269702676,-0.9496673064740586,3,"POLYGON ((126.92549050002962 37.52419444704424, 126.92548358809297 37.52509576451284, 126.92661525882131 37.52510126421602, 126.92662215714479 37.52419994656945, 126.92549050002962 37.52419444704424))"
12509,-2.3443941956688983,-0.7979651909374097,4.011375757424521,영등포구,서울특별시 영등포구 여의도동 10-2번지,126.925778216,37.529798487,949264.4492827508,1947987.1308147104,"여의도 태영빌딩, 세우빌딩",0.9602998553931138,1.535276464386165,2.349278987377506,0.6513327919521504,0.8462606130655825,1.1133800623051526,2.136895429794814,0.8767422580450726,2.0287166962213314,-0.4502575732462304,2,"POLYGON ((126.92544902379107 37.529602349771, 126.92544211000687 37.53050366640566, 126.92657386242698 37.53050916717673, 126.92658076259437 37.52960785036408, 126.92544902379107 37.529602349771))"
12522,-0.9193864026551344,0.6478162735090224,1.9885464395093244,영등포구,서울특별시 영등포구 여의도동 45번지,126.927285647,37.519348747,949390.5811854552,1946826.9770077723,KB국민은행 신관,0.5519021073935322,0.6582412228899787,2.090468445068207,0.4189188882159205,2.2080600110904745,-0.2415768105345941,1.3502268130626134,3.451494333254008,3.232113325217142,-1.7487228796385836,2,"POLYGON ((126.92666354063348 37.51879203777151, 126.92665664415341 37.51969335625194, 126.92778823351902 37.51969884404663, 126.92779511638952 37.51879752538861, 126.92666354063348 37.51879203777151))"
