grid_idx,bd_diff,bs_diff,pp_diff,sum_diff,phase,geom_dist,geom_feature_dist
36176,0.8221263918847223,0.7396494691211541,0.5693916278645793,4.899758285438418,15,0.7071067811865476,3.464652309808477
36115,0.7303477601081649,0.7485941658523954,1.2685167882290092,4.9118551617405,15,0.565685424949238,2.778564874458283
36396,0.8912251978955544,0.7974923777997088,0.6335394853343159,4.93108972719617,15,0.9486832980505139,4.678042465379471
36114,0.6306836248030431,0.41818541915362606,1.3449298084238803,4.028019213701523,16,0.6403124237432849,2.5791907456097425
36166,0.28694325948710475,0.47744282342119576,0.8629828916061371,4.226445936137038,16,0.7071067811865476,2.988548581760826
35951,1.0468493959201413,0.6734197819594129,0.1344629292644033,4.905289864212532,16,1.2,5.886347837055038
36339,0.7351278714008769,0.6760834211398452,0.37354033018006616,4.90954782340816,17,0.8246211251235321,4.048516849986625
36395,0.7416430041265786,0.608309981973417,0.744741862249813,5.118403631620115,17,0.9219544457292888,4.718934983209102
36124,1.0373177976705972,0.7895695806694614,0.22179622234161356,5.1611254790968175,17,0.6403124237432849,3.3047327647637057
36172,1.2800691283224586,0.8044032235810897,0.3722677916063668,5.112115650105127,18,0.5099019513592785,2.606677745562911
36165,0.6849652663180414,0.6935609662211943,0.8714407234689572,5.161836194572487,18,0.7810249675906655,4.031522946574301
35877,0.9814526315532754,0.6464578207021066,0.503341027846028,5.169568876624947,18,1.216552506059644,6.289051972106018
36164,0.9822693987939874,0.8389700023744776,0.8597027017015484,4.379293155891995,19,0.8602325267042626,3.7672104166716553
35878,0.7739841862678783,0.6377145484429281,0.6725661998852271,5.100588806578601,19,1.3152946437965904,6.708777137501678
36221,1.070224717343329,0.7279589004839997,0.49256216851866047,5.1408966440799,19,0.7211102550927978,3.707153290418165
36163,0.5735716682047098,0.4837262197538131,0.83279965008388,4.544219707595505,20,0.9433981132056604,4.287008298137577
36287,0.8916326676906513,0.8891834849391292,0.2807242849385262,5.128992839224782,20,0.9219544457292888,4.728697750236975
36218,0.6332510934601971,0.6677329213179173,0.8336195681458798,5.141905968751429,20,0.9219544457292888,4.740603067412345
36450,0.9887657909687363,0.7921072340660292,1.111795580632454,5.143927601117271,21,1.019803902718557,5.2457974429210985
35913,0.9189180134732483,0.679443495642255,0.4728151511459192,5.1897702943320985,21,1.2041594578792296,6.24931098414067
36169,0.5697979922287492,0.42787429663072235,1.069849284248588,5.191817582775116,21,0.5385164807134504,2.7958793331822682
36504,0.548595090049168,0.34617526101040863,1.1741745067082938,5.006795434475361,22,1.104536101718726,5.5301863112985306
36449,0.6815450935408057,0.5362458841508032,1.124977476386622,5.14668133715052,22,1.004987562112089,5.172350729990687
31218,1.0597124534151372,0.6997301753113755,0.5978223108816547,5.176251741159886,22,0.8062257748298549,4.173227570731015
31162,0.95108078315094,0.4112335271463522,0.9893308880489683,4.510089504731958,23,0.9433981132056604,4.25480992915278
31161,1.2399136292065849,0.7479531111352112,0.6273506930496311,5.002311065026902,23,0.8602325267042626,4.303150686828783
36448,0.555084477367645,0.4239351435341283,1.1642439034014962,5.1171221354908365,23,1.0,5.1171221354908365
31101,0.9699424041527072,0.7452169128506073,0.4808652555585084,4.50182066633071,24,1.0,4.50182066633071
36502,0.5279973075068447,0.215552465864729,1.2038433257554864,4.708116665207725,24,1.104536101718726,5.200284827825509
36447,0.5258882309430584,0.2870130779038118,1.1996581177064716,5.044500612016703,24,1.004987562112089,5.069660372143607
36556,0.6998253309439773,0.46032985086466366,0.8165251201984747,4.951123239248099,25,1.216552506059644,6.023301384517417
36392,0.5082515083377426,0.3631950462851746,1.1634027923538777,5.07595263591401,25,0.9055385138137417,4.596470606114518
35846,0.962109948742693,0.6028833057993728,1.0396754205168441,5.088506376755623,25,1.4317821063276353,7.285632378172769
35847,0.5955900489702114,0.37304509571965067,0.3884539643428958,3.9129386454428587,26,1.5297058540778354,5.985645152581337
36500,0.5504469004760493,0.44198612046975944,0.7445672888971608,4.784924365424409,26,1.140175425099138,5.4556531724149995
36555,0.7171313974039306,0.5072259443720566,0.7895530575644794,4.97821654982871,26,1.236931687685298,6.157713798642508
35818,0.61407726130502,0.38398364429868037,0.5148216330345224,3.4452180678324758,27,1.6492422502470643,5.681999198783875
35848,0.8754202107860176,0.6287022694551754,0.4656452632395522,4.713147834816538,27,1.6278820596099706,7.672448804587419
36554,0.753439965502871,0.651254122344098,0.8167271806841362,5.033972015001719,27,1.2649110640673518,6.3675268979810955
35819,0.48242017685007277,0.5152188794750403,0.6670268942899457,4.167318225360897,28,1.746424919657298,7.277908396912299
35882,0.5896260522275952,0.5834671504667868,0.5257483350958164,4.581291229839022,28,1.7117242768623688,7.841907417492112
35849,1.1750655749333216,0.6654477330633081,0.48112109554329535,4.864209576345248,28,1.7262676501632068,8.396927635258878
35820,0.5591225147486653,0.5743002143040241,0.7061847790576954,4.870994289530795,29,1.8439088914585775,8.98166968070979
36498,0.7020687271127818,0.5669350814592952,0.8042233564763952,4.941669968802365,29,1.208304597359457,5.971042541937062
36219,0.6035946240467602,0.5650986469903905,0.7841967086296219,4.975998269759655,29,0.848528137423857,4.222274543663495
35793,0.35382554846029024,0.5899317069342505,0.7435052202565791,4.309229775279281,30,1.96468827043885,8.466293194117045
36335,0.6393733083134752,0.43300620825752967,1.0215845186974735,4.962068099281261,30,0.8246211251235321,4.0918261789689
36170,0.6969894265828062,0.39863511633963106,0.978155488105585,4.977621137727992,30,0.5099019513592785,2.538098731254695
35881,0.6797088275570586,0.6210221611353893,0.4614915260073435,4.955747073202877,31,1.6124515496597098,7.990902047907551
35919,0.6885489052557119,0.5744001061623597,1.1393351695391076,4.967550077277766,31,1.8027756377319948,8.955378258530043
36443,0.7330343038467383,0.529115122183258,0.7508076968605578,4.990524934243284,31,1.118033988749895,5.579576498187826
36222,0.631741964946722,0.4912258721948692,0.9509562866322296,4.9577203062935595,32,0.6708203932499369,3.325739885491043
35958,0.6072503266224629,0.671805048980926,0.8005364674358163,4.9892253993121685,32,1.9,9.47952825869312
35850,0.7463376338371828,0.5750258135261128,0.5997640965367563,5.00280701468318,32,1.8248287590894658,9.129266116568383
35998,0.6480243905770968,0.5368673117327931,0.7097657332707674,4.79756362059516,33,1.8027756377319948,8.648930815678257
35999,0.7788457496046637,0.6305353162208855,0.7630052415157588,4.986495256621032,33,1.9026297590440446,9.487454268579144
36279,0.6533442812912919,0.3569291762455625,0.966738601352353,5.0059220369116595,33,0.7280109889280518,3.6443662525887848
36043,0.885362960534063,0.6802379711755597,0.792142411783998,4.529906609394306,34,1.9104973174542799,8.654374425566234
36044,0.551319611600222,0.5971654704820013,0.8404632780838902,4.853552113520751,34,2.009975124224178,9.755519012302392
35957,0.5898206795538508,0.5046636321787864,1.029877798499766,4.966888244339129,34,1.8,8.940398839810433
36090,0.4496650088259414,0.5460961331844044,0.7593681549691507,3.83109047640472,35,2.0223748416156684,7.747900995434291
36089,0.7395936014422223,0.5644373521460754,0.7231164498060056,4.354080857008503,35,1.9235384061671346,8.375241752012967
36091,0.4144369997848534,0.5927948640389462,1.0129632789138177,4.600919185186836,35,2.1213203435596424,9.760023466610688
36139,0.4640923194470911,0.5594803358595137,0.6886820863799619,3.6295163524013905,36,2.039607805437114,7.402789882319519
36138,0.3298571722762017,0.4679544745341656,0.644376350620095,4.255924332994963,36,1.9416487838947598,8.263510305507788
36140,0.4284227582455541,0.5581197540186438,0.8326554381113624,4.734025516012222,36,2.137755832643195,10.12019065873684
36191,0.7370831897578709,0.5617944735985666,0.5910954824340392,4.04384446567118,37,2.0615528128088303,8.336598932765842
36192,0.3073505588696961,0.5348135717375664,0.8461866706255288,4.064120847236849,37,2.15870331449229,8.773231143427399
36190,0.7204576270338933,0.6270781530162828,0.4627942989668852,4.698419787755379,37,1.96468827043885,9.230930246600783
36245,0.4331665985162746,0.4338475499305819,0.9212692546848444,4.631029410124929,38,2.08806130178211,9.669873298696698
36137,0.5914361043572561,0.534815348724512,0.6893106076500504,4.714195043912209,38,1.8439088914585775,8.692546157539681
36246,0.41598897862327117,0.5699222402892823,0.9093271077400086,4.762890737677196,38,2.1840329667841556,10.402310388277902
36302,0.5411245496210991,0.4855393173460537,0.9063832993852592,3.8191447208850433,39,2.2135943621178655,8.454037222263342
36303,0.42269640668120056,0.5268335746405067,0.8859658868256399,3.822402369634547,39,2.308679276123039,8.824701135778874
36188,0.41320937717444794,0.34011220493508665,0.7270160050816006,4.58560786137305,39,1.772004514666935,8.125717832845233
36359,0.2448875321971732,0.5971418395856104,0.8761642247976678,3.973396490444865,40,2.340939982143925,9.301482709392737
36358,0.3560092108101246,0.4770828177485067,0.9107754972325157,4.075794971017152,40,2.247220505424423,9.159210034775487
36187,0.5231610763021344,0.3669884652616988,0.7093599408306999,4.448728805840389,40,1.676305461424021,7.457428393624607
36135,0.6494197263354285,0.15862522941460183,0.9661730642289003,4.564784557251455,41,1.6492422502470643,7.528435555094439
36301,0.5025512187632161,0.5086945990655546,0.8892676675833004,4.654589284073436,41,2.118962010041709,9.862897865298848
36300,0.7971798359090079,0.600291377672398,0.5994350680856056,4.705701045435394,41,2.024845673131659,9.52831840090098
36355,0.4238619202384245,0.3578919249474093,0.7121826613903351,3.9931529925193114,42,1.969771560359221,7.865599200827857
36000,0.49056163226935573,0.5140756437589552,0.667099830689744,4.760347192604311,42,2.0024984394500787,9.532587824430696
36415,0.48453369671475477,0.5354401434104623,0.9768838251489951,4.790438986242623,42,2.3769728648009427,11.38674348078325
36354,0.7855563167439621,0.41049140593997313,0.6315630984269187,3.4865833792287075,43,1.8788294228055935,6.550695437959848
