grid_idx,pp_pop,pp_od,pp_drr,bs_ebit,geometry_grids,sigungunm,platplc,x,y,x_5179,y_5179,bdnm,bd_platarea,bd_archarea,bd_totarea,bd_totflrcnt,bd_elvtent,bs_gas,bs_elct,bd_height,bd_ilp,bd_vintage,count,geometry,gwr_const,gwr_bs_ebit,gwr_bs_elct,gwr_bd_totflrcnt,gwr_bd_height,gwr_pp_od,gwr_pp_drr,gwr_r2
25637,-0.33085413052185764,-1.3677679962839422,-1.055545609436937,-1.145665266103794,"POLYGON ((955535.230213883 1954465.54807064, 955535.230213883 1954565.54807064, 955635.230213883 1954565.54807064, 955635.230213883 1954465.54807064, 955535.230213883 1954465.54807064))",종로구,서울특별시 종로구 명륜1가 7-10번지,126.996422526,37.588966086,955541.4654020696,1954515.7079861995,이시돌하우스,-0.6885859993074256,-0.683920073452474,-0.47815869467340844,-0.8886467075028701,-0.08582959686302072,-0.2853235865794003,-0.3889591986422279,-0.5475857533761939,-0.5981160248367163,-1.1398503940537406,4.0,"POLYGON ((955535.230213883 1954465.54807064, 955535.230213883 1954565.54807064, 955635.230213883 1954565.54807064, 955635.230213883 1954465.54807064, 955535.230213883 1954465.54807064))",0.43977727811689327,-0.055548817857253074,0.8141704733357934,-0.14159410975663808,0.8825532582198827,0.2967054823571536,0.03457727300014635,0.5928396254875264
25643,-0.5423600921896604,0.919233012260289,2.4990891497962706,0.26413471443701236,"POLYGON ((955635.230213883 1952665.54807064, 955635.230213883 1952765.54807064, 955735.230213883 1952765.54807064, 955735.230213883 1952665.54807064, 955635.230213883 1952665.54807064))",종로구,서울특별시 종로구 인의동 28-36번지,126.998462624,37.572573501,955711.8680559543,1952696.0646326544,"재림빌딩, 인의빌딩, 종로플레이스",1.4317245079342522,1.4841900406536395,1.9147587991433594,0.9074559966012914,0.4817726240065753,0.9185265878886384,1.4297523653240074,0.848505630414714,-0.15735559170831057,0.4014742235814981,6.0,"POLYGON ((955635.230213883 1952665.54807064, 955635.230213883 1952765.54807064, 955735.230213883 1952765.54807064, 955735.230213883 1952665.54807064, 955635.230213883 1952665.54807064))",-1.1963275182529838,-0.9188804229131491,-0.34145207168867164,-0.09401143390050713,0.5019495606322947,1.5649159713693814,0.0453918824369815,0.7263282026602143
25644,-0.44703257175758376,0.8033508187192326,0.7724447269837736,0.19057632694661542,"POLYGON ((955635.230213883 1952765.54807064, 955635.230213883 1952865.54807064, 955735.230213883 1952865.54807064, 955735.230213883 1952765.54807064, 955635.230213883 1952765.54807064))",종로구,서울특별시 종로구 연지동 65-2번지,126.998152999,37.573882625,955685.3022611182,1952841.4515425577,"신한빌딩, 한미빌딩",-0.3997938894582152,-0.24429284720573707,-0.36255994127025687,0.14411234735702277,-0.35827866288042687,-0.25429742930392224,-0.29764076909826476,-0.3723615671116763,-0.43050037185585494,0.5776256084540967,6.0,"POLYGON ((955635.230213883 1952765.54807064, 955635.230213883 1952865.54807064, 955735.230213883 1952865.54807064, 955735.230213883 1952765.54807064, 955635.230213883 1952765.54807064))",-1.1078096845140346,-0.819469664911183,-0.2813943809592836,-0.08684264929788003,0.4284704879531503,1.4101968448916755,0.044465385243389534,0.7265149996622218
25645,-0.4743724788175319,0.6980671267612668,0.28893203518074423,0.12840887585399288,"POLYGON ((955635.230213883 1952865.54807064, 955635.230213883 1952965.54807064, 955735.230213883 1952965.54807064, 955735.230213883 1952865.54807064, 955635.230213883 1952865.54807064))",종로구,서울특별시 종로구 연지동 42번지,126.998685588,37.574594777,955732.7534466176,1952920.2102862024,"명진빌딩, 보령빌딩, 한국빌딩",0.5305944477145805,0.29599134652461323,0.8157179531139215,1.0421636994091035,0.16959140252829752,0.5052943002418973,0.7378568463047156,0.38517096374429094,-0.46986130355848466,-0.6650673645143144,6.0,"POLYGON ((955635.230213883 1952865.54807064, 955635.230213883 1952965.54807064, 955735.230213883 1952965.54807064, 955735.230213883 1952865.54807064, 955635.230213883 1952865.54807064))",-0.9873290155723993,-0.6592926710098547,-0.22397671838879107,-0.07727260043382134,0.36165387052163905,1.1784106565764954,0.050060016130356516,0.7069469385738866
25646,-0.4751135614789398,0.5377619620686299,-0.5716771051201034,0.06675907180006779,"POLYGON ((955635.230213883 1952965.54807064, 955635.230213883 1953065.54807064, 955735.230213883 1953065.54807064, 955735.230213883 1952965.54807064, 955635.230213883 1952965.54807064))",종로구,서울특별시 종로구 원남동 96-7번지,126.997745776,37.575682096,955650.410138166,1953041.2862727416,"서울혜화경찰서 교통정보센터, 코윈 팔레스뷰 오피스텔, 비원관광호텔, 효신빌딩, 창경빌딩",0.07887617457978931,0.19323240441326503,0.019569805040027696,1.8504099162559762,-0.23178445365805972,0.40579468846774314,-0.15151102144649325,0.08825414152335699,-0.3458514660664014,0.20487669582190116,6.0,"POLYGON ((955635.230213883 1952965.54807064, 955635.230213883 1953065.54807064, 955735.230213883 1953065.54807064, 955735.230213883 1952965.54807064, 955635.230213883 1952965.54807064))",-0.8514049236560686,-0.4925321510953816,-0.17019524683700887,-0.06489077049973307,0.3067812820817297,0.9123682839268685,0.05015732994176886,0.654384773731236
25647,-0.4614012276771438,0.4097298435334157,-0.5582714994283243,0.000534479349220052,"POLYGON ((955635.230213883 1953065.54807064, 955635.230213883 1953165.54807064, 955735.230213883 1953165.54807064, 955735.230213883 1953065.54807064, 955635.230213883 1953065.54807064))",종로구,서울특별시 종로구 원남동 13번지,126.998249146,37.57647385,955695.327654735,1953128.8900702875,NoData,-0.6611448322336226,-0.6887760951289564,-0.48574849580671403,-0.8886467075028701,-0.42639092938477835,-0.29910378579304603,-0.383639101932127,-0.5554454134461062,-0.6292122665259428,-0.5618536624405261,6.0,"POLYGON ((955635.230213883 1953065.54807064, 955635.230213883 1953165.54807064, 955735.230213883 1953165.54807064, 955735.230213883 1953065.54807064, 955635.230213883 1953065.54807064))",-0.7107181156566766,-0.3999690513251319,-0.10076724519908946,-0.051236802378062565,0.23958525638425376,0.6495622169334084,0.029915683245000445,0.5422473100751106
25653,-0.3914448312239197,-0.46562097823694887,-0.2784002384018347,-0.8268185383121134,"POLYGON ((955635.230213883 1953665.54807064, 955635.230213883 1953765.54807064, 955735.230213883 1953765.54807064, 955735.230213883 1953665.54807064, 955635.230213883 1953665.54807064))",종로구,서울특별시 종로구 명륜4가 206-47번지,126.997772734,37.581846523,955656.4466426228,1953725.1873102272,"성균관대학교 총동창회, 서울씨티빌딩",-0.26034173724059173,-0.22289720035627444,-0.33489906854167095,0.09920977975441872,-0.35827866288042687,-0.2783519868608815,-0.3548064832550606,-0.40204334219922794,-0.4665581916634957,-0.6939672010949751,6.0,"POLYGON ((955635.230213883 1953665.54807064, 955635.230213883 1953765.54807064, 955735.230213883 1953765.54807064, 955735.230213883 1953665.54807064, 955635.230213883 1953665.54807064))",-0.41272939880634685,-0.9576941984256808,0.6967233707265861,-0.12547355379387298,0.7206576165247233,0.5222420272330631,0.02336540609741257,0.6331181090334569
25654,-0.358702950045875,-0.48207941179472813,-0.24046445749590856,-0.893410158653096,"POLYGON ((955635.230213883 1953765.54807064, 955635.230213883 1953865.54807064, 955735.230213883 1953865.54807064, 955735.230213883 1953765.54807064, 955635.230213883 1953765.54807064))",종로구,서울특별시 종로구 명륜4가 198-3번지,126.99774579,37.582417005,955654.4060308489,1953788.492320996,성우빌딩,-0.6510003048941039,-0.7897936203041886,-0.5041783793939467,-0.9335492751054741,-0.42639092938477835,-0.30038641050170417,-0.3782211964840861,-0.6756519792212368,-0.22219701419362348,1.006994609081056,2.0,"POLYGON ((955635.230213883 1953765.54807064, 955635.230213883 1953865.54807064, 955735.230213883 1953865.54807064, 955735.230213883 1953765.54807064, 955635.230213883 1953765.54807064))",-0.09981062559454229,-0.7945233576438583,1.0184197504379224,-0.2133444395674666,0.9618072984964124,0.47741773996333015,0.03366453696760257,0.6289785196448127
25655,-0.19896093922939145,-0.6980309706395209,-0.30422732253353524,-0.9903133702820468,"POLYGON ((955635.230213883 1953865.54807064, 955635.230213883 1953965.54807064, 955735.230213883 1953965.54807064, 955735.230213883 1953865.54807064, 955635.230213883 1953865.54807064))",종로구,서울특별시 종로구 명륜3가 151-1번지,126.998193317,37.583305604,955694.44647814,1953886.8670387573,"유니지오, 명륜동근생",0.2540407534101986,0.3339649757482918,-0.15962795540603064,0.9074559966012914,-0.3838207628195586,-0.05288526802245099,0.0009483488176897129,-0.4855175554711504,-0.43437703665311184,-0.2728552966339189,2.0,"POLYGON ((955635.230213883 1953865.54807064, 955635.230213883 1953965.54807064, 955735.230213883 1953965.54807064, 955735.230213883 1953865.54807064, 955635.230213883 1953865.54807064))",0.0032345174024430976,-0.6549333696756168,0.9692860116306639,-0.19719849012846755,0.9663013843677657,0.43986638039860876,0.038338404250391485,0.6280035535556492
25656,-0.1601801028480347,-0.8410579061236629,0.02861821082580837,-1.0468286783617249,"POLYGON ((955635.230213883 1953965.54807064, 955635.230213883 1954065.54807064, 955735.230213883 1954065.54807064, 955735.230213883 1953965.54807064, 955635.230213883 1953965.54807064))",종로구,서울특별시 종로구 명륜2가 158번지,126.998494151,37.584489458,955721.7091190006,1954018.0682558648,선명파빌리온,-0.49397072333612,-0.4796909911913081,-0.4159532313833514,-0.3947184638742257,-0.42639092938477835,-0.20874554720289085,-0.3699388922820841,-0.5508220839932165,-0.526502531939083,-0.17652250803171637,4.0,"POLYGON ((955635.230213883 1953965.54807064, 955635.230213883 1954065.54807064, 955735.230213883 1954065.54807064, 955735.230213883 1953965.54807064, 955635.230213883 1953965.54807064))",0.12474307411409867,-0.48185522112729495,0.9484548250501301,-0.18571787870684786,0.9550069277525508,0.38080775541694656,0.04254465311036054,0.6282428326368754
25658,-0.07505701684842125,-1.0156361890437229,-0.6441156254403109,-1.1196954794172953,"POLYGON ((955635.230213883 1954165.54807064, 955635.230213883 1954265.54807064, 955735.230213883 1954265.54807064, 955735.230213883 1954165.54807064, 955635.230213883 1954165.54807064))",종로구,서울특별시 종로구 명륜2가 65-5번지,126.997734102,37.585904647,955655.4429583758,1954175.4354297968,NoData,-0.6627132427475616,-0.657376890197135,-0.4783829613109157,-0.709036437092454,-0.42639092938477835,-0.28610919421345343,-0.3918864744420076,-0.5119861165889436,-0.6252734092453074,-0.5205681816110108,4.0,"POLYGON ((955635.230213883 1954165.54807064, 955635.230213883 1954265.54807064, 955735.230213883 1954265.54807064, 955735.230213883 1954165.54807064, 955635.230213883 1954165.54807064))",0.27821838292558865,-0.2654276337884311,0.9149710058958089,-0.1698607832852125,0.9368782701278725,0.3126836060984273,0.046862434194357074,0.625873220875051
25659,-0.05739451294645877,-1.1603818574173486,-0.6627016184534031,-1.1301535202189148,"POLYGON ((955635.230213883 1954265.54807064, 955635.230213883 1954365.54807064, 955735.230213883 1954365.54807064, 955735.230213883 1954265.54807064, 955635.230213883 1954265.54807064))",종로구,서울특별시 종로구 명륜1가 78-12번지,126.997524912,37.586751189,955637.4760700376,1954269.4541234805,NoData,-0.6760306926357397,-0.6751976458913986,-0.4759738779963504,-0.8886467075028701,-0.42639092938477835,-0.29292581011300944,-0.39310209732783497,-0.5392637603609924,-0.6001891076159981,-0.4792827007814955,4.0,"POLYGON ((955635.230213883 1954265.54807064, 955635.230213883 1954365.54807064, 955735.230213883 1954365.54807064, 955735.230213883 1954265.54807064, 955635.230213883 1954265.54807064))",0.3516068443649502,-0.17085689035157356,0.9019938499234492,-0.1644616935348512,0.93277593988559,0.2873283392759113,0.04823334129958732,0.6236839551159024
25661,-0.0881162179610882,-1.4670777826081303,-1.055545609436937,-1.149898914306939,"POLYGON ((955635.230213883 1954465.54807064, 955635.230213883 1954565.54807064, 955735.230213883 1954565.54807064, 955735.230213883 1954465.54807064, 955635.230213883 1954465.54807064))",종로구,서울특별시 종로구 명륜1가 27-15번지,126.997500984,37.589221499,955636.8297217411,1954543.534961167,NoData,-0.7382015227010625,-0.7403665307914288,-0.49475918061864316,-0.8886467075028701,-0.42639092938477835,-0.3032188733999909,-0.3965673211862854,-0.506900454190765,-0.5053110190842028,-1.2224213557127712,4.0,"POLYGON ((955635.230213883 1954465.54807064, 955635.230213883 1954565.54807064, 955735.230213883 1954565.54807064, 955735.230213883 1954465.54807064, 955635.230213883 1954465.54807064))",0.44898421167686814,-0.046000360381146105,0.8622921990796089,-0.1525995112570114,0.9203545653153211,0.26318278912327936,0.048144793556637804,0.6148210105380412
25662,-0.14172915700648808,-1.4999985959502895,-1.055545609436937,-1.1575108622582873,"POLYGON ((955635.230213883 1954565.54807064, 955635.230213883 1954665.54807064, 955735.230213883 1954665.54807064, 955735.230213883 1954565.54807064, 955635.230213883 1954565.54807064))",종로구,서울특별시 종로구 명륜1가 5-4번지,126.997812615,37.58977411,955664.6700775392,1954604.69748014,종로구 명륜동근린생활시설 1,-0.5890661403539024,-0.5709964730135751,-0.43388703399857165,-0.5294261666820378,-0.25611026312389956,-0.313677609045174,-0.3387658502328787,-0.4271480211284187,-0.5380657269968546,-0.43799721995198015,10.0,"POLYGON ((955635.230213883 1954565.54807064, 955635.230213883 1954665.54807064, 955735.230213883 1954665.54807064, 955735.230213883 1954565.54807064, 955635.230213883 1954565.54807064))",0.48853522812961797,0.004506980669897791,0.8321152844850209,-0.14475824586112737,0.9108777693528524,0.2591689234685829,0.04659155194071018,0.6068387586747855
25665,-0.3511250218701276,0.9558269206517981,1.6756896328630841,0.33632532488549094,"POLYGON ((955735.230213883 1952365.54807064, 955735.230213883 1952465.54807064, 955835.230213883 1952465.54807064, 955835.230213883 1952365.54807064, 955735.230213883 1952365.54807064))",종로구,서울특별시 종로구 종로4가 144-1번지,126.998822566,37.570387355,955742.359195482,1952453.352875752,원상빌딩,-0.7410134300419097,-0.7394382865215167,-0.49439544073660846,-0.9335492751054741,-0.42639092938477835,-0.33332314416612097,-0.3888718694119242,-0.6377406777075417,-0.27644268025149626,-0.06642789248634227,10.0,"POLYGON ((955735.230213883 1952365.54807064, 955735.230213883 1952465.54807064, 955835.230213883 1952465.54807064, 955835.230213883 1952365.54807064, 955735.230213883 1952365.54807064))",-1.0320754807995287,-0.7657079871756701,-0.17692246172827086,-0.14154181737369326,0.22433392405704664,1.2562422382264327,0.09569754095168839,0.6085362349133336
25667,-0.527401579029633,0.8761424804610461,2.6379247581914593,0.23600992563583517,"POLYGON ((955735.230213883 1952565.54807064, 955735.230213883 1952665.54807064, 955835.230213883 1952665.54807064, 955835.230213883 1952565.54807064, 955735.230213883 1952565.54807064))",종로구,서울특별시 종로구 종로4가 5번지,126.999750671,37.571453306,955824.9478130112,1952571.178154488,한일빌딩,-0.07272614502075325,-0.2327319867531949,-0.056432018764807086,-0.21510819346380955,0.0844510693978581,-0.07904546780945733,-0.02724851306276589,0.31027302660747874,0.28778134950969,0.01614306917268836,10.0,"POLYGON ((955735.230213883 1952565.54807064, 955735.230213883 1952665.54807064, 955835.230213883 1952665.54807064, 955835.230213883 1952565.54807064, 955735.230213883 1952565.54807064))",-1.318553594452461,-1.0277145061978574,-0.3380536725822389,-0.08766524295364778,0.4995847161422129,1.742284241863879,0.03856639830312602,0.6779036000981385
25668,-0.5126288959233563,0.7909307701235938,1.9202120486504999,0.1905104307179625,"POLYGON ((955735.230213883 1952665.54807064, 955735.230213883 1952765.54807064, 955835.230213883 1952765.54807064, 955835.230213883 1952665.54807064, 955735.230213883 1952665.54807064))",종로구,서울특별시 종로구 연지동 206번지,126.999461618,37.572366384,955799.962143337,1952672.6156106123,"연지빌딩, 위너스 빌딩, 호텔 앳 홈, 아미가, 주함해븐타워, 주함해븐타워, 주함해븐타워, 성진에스제이빌딩, 성진에스제이빌딩, 유성빌딩, 아르젠종로, 세원빌딩",0.8473451797687913,0.9608443869891238,0.18561626872724785,4.320051134399199,-0.15880702526054022,0.14497829823173275,0.014962943696825973,-0.10698245651581126,-0.41763442525472194,-1.0395856548963462,10.0,"POLYGON ((955735.230213883 1952665.54807064, 955735.230213883 1952765.54807064, 955835.230213883 1952765.54807064, 955835.230213883 1952665.54807064, 955735.230213883 1952665.54807064))",-1.2191658543570791,-0.949206148971121,-0.2843732461307179,-0.08007568357854675,0.4357251616193807,1.6008340793340914,0.030410867513670455,0.6984252649529082
25669,-0.4015588058410367,0.694486341604729,-0.022550572007984306,0.14439247473411734,"POLYGON ((955735.230213883 1952765.54807064, 955735.230213883 1952865.54807064, 955835.230213883 1952865.54807064, 955835.230213883 1952765.54807064, 955735.230213883 1952765.54807064))",종로구,서울특별시 종로구 연지동 188-2번지,126.99922763,37.573208361,955779.7975531364,1952766.1389374733,"대영빌딩, 대신빌딩, 감자빌딩, 동원오피스텔, 우석빌딩",-0.1210580587866139,-0.04836426329205,-0.2983566822446672,1.580994510640352,-0.30255044483141197,-0.2332249741945931,-0.2742609875613607,-0.42347037269998367,-0.505172813565584,-0.40421819018237665,10.0,"POLYGON ((955735.230213883 1952765.54807064, 955735.230213883 1952865.54807064, 955835.230213883 1952865.54807064, 955835.230213883 1952765.54807064, 955735.230213883 1952765.54807064))",-1.1232791621701872,-0.8498336973736743,-0.22859944575798197,-0.07442217890652618,0.36533446783407575,1.4343454249019705,0.03311887528071827,0.7012823227237971
25670,-0.38455366267635344,0.575801264633353,0.34197750688832024,0.061105027019475,"POLYGON ((955735.230213883 1952865.54807064, 955735.230213883 1952965.54807064, 955835.230213883 1952965.54807064, 955835.230213883 1952865.54807064, 955735.230213883 1952865.54807064))",종로구,서울특별시 종로구 연지동 128번지,126.999757636,37.574301826,955827.2453975388,1952887.204244082,"종로서광빌딩, 전선빌딩, 케니스토리 인 종로5가, 주함해븐타워 3동, 영도빌딩, 영빌딩, 싸이버스페이스원, 연지빌딩",0.2396843819795392,0.387135728101689,-0.09802872525269811,2.4790458626924328,-0.2844903741673793,-0.10402191187576462,-0.11529034988573456,-0.34535361755771277,-0.5741604016094604,-0.6306627971563848,10.0,"POLYGON ((955735.230213883 1952865.54807064, 955735.230213883 1952965.54807064, 955835.230213883 1952965.54807064, 955835.230213883 1952865.54807064, 955735.230213883 1952865.54807064))",-1.0121368922107314,-0.7145450422721104,-0.17967728683410253,-0.0672709184191165,0.3079925353405008,1.221172653251872,0.039961818855401364,0.6866419663170941
