grid_idx,pp_pop,pp_od,pp_drr,bs_ebit,geometry_grids,sigungunm,platplc,x,y,x_5179,y_5179,bdnm,bd_platarea,bd_archarea,bd_totarea,bd_totflrcnt,bd_elvtent,bs_gas,bs_elct,bd_height,bd_ilp,bd_vintage,count,geometry,gwr_const,gwr_bs_ebit,gwr_bs_elct,gwr_bd_vintage,gwr_bd_height,gwr_pp_od,gwr_pp_pop,gwr_r2
11858,-1.5119078686150471,-0.0348564607414838,-0.15829619715341092,0.8736206093108727,"POLYGON ((947735.230213883 1947765.54807064, 947735.230213883 1947865.54807064, 947835.230213883 1947865.54807064, 947835.230213883 1947765.54807064, 947735.230213883 1947765.54807064))",영등포구,서울특별시 영등포구 당산동 121-99번지,126.908716041,37.52804986,947755.6819532402,1947802.470784238,서울시의사회,-0.11651963456783862,-0.21560693748137097,-0.337173364223133,-0.7372429078850875,-0.3795071915457015,-0.2999600504658058,-0.25856174743791716,-0.2555338153851361,-0.6301476410058876,2.3471313529967386,1.0,"POLYGON ((947735.230213883 1947765.54807064, 947735.230213883 1947865.54807064, 947835.230213883 1947865.54807064, 947835.230213883 1947765.54807064, 947735.230213883 1947765.54807064))",-0.18559670737287445,-0.07515795038584155,-0.03090879988266581,0.07501318503348432,0.3091979339862107,0.04842674656160017,0.07749759156369856,0.5809512490552949
11877,0.8458655270736364,0.04946511324425111,-0.4710991334734818,-0.4053826239497676,"POLYGON ((947835.230213883 1944565.54807064, 947835.230213883 1944665.54807064, 947935.230213883 1944665.54807064, 947935.230213883 1944565.54807064, 947835.230213883 1944565.54807064))",영등포구,서울특별시 영등포구 신길동 3741-41번지,126.910951335,37.499286915,947933.2099591437,1944610.142967254,NoData,-0.39232689518062136,-0.44263836232953624,-0.4151135390159523,-0.788596899090131,-0.3795071915457015,-0.29060354320741966,-0.31924723426788565,-0.575715681678343,-0.3689424530939528,0.49623994969947355,1.0,"POLYGON ((947835.230213883 1944565.54807064, 947835.230213883 1944665.54807064, 947935.230213883 1944665.54807064, 947935.230213883 1944565.54807064, 947835.230213883 1944565.54807064))",-0.9349172209783863,-2.414882470249575,1.3256979755322698,0.04706277412867496,0.08602528432723758,-0.10394306461589198,-0.08577612600658938,0.6170739820973346
11878,0.5990495463903773,-0.0026817837657072377,-0.42151362637797324,-0.41152493065905504,"POLYGON ((947835.230213883 1944665.54807064, 947835.230213883 1944765.54807064, 947935.230213883 1944765.54807064, 947935.230213883 1944665.54807064, 947835.230213883 1944665.54807064))",영등포구,서울특별시 영등포구 신길동 3711번지,126.91070426,37.49979557,947911.7238150124,1944666.711988312,신영빌딩,-0.09196529616275019,-0.06415590645685698,-0.16273821699958274,-0.3777649694497832,-0.09141757805000214,-0.08458491183562378,-0.013195637114981293,-0.43281572121862316,-0.07208628683187557,0.3934126495162921,1.0,"POLYGON ((947835.230213883 1944665.54807064, 947835.230213883 1944765.54807064, 947935.230213883 1944765.54807064, 947935.230213883 1944665.54807064, 947835.230213883 1944665.54807064))",-0.9349977217938416,-2.4624141700220243,1.4723622160777377,0.034304190640189546,0.06568991759332939,-0.10219896197132779,-0.06897848651733837,0.6267978293881127
11881,0.9438464083521968,-1.200477553823606,0.09463744852501876,-0.4433629558919496,"POLYGON ((947835.230213883 1944965.54807064, 947835.230213883 1945065.54807064, 947935.230213883 1945065.54807064, 947935.230213883 1944965.54807064, 947835.230213883 1944965.54807064))",영등포구,서울특별시 영등포구 신길동 3491번지,126.910696906,37.502833953,947913.1845432074,1945003.807032012,NoData,-0.3978411289026644,-0.447277164375844,-0.4186028497580189,-0.5831809342699571,-0.3795071915457015,-0.28204409378286927,-0.3261614229133875,-0.6401818292541565,-0.5084872066360946,-0.5834467022239311,1.0,"POLYGON ((947835.230213883 1944965.54807064, 947835.230213883 1945065.54807064, 947935.230213883 1945065.54807064, 947935.230213883 1944965.54807064, 947835.230213883 1944965.54807064))",-0.7613113161836357,-1.870291432425773,2.294392328067447,-0.045750560123677994,-0.019165688881879896,-0.059968244946836134,0.29572884177153547,0.5825176385915699
11883,1.05550433110342,-1.445675559519287,-0.373233309380499,-0.47192261409937697,"POLYGON ((947835.230213883 1945165.54807064, 947835.230213883 1945265.54807064, 947935.230213883 1945265.54807064, 947935.230213883 1945165.54807064, 947835.230213883 1945165.54807064))",영등포구,서울특별시 영등포구 신길동 252-9번지,126.910072498,37.504572942,947859.2038151082,1945197.083638507,신길태원빌딩,0.058838815372038014,0.041039495820500205,-0.2553381540594897,-0.5831809342699571,-0.2354623847978518,-0.2999600504658058,-0.029345917796128676,-0.3823172389509026,0.5091540862694568,0.23917169924152004,1.0,"POLYGON ((947835.230213883 1945165.54807064, 947835.230213883 1945265.54807064, 947935.230213883 1945265.54807064, 947935.230213883 1945165.54807064, 947835.230213883 1945165.54807064))",-0.74978458179368,-1.865827434156568,2.7464678345730373,-0.08096356902730313,-0.028632903905152697,-0.03973146456246,0.42825143145755534,0.5438476951707493
11887,0.6444909721042724,-1.4171303619299125,-0.26222968650999295,-0.4648713188876057,"POLYGON ((947835.230213883 1945565.54807064, 947835.230213883 1945665.54807064, 947935.230213883 1945665.54807064, 947935.230213883 1945565.54807064, 947835.230213883 1945565.54807064))",영등포구,서울특별시 영등포구 신길동 232-80번지,126.91072492,37.507988905,947919.2419457294,1945575.7039495995,노박빌딩,-0.2463929282744951,-0.2488525341447557,-0.32402243975345746,0.033066960190564605,-0.30748478817177666,-0.22894160265175503,-0.2776212768934014,-0.4956702151050412,-0.21339594029234119,0.13634439905833864,1.0,"POLYGON ((947835.230213883 1945565.54807064, 947835.230213883 1945665.54807064, 947935.230213883 1945665.54807064, 947935.230213883 1945565.54807064, 947835.230213883 1945565.54807064))",0.19558884645373087,0.49939911965595335,2.4152711037339922,-0.031203174492477694,0.029327890668787708,-0.04738192515475704,0.4729139540599752,0.48417429530141465
11889,0.7184913643184101,-1.358837252772375,-0.07558050578179547,-0.458091826630664,"POLYGON ((947835.230213883 1945765.54807064, 947835.230213883 1945865.54807064, 947935.230213883 1945865.54807064, 947935.230213883 1945765.54807064, 947835.230213883 1945765.54807064))",영등포구,서울특별시 영등포구 신길동 225-12번지,126.910275488,37.509952927,947880.8859196104,1945793.8499305933,인의빌딩,-0.09914585070057266,-0.08595471168215184,-0.20325660956974279,-0.018287031014478868,-0.18744744921523526,-0.18852363264493102,-0.2266596192017417,-0.3178510913750891,-0.27536353742460196,0.736170316793563,1.0,"POLYGON ((947835.230213883 1945765.54807064, 947835.230213883 1945865.54807064, 947935.230213883 1945865.54807064, 947935.230213883 1945765.54807064, 947835.230213883 1945765.54807064))",0.003946909076063273,0.20998622619586324,1.6081186038618132,0.01552276416333086,0.21064351090882316,-0.11115186451072519,0.18328588050853442,0.07333987665863446
11890,0.6977803231161599,-1.2193064954071815,0.0015431197682920156,-0.4628200615087715,"POLYGON ((947835.230213883 1945865.54807064, 947835.230213883 1945965.54807064, 947935.230213883 1945965.54807064, 947935.230213883 1945865.54807064, 947835.230213883 1945865.54807064))",영등포구,서울특별시 영등포구 도림동 32-11번지,126.909751225,37.511347385,947835.522274056,1945948.847731965,진우빌딩,-0.2112630624974402,-0.2286016935979214,-0.3038111963306284,-0.685888916680044,-0.09141757805000214,-0.2780707009992698,-0.119165109589409,-0.25768268697099656,-0.3218784552719826,0.8047218502490178,2.0,"POLYGON ((947835.230213883 1945865.54807064, 947835.230213883 1945965.54807064, 947935.230213883 1945965.54807064, 947935.230213883 1945865.54807064, 947835.230213883 1945865.54807064))",0.05284668652985898,0.03118824899593024,1.3020861490922122,0.03511484079577426,0.40488753521720444,-0.12042827614282793,-0.0500176667934367,-0.016461426265366966
11891,0.6852626878809538,-0.9711451386864596,-0.10184194617502412,-0.4573096349885581,"POLYGON ((947835.230213883 1945965.54807064, 947835.230213883 1946065.54807064, 947935.230213883 1946065.54807064, 947935.230213883 1945965.54807064, 947835.230213883 1945965.54807064))",영등포구,서울특별시 영등포구 신길동 220-12번지,126.910318252,37.511720057,947885.8940623417,1945989.879386508,동아파크텔,-0.2841490153871425,-0.28493436872229344,-0.3593832355837321,-0.48047295185987016,-0.2354623847978518,-0.20569903932553504,-0.2815197389463793,-0.28561801758718236,-0.1697440823124638,-0.22355115158279626,2.0,"POLYGON ((947835.230213883 1945965.54807064, 947835.230213883 1946065.54807064, 947935.230213883 1946065.54807064, 947935.230213883 1945965.54807064, 947835.230213883 1945965.54807064))",0.17908078357318147,-0.22171081134226991,1.296296566753449,0.04086909073297901,0.5817861729465116,-0.08147606449761058,-0.2487952966783284,0.14455938043045208
11897,0.2262222530008607,-0.5774373951985109,-0.5124189466292792,-0.3863347139735366,"POLYGON ((947835.230213883 1946565.54807064, 947835.230213883 1946665.54807064, 947935.230213883 1946665.54807064, 947935.230213883 1946565.54807064, 947835.230213883 1946565.54807064))",영등포구,서울특별시 영등포구 영등포동1가 127번지,126.91064952,37.517128813,947918.929577334,1946589.76738959,"신한헤스티아, 여의도씨티아이",-0.045337401215466915,0.06223744633507674,0.1795327374499954,0.8033768282662167,0.052627228697847535,0.20672188185300006,-0.11146435899665433,1.1268352757988909,0.17405842177702877,-1.3032378035062009,1.0,"POLYGON ((947835.230213883 1946565.54807064, 947835.230213883 1946665.54807064, 947935.230213883 1946665.54807064, 947935.230213883 1946565.54807064, 947835.230213883 1946565.54807064))",0.9866485028405039,0.06747839426846827,0.23942069182387565,0.3241538801039238,0.8861612855254976,1.2030370817443763,0.8345904164713289,0.5122546070819917
11898,0.1704463472643351,-0.15860912181894354,-0.49851539448319687,0.5523911794838592,"POLYGON ((947835.230213883 1946665.54807064, 947835.230213883 1946765.54807064, 947935.230213883 1946765.54807064, 947935.230213883 1946665.54807064, 947835.230213883 1946665.54807064))",영등포구,서울특별시 영등포구 영등포동3가 13-6번지,126.91002536,37.51817868,947864.5023167434,1946706.5900835784,"유안모텔, 에스비호텔, 강화장학관, 모텔CF, 우성타워, 소담더블린, 삼웅빌딩",0.6453131004967889,1.0525025306774585,0.9727972671279266,6.555023843231086,-0.09141757805000214,1.0373810567585138,0.6405644274802692,0.43522095588970533,0.9055309979259085,-0.24068903494665977,1.0,"POLYGON ((947835.230213883 1946665.54807064, 947835.230213883 1946765.54807064, 947935.230213883 1946765.54807064, 947935.230213883 1946665.54807064, 947835.230213883 1946665.54807064))",0.9111664786165092,0.11091021093473331,0.23990084246325805,0.32842461104755694,0.846976038693949,1.1128768542337073,1.258727285739155,0.5247581714811138
11900,0.13937691085850604,-0.5057819475438162,-0.5447627918652627,0.672869842053703,"POLYGON ((947835.230213883 1946865.54807064, 947835.230213883 1946965.54807064, 947935.230213883 1946965.54807064, 947935.230213883 1946865.54807064, 947835.230213883 1946865.54807064))",영등포구,서울특별시 영등포구 영등포동2가 213번지,126.910324629,37.519898962,947892.1449948172,1946897.280157389,NoData,-0.37097638058841553,-0.4075087297088147,-0.4198417307012773,-0.9426588727052614,-0.3795071915457015,-0.2999600504658058,-0.3246879073004117,-0.6358840860824355,-0.13126926409300313,-1.5603060539641544,1.0,"POLYGON ((947835.230213883 1946865.54807064, 947835.230213883 1946965.54807064, 947935.230213883 1946965.54807064, 947935.230213883 1946865.54807064, 947835.230213883 1946865.54807064))",0.8172898873594122,-0.006945539168816799,0.40538137042099126,0.3135907355148927,0.7886967189754932,0.7444862243470144,1.1614307866645144,0.5779917150463936
11901,-0.21677589751320836,-0.3830933504473058,-1.10648888805146,0.7277595863287003,"POLYGON ((947835.230213883 1946965.54807064, 947835.230213883 1947065.54807064, 947935.230213883 1947065.54807064, 947935.230213883 1946965.54807064, 947835.230213883 1946965.54807064))",영등포구,서울특별시 영등포구 영등포동2가 242번지,126.910239242,37.520638293,947885.1137647516,1946979.352207751,"동일빌딩, 프리스틴",-0.11236422106215434,-0.06523031615144638,-0.12841620251453137,0.5979608634460428,-0.09141757805000214,-0.07436294252631884,-0.2263058380638944,0.13054677954112462,-0.020747309207742967,-0.8405149526818847,3.0,"POLYGON ((947835.230213883 1946965.54807064, 947835.230213883 1947065.54807064, 947935.230213883 1947065.54807064, 947935.230213883 1946965.54807064, 947835.230213883 1946965.54807064))",0.7450647224281111,-0.06161175572553738,0.5260831643400229,0.27206590959664645,0.7198975585778754,0.5705364671221569,0.9914553788361662,0.6076066925890711
11902,-0.40340109267480284,-0.27876692339962394,-0.25259679265289947,0.7793224761136331,"POLYGON ((947835.230213883 1947065.54807064, 947835.230213883 1947165.54807064, 947935.230213883 1947165.54807064, 947935.230213883 1947065.54807064, 947835.230213883 1947065.54807064))",영등포구,서울특별시 영등포구 영등포동2가 431-2번지,126.909709825,37.52147049,947838.9101487132,1947071.9733776583,"케렌시아431, 범영오피스텔, 오스본오피스텔, 진흥빌딩",-0.08313088704966541,0.03996508612591074,-0.14346077170091728,0.8033768282662167,-0.163439981423927,0.011091769188624083,-0.24496349962493066,-0.04924214314253295,-0.31070075578926465,-0.6348603523155218,3.0,"POLYGON ((947835.230213883 1947065.54807064, 947835.230213883 1947165.54807064, 947935.230213883 1947165.54807064, 947935.230213883 1947065.54807064, 947835.230213883 1947065.54807064))",0.6498310691064995,-0.0846319552778129,0.6206916888612959,0.21671785230988358,0.6169704843135826,0.4462894379642796,0.8248723081481761,0.6175561859717499
11903,-0.6712305955247135,-0.195871608268373,-0.24499859110242841,0.8399622647764957,"POLYGON ((947835.230213883 1947165.54807064, 947835.230213883 1947265.54807064, 947935.230213883 1947265.54807064, 947935.230213883 1947165.54807064, 947835.230213883 1947165.54807064))",영등포구,서울특별시 영등포구 영등포동2가 94-268번지,126.90986191,37.522572338,947853.1161893256,1947194.1331327755,"카보드동우빌딩, 영등포오피스텔",0.0808625069521647,0.2463739552248483,0.010748529170558897,2.0872266083923035,-0.13257323712081634,0.22584829576866491,0.049372102759068205,-0.05519758725191775,-0.23033897950825047,-0.8111357240581185,3.0,"POLYGON ((947835.230213883 1947165.54807064, 947835.230213883 1947265.54807064, 947935.230213883 1947265.54807064, 947935.230213883 1947165.54807064, 947835.230213883 1947165.54807064))",0.5194063886570218,-0.06468303060620337,0.5108696675909328,0.17796676951356263,0.56723840640256,0.374891779395775,0.7027877020116857,0.5899040636283633
11904,-0.948197237762835,-0.13576455623700362,-0.26801365297105795,0.8827636043284528,"POLYGON ((947835.230213883 1947265.54807064, 947835.230213883 1947365.54807064, 947935.230213883 1947365.54807064, 947935.230213883 1947265.54807064, 947835.230213883 1947265.54807064))",영등포구,서울특별시 영등포구 영등포동7가 94-351번지,126.909797649,37.523912665,947848.3707988738,1947342.870820352,NoData,-0.0016224511356682633,0.059996971142567995,0.0857254933479007,0.7006688458561298,-0.09141757805000214,0.13600381777483514,-0.2936135582314325,0.15060291434248874,-0.1829612217008005,-1.1147210865037018,2.0,"POLYGON ((947835.230213883 1947265.54807064, 947835.230213883 1947365.54807064, 947935.230213883 1947365.54807064, 947935.230213883 1947265.54807064, 947835.230213883 1947265.54807064))",0.3092061722854864,0.0051174134034570416,0.1702279599566609,0.14302783665494706,0.5298777611997149,0.38383078322846337,0.5793410318516056,0.5073377120326513
11906,-1.179430385460056,-0.07912388880713979,-1.10648888805146,0.950496873889976,"POLYGON ((947835.230213883 1947465.54807064, 947835.230213883 1947565.54807064, 947935.230213883 1947565.54807064, 947935.230213883 1947465.54807064, 947835.230213883 1947465.54807064))",영등포구,서울특별시 영등포구 영등포동7가 94-364번지,126.910406963,37.525819023,947903.5373829108,1947554.0333758788,영등포 리버텔,0.2379371374670305,0.09404201009055248,-0.0025440831801711076,0.2384829250107385,-0.09141757805000214,0.030090296959307802,-0.016678492200196827,-0.11943861494730776,-0.49797624712252125,1.1817552842540164,2.0,"POLYGON ((947835.230213883 1947465.54807064, 947835.230213883 1947565.54807064, 947935.230213883 1947565.54807064, 947935.230213883 1947465.54807064, 947835.230213883 1947465.54807064))",-0.021301857006728958,0.21971907423879855,0.06000339728080205,0.0762152287861246,0.39523887622883586,0.6372651874102223,0.3799028145125991,0.5231761977691695
11908,-1.5413631440818032,-0.009348722846579213,-1.10648888805146,1.0088447722494518,"POLYGON ((947835.230213883 1947665.54807064, 947835.230213883 1947765.54807064, 947935.230213883 1947765.54807064, 947935.230213883 1947665.54807064, 947835.230213883 1947665.54807064))",영등포구,서울특별시 영등포구 당산동 121-147번지,126.909796292,37.526939111,947850.3577336356,1947678.6395790984,NoData,-0.2690233102264517,-0.36930353568746754,-0.3486315329216601,-0.6345349254750006,-0.09141757805000214,-0.2999600504658058,-0.2316709461931909,-0.06643311582941648,-0.6372072406791831,-0.5320330521323404,1.0,"POLYGON ((947835.230213883 1947665.54807064, 947835.230213883 1947765.54807064, 947935.230213883 1947765.54807064, 947935.230213883 1947665.54807064, 947835.230213883 1947665.54807064))",-0.34036839563184346,0.2457137580040108,0.2006393787429166,0.0607020283671249,0.3431843684710073,0.5679971058124519,0.05436373136094535,0.7233787536057733
11927,0.8413600609886327,-0.6732919957953694,-0.5108331659636838,-0.3997004298616383,"POLYGON ((947935.230213883 1944565.54807064, 947935.230213883 1944665.54807064, 948035.230213883 1944665.54807064, 948035.230213883 1944565.54807064, 947935.230213883 1944565.54807064))",영등포구,서울특별시 영등포구 신길동 3774번지,126.911610907,37.49924491,947991.48180201,1944605.1180739503,NoData,-0.3922313206699906,-0.44895242878115166,-0.4164562191589803,-0.788596899090131,-0.3795071915457015,-0.28775138476470113,-0.3133291284376822,-0.446783386526716,-0.33646829459679334,1.113203750798562,1.0,"POLYGON ((947935.230213883 1944565.54807064, 947935.230213883 1944665.54807064, 948035.230213883 1944665.54807064, 948035.230213883 1944565.54807064, 947935.230213883 1944565.54807064))",-1.0720850785778817,-2.737210282110191,1.349483203346641,0.04402234845962314,0.06355025934723045,-0.09143383675197699,-0.07394099924036279,0.6412815004212215
