grid_idx,pp_pop,pp_od,pp_drr,bs_ebit,geometry_grids,sigungunm,platplc,x,y,x_5179,y_5179,bdnm,bd_platarea,bd_archarea,bd_totarea,bd_totflrcnt,bd_elvtent,bs_gas,bs_elct,bd_height,bd_ilp,bd_vintage,count,geometry,gwr_const,gwr_bs_ebit,gwr_bs_elct,gwr_bd_height,gwr_bd_totflrcnt,gwr_pp_od,gwr_pp_drr,gwr_r2
26634,1.3623278589119168,-0.855928133861351,0.11820884374835099,-0.9773084758930269,"POLYGON ((956735.230213883 1950565.54807064, 956735.230213883 1950665.54807064, 956835.230213883 1950665.54807064, 956835.230213883 1950565.54807064, 956735.230213883 1950565.54807064))",중구,서울특별시 중구 신당동 369-48번지,127.010767433,37.554208311,956787.841387456,1950652.812048877,"JYJ빌딩, MH빌딩",-0.3595903323458232,-0.3740997261307766,-0.3795476620141798,0.2670246566139358,-0.15050359905127916,-0.30887703668345834,-0.3074856117917133,-0.11218664712589407,-0.07916113958926652,-0.7355233403938685,10,"POLYGON ((956735.230213883 1950565.54807064, 956735.230213883 1950665.54807064, 956835.230213883 1950665.54807064, 956835.230213883 1950565.54807064, 956735.230213883 1950565.54807064))",-0.07799858212494784,0.024780662240640655,0.00144613395408612,0.5458771432677593,0.032858272862046616,0.10591459852117453,0.19717103905228955,0.7626695510571396
26635,1.5311781978859107,-0.6955472050017054,0.1168556908821258,-0.9587357750908178,"POLYGON ((956735.230213883 1950665.54807064, 956735.230213883 1950765.54807064, 956835.230213883 1950765.54807064, 956835.230213883 1950665.54807064, 956735.230213883 1950665.54807064))",중구,서울특별시 중구 신당동 369-101번지,127.011192254,37.555160849,956825.9140829034,1950758.2959032324,톰캣프라자,-0.30159895171931245,-0.24921909107307272,-0.31888750943068983,0.05614136900695059,-0.16791656517503775,-0.2514728727305886,-0.19821794338010018,-0.11412826207084112,0.0193445094841028,-0.3865209696301982,10,"POLYGON ((956735.230213883 1950665.54807064, 956735.230213883 1950765.54807064, 956835.230213883 1950765.54807064, 956835.230213883 1950665.54807064, 956735.230213883 1950665.54807064))",-0.17581637476123366,-0.12922167792270903,0.0031820852159464424,0.5434546557636469,0.025083700549914763,0.1688596813032694,0.19764512153472522,0.7464811972344236
26636,1.5248338631492142,-0.6097930464920344,-0.24630916914339995,-0.9396447297387566,"POLYGON ((956735.230213883 1950765.54807064, 956735.230213883 1950865.54807064, 956835.230213883 1950865.54807064, 956835.230213883 1950765.54807064, 956735.230213883 1950765.54807064))",중구,서울특별시 중구 신당동 425-18번지,127.01029188,37.555814512,956746.7656022542,1950831.2303052496,"스탭스 빌딩, 신당동빌딩, 약수장여관, 샘클리닉빌딩",-0.09923742072190785,-0.03164625599169071,-0.29645895204525713,0.8153212043920974,-0.16791656517503775,-0.047460052031175766,-0.11469139497364746,-0.2998098117758714,-0.2996161341519863,-0.21935176682743188,10,"POLYGON ((956735.230213883 1950765.54807064, 956735.230213883 1950865.54807064, 956835.230213883 1950865.54807064, 956835.230213883 1950765.54807064, 956735.230213883 1950765.54807064))",-0.3121136684124831,-0.31721420980839743,0.01281033475802732,0.536435365626482,0.014735636953236087,0.22582086878916546,0.19168042304585095,0.7252928204015279
26637,1.5480267643698236,-0.5030864998779417,-0.33867399769278866,-0.8974621776485472,"POLYGON ((956735.230213883 1950865.54807064, 956735.230213883 1950965.54807064, 956835.230213883 1950965.54807064, 956835.230213883 1950865.54807064, 956735.230213883 1950865.54807064))",중구,서울특별시 중구 신당동 424-7번지,127.010690817,37.556540689,956782.4211374592,1950911.612331624,"이베이테크 사옥, JB빌딩, 랜더스빌딩",-0.048582152511715805,0.013419096125697557,-0.26608408981639137,1.2792644371274648,-0.15824269510628297,-0.1345982450915473,-0.2150810188156866,-0.32005121255736463,-0.4529281517567651,-0.8541385252285799,10,"POLYGON ((956735.230213883 1950865.54807064, 956735.230213883 1950965.54807064, 956835.230213883 1950965.54807064, 956835.230213883 1950865.54807064, 956735.230213883 1950865.54807064))",-0.37264353985016563,-0.34857713535684426,0.0224703091856808,0.5062699908837431,0.004026536804972473,0.19349167730745437,0.16933697872846726,0.7002567061664677
26638,1.5291045776135668,-0.4466590732849266,-1.018282812376316,-0.8762108727690074,"POLYGON ((956735.230213883 1950965.54807064, 956735.230213883 1951065.54807064, 956835.230213883 1951065.54807064, 956835.230213883 1950965.54807064, 956735.230213883 1950965.54807064))",중구,서울특별시 중구 신당동 377-35번지,127.010629612,37.557286808,956777.4462259256,1950994.4184710688,"삼창빌딩, 한빛터",-0.4876498999978481,-0.5101907629393049,-0.4264801251212678,-0.3656252062070199,-0.3130246162063592,-0.2297562790259914,-0.3740337371592029,-0.4383155766739543,-0.5818855837198479,0.11303144342368233,10,"POLYGON ((956735.230213883 1950965.54807064, 956735.230213883 1951065.54807064, 956835.230213883 1951065.54807064, 956835.230213883 1950965.54807064, 956735.230213883 1950965.54807064))",-0.3114751203225594,-0.14963104225406776,0.03417970448944663,0.4661711795173372,-0.010448756805312095,0.00993314280933827,0.1365484706189978,0.6724494185147373
26639,1.4928177226022616,-0.41056117692375144,-1.271215725626142,-0.8498653709278438,"POLYGON ((956735.230213883 1951065.54807064, 956735.230213883 1951165.54807064, 956835.230213883 1951165.54807064, 956835.230213883 1951065.54807064, 956735.230213883 1951065.54807064))",중구,서울특별시 중구 신당동 411-15번지,127.011118753,37.558547115,956821.3760576904,1951134.018137151,NoData,-0.7585953631040324,-0.7701131473739389,-0.5118613152465613,-0.9560984115065786,-0.4291110570314162,-0.30072248942397845,-0.4200611517969355,-0.6597688475032608,-0.6161465397352784,-0.653405135508299,7,"POLYGON ((956735.230213883 1951065.54807064, 956735.230213883 1951165.54807064, 956835.230213883 1951165.54807064, 956835.230213883 1951065.54807064, 956735.230213883 1951065.54807064))",-0.3839689729855525,-0.27818577408884587,0.3361988938757617,0.3828305550143775,-0.05555603520255545,0.021047048428674234,0.0947240470419571,0.6405788053577964
26641,1.5025487935773423,-0.2770137072631467,-1.271215725626142,-0.8070601354248504,"POLYGON ((956735.230213883 1951265.54807064, 956735.230213883 1951365.54807064, 956835.230213883 1951365.54807064, 956835.230213883 1951265.54807064, 956735.230213883 1951265.54807064))",중구,서울특별시 중구 신당동 405-3번지,127.010192861,37.559994117,956740.4361690186,1951294.9812503208,"세아빌딩, 옥청, 리바이트, 동우빌딩",-0.28919366267480223,-0.30360072682027567,-0.3751018580060634,-0.07038860355724055,-0.3420462264126234,-0.21845056453644698,-0.3677342696586628,-0.39800172420256297,-0.6079647382908621,0.0445996060190415,7,"POLYGON ((956735.230213883 1951265.54807064, 956735.230213883 1951365.54807064, 956835.230213883 1951365.54807064, 956835.230213883 1951265.54807064, 956735.230213883 1951265.54807064))",-0.3671474663241723,-0.24503999047078798,0.5817611860501372,0.23798532405250664,-0.052208276359243376,-0.11825735891786097,0.0911898033250635,0.5666805176438824
26642,1.527871927232346,-0.2110054834451656,-1.271215725626142,-0.7867076497507125,"POLYGON ((956735.230213883 1951365.54807064, 956735.230213883 1951465.54807064, 956835.230213883 1951465.54807064, 956835.230213883 1951365.54807064, 956735.230213883 1951365.54807064))",중구,서울특별시 중구 신당동 402-3번지,127.010906833,37.560970843,956804.0581799012,1951403.0155701225,"현희빌딩, 싼드라빌딩, 경진빌딩, 현진빌딩",-0.307093939184272,-0.31405116671806754,-0.3820672708516632,0.30920131413533286,-0.4291110570314162,-0.19780200003043652,-0.3220417351597658,-0.49250924682408387,-0.5655219808310151,0.15409054586646706,7,"POLYGON ((956735.230213883 1951365.54807064, 956735.230213883 1951465.54807064, 956835.230213883 1951465.54807064, 956835.230213883 1951365.54807064, 956735.230213883 1951365.54807064))",-0.4226719472108726,-0.27752826608550857,0.4681831913246879,0.2603705689830516,-0.036620054743363745,-0.09904994100590518,0.07110635234061341,0.44996868142437796
26643,1.3603993942770374,0.053984441372421754,-0.91678803969264,-0.7664230635219502,"POLYGON ((956735.230213883 1951465.54807064, 956735.230213883 1951565.54807064, 956835.230213883 1951565.54807064, 956835.230213883 1951465.54807064, 956735.230213883 1951465.54807064))",중구,서울특별시 중구 신당동 398-1번지,127.010410386,37.561572334,956760.5601051538,1951469.976180932,"인영빌딩, 자바빌딩, 정우빌딩, 부흥빌딩, 제선한의원",0.3989531476141475,0.3929293863674742,-0.17675573910788897,1.4901477247344501,-0.3657911802177487,-0.1792798720369276,-0.20110535435494906,-0.4887876409602751,-0.5152784047002811,0.5932985204817101,7,"POLYGON ((956735.230213883 1951465.54807064, 956735.230213883 1951565.54807064, 956835.230213883 1951565.54807064, 956835.230213883 1951465.54807064, 956735.230213883 1951465.54807064))",-0.550987478152223,-0.47310081684557315,0.385397341031714,0.3194216010199959,-0.037156940143669964,0.08490828941171004,0.06620169221070625,0.6128717863037573
26644,1.2476329987754744,0.13929622307122821,-0.8810753676118391,-0.749611337523193,"POLYGON ((956735.230213883 1951565.54807064, 956735.230213883 1951665.54807064, 956835.230213883 1951665.54807064, 956835.230213883 1951565.54807064, 956735.230213883 1951565.54807064))",중구,서울특별시 중구 신당동 393-24번지,127.010212812,37.562875227,956743.8640170094,1951614.6163857337,"명지빌딩, 올디스빌딩",-0.43015327101024886,-0.44688632634913683,-0.43016456819833065,-0.44997852124981397,-0.4291110570314162,-0.2919064375933018,-0.3705919135100596,-0.5615184526987094,-0.5395886405431687,0.9615862272412331,7,"POLYGON ((956735.230213883 1951565.54807064, 956735.230213883 1951665.54807064, 956835.230213883 1951665.54807064, 956835.230213883 1951565.54807064, 956735.230213883 1951565.54807064))",-0.5950477047053392,-0.4865430407658093,0.2644997156100192,0.3242870562174592,-0.03441304610370657,0.25783959124530353,0.059983807084990175,0.7836851727267954
26646,1.1465980289639555,0.27084582562393594,1.2574737659196529,-0.7174830743376671,"POLYGON ((956735.230213883 1951765.54807064, 956735.230213883 1951865.54807064, 956835.230213883 1951865.54807064, 956835.230213883 1951765.54807064, 956735.230213883 1951765.54807064))",중구,서울특별시 중구 신당동 228-16번지,127.010459411,37.564440586,956766.5474720912,1951788.1714975,아리움사옥,-0.3333766061661193,-0.3916521445637604,-0.39462132885083706,0.05614136900695059,-0.4291110570314162,-0.2958658431358103,-0.30544284294481633,-0.43051792629264074,-0.18848944879109153,0.3648606050727623,7,"POLYGON ((956735.230213883 1951765.54807064, 956735.230213883 1951865.54807064, 956835.230213883 1951865.54807064, 956835.230213883 1951765.54807064, 956735.230213883 1951765.54807064))",-0.5720864691278559,-0.3654005417604544,0.21429474440860588,0.25708081102218167,-0.04859472625260612,0.6168557142838254,0.05695191152170693,0.8752807897644586
26647,1.1704415250169837,0.28785391529011384,2.080109468476042,-0.7077991389457283,"POLYGON ((956735.230213883 1951865.54807064, 956735.230213883 1951965.54807064, 956835.230213883 1951965.54807064, 956835.230213883 1951865.54807064, 956735.230213883 1951865.54807064))",중구,서울특별시 중구 을지로7가 4-24번지,127.010278276,37.565580616,956751.2096511652,1951914.7353756567,서울메트로 동대문 별관,-0.22994107090319743,-0.19816662831656548,-0.07539196754704917,-0.492155178771211,0.26740758791892644,0.09815033418065226,-0.42415041038116086,1.2537745560710984,0.1700192687575131,-0.817641545279438,7,"POLYGON ((956735.230213883 1951865.54807064, 956735.230213883 1951965.54807064, 956835.230213883 1951965.54807064, 956835.230213883 1951865.54807064, 956735.230213883 1951865.54807064))",-0.6531985115583181,-0.41441526674430534,0.19110396054937218,0.2007729865117031,-0.04544178909783912,0.854250390057376,0.06807082687529069,0.8933807134308923
26651,0.9198433636160741,0.4545146138091299,1.8129517802024517,-0.6374409637562874,"POLYGON ((956735.230213883 1952265.54807064, 956735.230213883 1952365.54807064, 956835.230213883 1952365.54807064, 956835.230213883 1952265.54807064, 956735.230213883 1952265.54807064))",중구,서울특별시 중구 신당동 772번지,127.010833382,37.569174911,956802.3087956118,1952313.2489646005,남평화시장,0.11837219357309677,0.4127886940802216,-0.216729587234833,-0.8717450964637844,-0.4291110570314162,-0.11431050126073505,0.158608007220488,-0.44455369697900526,0.3605499320967932,1.3995499866309378,9,"POLYGON ((956735.230213883 1952265.54807064, 956735.230213883 1952365.54807064, 956835.230213883 1952365.54807064, 956835.230213883 1952265.54807064, 956735.230213883 1952265.54807064))",-0.486338259115289,-0.12020804999001863,0.14982118488524707,0.12859375085145835,-0.039153038026523014,1.0391778739365238,0.13799182085593525,0.8028017585359235
26654,1.365875069594776,-1.131000887194296,-0.33022285469684365,-1.0462934266953752,"POLYGON ((956835.230213883 1950365.54807064, 956835.230213883 1950465.54807064, 956935.230213883 1950465.54807064, 956935.230213883 1950365.54807064, 956835.230213883 1950365.54807064))",중구,서울특별시 중구 신당동 844-3번지,127.012382404,37.552141568,956929.2974697634,1950422.7767102409,"약수 지구대, 디아이피빌딩",-0.586283911158547,-0.6006146504270282,-0.4712612637488033,-0.534331836292608,-0.19693817538130204,-0.28927966307785874,-0.38275922522108513,-0.45079181728405604,-0.5489207546659088,-1.3103507745928549,9,"POLYGON ((956835.230213883 1950365.54807064, 956835.230213883 1950465.54807064, 956935.230213883 1950465.54807064, 956935.230213883 1950365.54807064, 956835.230213883 1950365.54807064))",-0.03647392707844577,0.09742762060578097,0.006209277852547775,0.521642812716026,0.038320257902458965,0.07624756453960058,0.19722983078169454,0.7821315006543023
26655,1.4322339868644531,-0.9839413234451445,-0.01917078707346899,-1.0091118101670844,"POLYGON ((956835.230213883 1950465.54807064, 956835.230213883 1950565.54807064, 956935.230213883 1950565.54807064, 956935.230213883 1950465.54807064, 956835.230213883 1950465.54807064))",중구,서울특별시 중구 신당동 372-31번지,127.011722834,37.552954948,956871.5067698358,1950513.31929718,NoData,-0.6353535409194407,-0.6233286371816236,-0.4307563823674269,-0.7452151238995933,-0.0808517345562449,-0.27677602394665624,-0.2600070498856933,0.1168771304755745,-0.168269868191821,-0.653405135508299,9,"POLYGON ((956835.230213883 1950465.54807064, 956835.230213883 1950565.54807064, 956935.230213883 1950565.54807064, 956935.230213883 1950465.54807064, 956835.230213883 1950465.54807064))",-0.10457168441127038,-0.013552516050296004,0.02271714712893458,0.5264421202385762,0.03189734970688708,0.1174558036908019,0.19949705351412,0.772104038159282
26656,1.6395337269296686,-0.8360410279456884,0.04895980309585009,-0.9929682663824655,"POLYGON ((956835.230213883 1950565.54807064, 956835.230213883 1950665.54807064, 956935.230213883 1950665.54807064, 956935.230213883 1950565.54807064, 956835.230213883 1950565.54807064))",중구,서울특별시 중구 신당동 373-64번지,127.01144525,37.554259925,956847.740671596,1950658.2269694773,"미향빌딩, 성원빌딩",-0.21562571610518466,-0.19924677714321062,-0.3628896926518742,0.5200846017423181,-0.3296083934670816,-0.2349641241046858,-0.21041502221457772,-0.4358648865541129,-0.26338707106586184,-0.03165301280327289,9,"POLYGON ((956835.230213883 1950565.54807064, 956835.230213883 1950665.54807064, 956935.230213883 1950665.54807064, 956935.230213883 1950565.54807064, 956835.230213883 1950565.54807064))",-0.17214767928723612,-0.13492964818616326,0.026263937119373068,0.5229829438995496,0.024956943952016572,0.1782725523154527,0.20122414094095625,0.7615415520421137
26657,1.6698705089676824,-0.7215653799068534,-0.22698740612506613,-0.9712731685678252,"POLYGON ((956835.230213883 1950665.54807064, 956835.230213883 1950765.54807064, 956935.230213883 1950765.54807064, 956935.230213883 1950665.54807064, 956835.230213883 1950665.54807064))",중구,서울특별시 중구 신당동 373-71번지,127.011504948,37.554607588,956853.2140574632,1950696.7709378155,"MJ빌딩, 대승빌딩, 신일교회 봉사관, 광영빌딩",0.09266132971490945,0.1149530858303426,-0.20973538342965545,0.9418511769562886,-0.27985706168491425,-0.1965487495519147,-0.011466452622800539,-0.18789960442834014,-0.28575451920131884,-0.07857770130931271,9,"POLYGON ((956835.230213883 1950665.54807064, 956835.230213883 1950765.54807064, 956935.230213883 1950765.54807064, 956935.230213883 1950665.54807064, 956835.230213883 1950665.54807064))",-0.30325746704917117,-0.33754310353224615,0.03288710483087015,0.5099737370044131,0.016603711829857273,0.26143633279347944,0.20375118675980988,0.7501347065830184
26658,1.7088995691180875,-0.6246020268560404,-0.284376083494263,-0.95366600376497,"POLYGON ((956835.230213883 1950765.54807064, 956835.230213883 1950865.54807064, 956935.230213883 1950865.54807064, 956935.230213883 1950765.54807064, 956835.230213883 1950765.54807064))",중구,서울특별시 중구 신당동 370-17번지,127.011833957,37.5559713,956883.0600078788,1950847.91662688,"로얄빌딩, 로즈앤라임빌딩(RNL), 신일교회, 장호물산, 차영오피스텔, 한스오피스텔",0.8074922857746593,0.9071905573378628,-0.036184118894646206,2.164974245076803,-0.24158680646786246,-0.17014148706974053,0.1603307794902754,-0.316648237955058,-0.3876892074612719,-0.19227983115087033,9,"POLYGON ((956835.230213883 1950765.54807064, 956835.230213883 1950865.54807064, 956935.230213883 1950865.54807064, 956935.230213883 1950765.54807064, 956835.230213883 1950765.54807064))",-0.4554382092804827,-0.5636686229562926,0.08182794776713188,0.49088022142845794,0.0010189860712279536,0.3422817259605529,0.1970175642933146,0.733715218848401
26659,1.7475098093186638,-0.606998731334391,-0.36131846716644656,-0.9356726732493336,"POLYGON ((956835.230213883 1950865.54807064, 956835.230213883 1950965.54807064, 956935.230213883 1950965.54807064, 956935.230213883 1950865.54807064, 956835.230213883 1950865.54807064))",중구,서울특별시 중구 신당동 377-143번지,127.011334195,37.556984025,956839.5027058696,1950960.502514908,"진빌딩, 태양빌딩, 신영빌딩",0.04634933203975199,0.023541633701115137,-0.2472468047638327,1.0262044919990827,-0.18035439812057957,-0.21475335535124918,-0.1260512734610361,-0.07611471646193729,-0.3711878020630718,-0.6651363076348089,9,"POLYGON ((956835.230213883 1950865.54807064, 956835.230213883 1950965.54807064, 956935.230213883 1950965.54807064, 956935.230213883 1950865.54807064, 956835.230213883 1950865.54807064))",-0.582344298258249,-0.7119568740693165,0.11177349320568084,0.4482421266185208,-0.009231391761395147,0.3783896538534705,0.18110930936297065,0.7077073576421339
