grid_idx,pp_pop,pp_od,pp_drr,bs_ebit,geometry_grids,sigungunm,platplc,x,y,x_5179,y_5179,bdnm,bd_platarea,bd_archarea,bd_totarea,bd_totflrcnt,bd_elvtent,bs_gas,bs_elct,bd_height,bd_ilp,bd_vintage,count,geometry,gwr_const,gwr_bs_ebit,gwr_bs_elct,gwr_bd_height,gwr_bd_vintage,gwr_pp_od,gwr_pp_pop,gwr_r2
12173,0.8520409044959862,-2.2375634460268428,-0.08255090835782672,-0.48033695738844234,"POLYGON ((948435.230213883 1944765.54807064, 948435.230213883 1944865.54807064, 948535.230213883 1944865.54807064, 948535.230213883 1944765.54807064, 948435.230213883 1944765.54807064))",영등포구,서울특별시 영등포구 신길동 2332번지,126.916722375,37.501014814,948444.512505176,1944798.6662371769,"태영빌딩, 청계빌딩",-0.317214054454125,-0.34519795406955556,-0.3943134880945754,-0.37128838448726115,-0.2361953186977932,-0.2063498431822983,-0.3154276658220515,-0.6047155426374785,-0.5142602280767218,-0.3836696088158533,6,"POLYGON ((948435.230213883 1944765.54807064, 948435.230213883 1944865.54807064, 948535.230213883 1944865.54807064, 948535.230213883 1944765.54807064, 948435.230213883 1944765.54807064))",-0.08469549372215557,-0.5724832949683909,1.2590959482197057,0.2285731340893814,0.08986432808862121,-0.06494043284867261,-0.17928962322551864,0.6677067181578065
12184,0.9334713630657004,-1.8117734112811579,-0.6814184024212199,-0.11934380370045945,"POLYGON ((948435.230213883 1945865.54807064, 948435.230213883 1945965.54807064, 948535.230213883 1945965.54807064, 948535.230213883 1945865.54807064, 948435.230213883 1945865.54807064))",영등포구,서울특별시 영등포구 신길동 116-17번지,126.917336432,37.511508335,948505.997556446,1945962.525936108,NoData,-0.14968412970547917,-0.09233061962089976,-0.23408022686178753,1.1626433801718563,-0.054622065627807595,-0.15059523913687634,-0.3282177823967037,0.03637045877852995,-0.30433724718494126,-1.5889117650056788,5,"POLYGON ((948435.230213883 1945865.54807064, 948435.230213883 1945965.54807064, 948535.230213883 1945965.54807064, 948535.230213883 1945865.54807064, 948435.230213883 1945865.54807064))",-0.0785404360705605,-0.06053645332950336,0.4675269368839248,0.3932418451685475,0.05819115627827307,-0.030220345877024324,-0.1476210339555579,0.4411962518039019
12185,0.7519357717989078,-1.695492738646471,-0.6152124893238355,-0.0809551955975827,"POLYGON ((948435.230213883 1945965.54807064, 948435.230213883 1946065.54807064, 948535.230213883 1946065.54807064, 948535.230213883 1945965.54807064, 948435.230213883 1945965.54807064))",영등포구,서울특별시 영등포구 신길동 115-13번지,126.916753629,37.511617843,948454.5660779324,1945974.9943501863,미주 메디컬 빌딩,-0.26216085180625603,-0.26681469064450064,-0.29182480084164314,-0.2318400422455232,-0.09652358556703504,-0.2518556281981563,-0.19106804247909873,0.030623671913247063,-0.11712496300954997,-0.9496673064740586,5,"POLYGON ((948435.230213883 1945965.54807064, 948435.230213883 1946065.54807064, 948535.230213883 1946065.54807064, 948535.230213883 1945965.54807064, 948435.230213883 1945965.54807064))",-0.11285541553423983,-0.058608106516097956,0.4463350305051073,0.3736818420245898,0.05529942498466558,-0.030589103574485466,-0.12297722438160308,0.3949593124704698
12186,0.6492235737994719,-1.562192328588788,-0.5720897653502768,0.49736113127712245,"POLYGON ((948435.230213883 1946065.54807064, 948435.230213883 1946165.54807064, 948535.230213883 1946165.54807064, 948535.230213883 1946065.54807064, 948435.230213883 1946065.54807064))",영등포구,서울특별시 영등포구 신길동 110-5번지,126.916962531,37.512550151,948473.6692736094,1946078.31424998,카슴빌딩,-0.15559191663063912,-0.161900872017413,-0.3001784428789552,-0.41777116523450714,-0.09652358556703504,-0.2772259015224375,-0.1632942372507554,-0.30939455094932716,-0.04561128520040825,2.3464369328296075,5,"POLYGON ((948435.230213883 1946065.54807064, 948435.230213883 1946165.54807064, 948535.230213883 1946165.54807064, 948535.230213883 1946065.54807064, 948435.230213883 1946065.54807064))",-0.18432820960472127,-0.04537719010142534,0.3672493138598599,0.3593148844153854,0.049093646544028556,-0.04589875226915513,-0.08840023485738607,0.3023121164650886
12189,0.028370924080455905,-0.8772695690782086,-0.8818795754251003,0.7688840839902107,"POLYGON ((948435.230213883 1946365.54807064, 948435.230213883 1946465.54807064, 948535.230213883 1946465.54807064, 948535.230213883 1946365.54807064, 948435.230213883 1946365.54807064))",영등포구,서울특별시 영등포구 신길동 51-3번지,126.917271076,37.515190496,948502.751692664,1946371.076816213,"명성타워힐, 디지컴코리아엠앤엠사옥",-0.26843085872575173,-0.279053834686133,-0.29024803452924525,0.14002220373244464,-0.16635945213241413,-0.12573279983099506,-0.26111881513119484,-0.10206325148739696,-0.41637821791897417,-0.08402376887915623,5,"POLYGON ((948435.230213883 1946365.54807064, 948435.230213883 1946465.54807064, 948535.230213883 1946465.54807064, 948535.230213883 1946365.54807064, 948435.230213883 1946365.54807064))",-0.10305453957472054,-0.100931465500976,0.5729965356398716,0.4470849677494757,0.033665920540052886,-0.02803672778530331,0.019917454173510287,0.6091852831595072
12201,-1.9331987576941243,0.5154423420345497,3.0782004450615688,1.9102601192107296,"POLYGON ((948435.230213883 1947565.54807064, 948435.230213883 1947665.54807064, 948535.230213883 1947665.54807064, 948535.230213883 1947565.54807064, 948435.230213883 1947565.54807064))",영등포구,서울특별시 영등포구 여의도동 18-3번지,126.916475568,37.526703832,948440.3733972438,1947648.8542754755,"한국보이스카우트연맹회관, 동성빌딩",0.13333678060557935,0.33208639031116816,0.5880744411423461,0.41891888821592055,0.21773781397717082,0.3506497935812378,0.2923914993790648,0.4769574517835557,1.0125150984026465,0.548561893209426,5,"POLYGON ((948435.230213883 1947565.54807064, 948435.230213883 1947665.54807064, 948535.230213883 1947665.54807064, 948535.230213883 1947565.54807064, 948435.230213883 1947565.54807064))",-1.2172634796592938,0.6752590705513433,0.08459159788172635,0.3115403144224195,-0.08412339940149047,0.9831498312248151,-0.39706535851054753,0.8038934984140899
12202,-2.0256938704220757,0.48166130836340726,2.3809521916184666,1.9239324775153774,"POLYGON ((948435.230213883 1947665.54807064, 948435.230213883 1947765.54807064, 948535.230213883 1947765.54807064, 948535.230213883 1947665.54807064, 948435.230213883 1947665.54807064))",영등포구,서울특별시 영등포구 여의도동 17-26번지,126.916523936,37.527537728,948445.2210996316,1947741.3440636925,서여의도 비즈니스호텔,0.9247133296338141,1.4895691818891588,1.7419173524241647,1.906367872127792,0.1129840141291022,1.2142483263648831,0.686201653750931,0.5372987138690267,1.4373701806825296,-0.9496673064740586,11,"POLYGON ((948435.230213883 1947665.54807064, 948435.230213883 1947765.54807064, 948535.230213883 1947765.54807064, 948535.230213883 1947665.54807064, 948435.230213883 1947665.54807064))",-1.410839882658858,0.6162649333163716,0.08861286687033763,0.3111786159369395,-0.0825016199284752,1.1462619926421531,-0.5243171259403323,0.768630262332809
12218,1.1208087157047553,-1.1742819999682708,-0.876349171032721,-0.4720957899822346,"POLYGON ((948535.230213883 1944465.54807064, 948535.230213883 1944565.54807064, 948635.230213883 1944565.54807064, 948635.230213883 1944465.54807064, 948535.230213883 1944465.54807064))",영등포구,서울특별시 영등포구 신길동 4281번지,126.918055309,37.498453727,948560.5737368684,1944513.799302134,NoData,-0.3660989259703819,-0.39755687784039173,-0.4057690023219465,-0.4642539459817531,-0.20127738541510365,-0.2377455564210962,-0.33367831033172235,-0.4365901002342563,-0.6701698223996677,-1.7986638529613665,11,"POLYGON ((948535.230213883 1944465.54807064, 948535.230213883 1944565.54807064, 948635.230213883 1944565.54807064, 948635.230213883 1944465.54807064, 948535.230213883 1944465.54807064))",-0.36877638840296634,-0.9780663050681826,1.1632826264405403,0.18408765576512068,0.08356603644805251,-0.057244324762406304,-0.1373964668420055,0.6663401799929385
12219,1.0979190929117935,-1.2022543789950064,-0.1738025433630172,-0.47645124491515484,"POLYGON ((948535.230213883 1944565.54807064, 948535.230213883 1944665.54807064, 948635.230213883 1944665.54807064, 948635.230213883 1944565.54807064, 948535.230213883 1944565.54807064))",영등포구,서울특별시 영등포구 신길동 488번지,126.918302694,37.498961898,948582.7893090496,1944570.04270512,"이화빌딩, 풍산비젼",-0.3272545385076417,-0.35644431583151176,-0.3782208883231225,-0.18535726149827722,-0.2361953186977932,-0.1783525466235941,-0.310254205641331,-0.36909728116087775,-0.48188210133241405,0.015858177766409416,11,"POLYGON ((948535.230213883 1944565.54807064, 948535.230213883 1944665.54807064, 948635.230213883 1944665.54807064, 948635.230213883 1944565.54807064, 948535.230213883 1944565.54807064))",-0.18966571468516497,-0.6755373997120889,1.1904064686771203,0.19738462109805904,0.08655811899953375,-0.060900601771112894,-0.16229928641092803,0.6724622123242632
12220,1.0875778876011761,-2.0897964429477285,-0.1080409769794239,-0.47740628596152734,"POLYGON ((948535.230213883 1944665.54807064, 948535.230213883 1944765.54807064, 948635.230213883 1944765.54807064, 948635.230213883 1944665.54807064, 948535.230213883 1944665.54807064))",영등포구,서울특별시 영등포구 신길동 509-1번지,126.918459652,37.500338302,948597.6067700052,1944722.660912224,"동성빌딩, 시원빌딩",-0.22659550850276555,-0.23785337007957336,-0.2553270780511535,-0.2783228229927692,-0.20127738541510365,-0.24357814797419533,-0.0659252234151804,-0.13986433842348026,-0.04121177064278916,0.3487979999182948,11,"POLYGON ((948535.230213883 1944665.54807064, 948535.230213883 1944765.54807064, 948635.230213883 1944765.54807064, 948635.230213883 1944665.54807064, 948535.230213883 1944665.54807064))",-0.035421477847206714,-0.43445187061173623,1.216738405320616,0.21775780705744224,0.08838348595862106,-0.06268413319244516,-0.18626973640798256,0.6760588230591162
12221,0.82742576625727,-2.105064119558251,-0.07624380718925905,-0.4799542986224173,"POLYGON ((948535.230213883 1944765.54807064, 948535.230213883 1944865.54807064, 948635.230213883 1944865.54807064, 948635.230213883 1944765.54807064, 948535.230213883 1944765.54807064))",영등포구,서울특별시 영등포구 신길동 1462번지,126.918200816,37.50145305,948575.4925760282,1944846.4770868265,"우주, 이연",-0.339057402884476,-0.37851820933118585,-0.3969477959151698,-0.2783228229927692,-0.09652358556703504,-0.2577439315001094,-0.30533661019813707,-0.28800373317299616,-0.529672906526943,-1.7487228796385836,11,"POLYGON ((948535.230213883 1944765.54807064, 948535.230213883 1944865.54807064, 948635.230213883 1944865.54807064, 948635.230213883 1944765.54807064, 948535.230213883 1944765.54807064))",0.02781991190534147,-0.36702361397781824,1.2363873982154314,0.22567967549755238,0.0896981315233278,-0.06103918983222586,-0.20589598587176094,0.6826541296512996
12233,0.7855363982799275,-1.616091120158559,-0.6166680315590648,-0.062309957252518755,"POLYGON ((948535.230213883 1945965.54807064, 948535.230213883 1946065.54807064, 948635.230213883 1946065.54807064, 948635.230213883 1945965.54807064, 948535.230213883 1945965.54807064))",영등포구,서울특별시 영등포구 신길동 113-62번지,126.918451422,37.512045822,948604.906371162,1946021.5474512351,화일홈빌,-0.3629681590017959,-0.40022498021702135,-0.41339528041220513,-0.603702288223491,-0.20127738541510365,-0.24666800727602078,-0.33358158097973056,-0.5105320912342302,-0.5972759047293121,-1.2992541197335383,11,"POLYGON ((948535.230213883 1945965.54807064, 948535.230213883 1946065.54807064, 948635.230213883 1946065.54807064, 948635.230213883 1945965.54807064, 948535.230213883 1945965.54807064))",-0.18146708593514638,-0.03611679310595022,0.3706555770546333,0.3619638300697937,0.04781586853663031,-0.046079574896722625,-0.10212271229528716,0.3277467456569266
12234,0.5484471771767663,-1.4723908753211319,-0.5753353433657685,0.5490405212293253,"POLYGON ((948535.230213883 1946065.54807064, 948535.230213883 1946165.54807064, 948635.230213883 1946165.54807064, 948635.230213883 1946065.54807064, 948535.230213883 1946065.54807064))",영등포구,서울특별시 영등포구 신길동 111-13번지,126.918300209,37.512481966,948591.8417644624,1946070.0177800097,프린테크 빌딩,-0.1753572661461168,-0.1348987452325341,-0.30842202572921956,-0.04590891925653928,-0.30603118526317225,-0.145806171495004,-0.27770945914862,-0.4760513700425325,-0.4670157678272567,1.1478535730828199,11,"POLYGON ((948535.230213883 1946065.54807064, 948535.230213883 1946165.54807064, 948635.230213883 1946165.54807064, 948635.230213883 1946065.54807064, 948535.230213883 1946065.54807064))",-0.21782162033119934,-0.030994314370950852,0.3382100318913504,0.3568616337655033,0.04330333175750245,-0.05563292561722483,-0.08147281655815047,0.28114922154317046
12235,0.26931301943421865,-1.1873023232178765,-0.6247726738116833,0.6428661943569962,"POLYGON ((948535.230213883 1946165.54807064, 948535.230213883 1946265.54807064, 948635.230213883 1946265.54807064, 948635.230213883 1946165.54807064, 948535.230213883 1946165.54807064))",영등포구,서울특별시 영등포구 신길동 103-10번지,126.917961949,37.514156361,948563.0966870337,1946255.967380621,대하빌딩,0.1687114818067879,0.06629478863308275,-0.08107343687651353,0.41891888821592055,0.043148147563723135,-0.09296357770698899,0.05812236976005705,0.11937960238817238,-0.16879769281374285,0.848207733146123,11,"POLYGON ((948535.230213883 1946165.54807064, 948535.230213883 1946265.54807064, 948635.230213883 1946265.54807064, 948635.230213883 1946165.54807064, 948535.230213883 1946165.54807064))",-0.16579421229074487,-0.053073344887004624,0.5144945491814897,0.38068344556877715,0.03965799187624829,-0.055684178891780525,-0.05967416438979887,0.3820217625227888
12236,0.13744044018033683,-0.9996668248361912,-0.6901756570632707,0.736916501535974,"POLYGON ((948535.230213883 1946265.54807064, 948535.230213883 1946365.54807064, 948635.230213883 1946365.54807064, 948635.230213883 1946265.54807064, 948535.230213883 1946265.54807064))",영등포구,서울특별시 영등포구 신길동 103-33번지,126.91850253,37.514666023,948611.2197782628,1946312.216123192,"혜원빌딩, 홍성빌딩, 엔씨티오피스텔",-0.16152300425718907,-0.1112374342335862,0.05355103559044584,0.2794705459741826,-0.2361953186977932,0.2610374455495856,-0.07240608999862821,-0.010880899891574156,0.0822909419387404,-0.15061173330953345,11,"POLYGON ((948535.230213883 1946265.54807064, 948535.230213883 1946365.54807064, 948635.230213883 1946365.54807064, 948635.230213883 1946265.54807064, 948535.230213883 1946265.54807064))",-0.1677768439597641,-0.059532569468358686,0.5219019631390882,0.41073669795442036,0.03689474284695765,-0.06284998671208256,-0.03678581768750482,0.5583946384587893
12237,0.0011270247251513636,-0.798248919211572,-0.893138996702497,0.8447686728651108,"POLYGON ((948535.230213883 1946365.54807064, 948535.230213883 1946465.54807064, 948635.230213883 1946465.54807064, 948635.230213883 1946365.54807064, 948535.230213883 1946365.54807064))",영등포구,서울특별시 영등포구 신길동 50-2번지,126.917717554,37.515461083,948542.3942485536,1946400.8526423988,한독타워,-0.3714411413254387,-0.41430490806888653,-0.3226054355212733,-0.2318400422455232,-0.09652358556703504,-0.2761502362176411,-0.23981651558126788,0.9213756360321034,0.05618140456411194,-0.2504936799550991,11,"POLYGON ((948535.230213883 1946365.54807064, 948535.230213883 1946465.54807064, 948635.230213883 1946465.54807064, 948635.230213883 1946365.54807064, 948535.230213883 1946365.54807064))",-0.1744667839068182,-0.0607673076302826,0.4721110529018168,0.4090355765800073,0.03230432593418142,-0.06637689656060307,-0.03866692536149992,0.7235573048712566
12239,-0.5519313424400767,-0.7089702026423143,-0.8267472133804736,1.0791226302720676,"POLYGON ((948535.230213883 1946565.54807064, 948535.230213883 1946665.54807064, 948635.230213883 1946665.54807064, 948635.230213883 1946565.54807064, 948535.230213883 1946565.54807064))",영등포구,서울특별시 영등포구 신길동 22-5번지,126.91780882,37.517373565,948551.7727187544,1946612.981983449,대우 디오빌 골든뷰 오피스텔,0.23035242821128907,-0.1102291397307901,0.16042224972353997,-0.13887448075103126,0.1129840141291022,0.26395802684527775,-0.13689648506203678,0.9060508710580156,-0.6342835860081081,-0.15061173330953345,11,"POLYGON ((948535.230213883 1946565.54807064, 948535.230213883 1946665.54807064, 948635.230213883 1946665.54807064, 948635.230213883 1946565.54807064, 948535.230213883 1946565.54807064))",-0.21981484678072905,0.058273283325483274,0.4798423070547913,0.35521209171906737,0.04136366540213211,-0.08002738297077731,-0.15369530499591044,0.8609224196829833
12243,-0.9860041290517125,-0.21579967476381254,-0.3694198509633727,1.5951205711264653,"POLYGON ((948535.230213883 1946965.54807064, 948535.230213883 1947065.54807064, 948635.230213883 1947065.54807064, 948635.230213883 1946965.54807064, 948535.230213883 1946965.54807064))",영등포구,서울특별시 영등포구 여의도동 28-3번지,126.918554363,37.521174137,948620.2630503884,1947034.227068776,여의도파크센터,0.8990825581047948,0.5786480060615685,2.3858332371654245,0.8372639149411344,1.7890448116982,2.962523717835126,1.407746454179261,4.110842346264138,3.435698704746182,-0.4502575732462304,3,"POLYGON ((948535.230213883 1946965.54807064, 948535.230213883 1947065.54807064, 948635.230213883 1947065.54807064, 948635.230213883 1946965.54807064, 948535.230213883 1946965.54807064))",-0.964573959797523,1.054017879262473,0.01603901558390856,0.34115315421733045,0.04400743564589575,0.17231733122801335,-0.09932760537971601,0.9266913403874035
12249,-2.0134016930883902,0.6066331871021445,2.6120728804467683,2.158810627911032,"POLYGON ((948535.230213883 1947565.54807064, 948535.230213883 1947665.54807064, 948635.230213883 1947665.54807064, 948635.230213883 1947565.54807064, 948535.230213883 1947565.54807064))",영등포구,서울특별시 영등포구 여의도동 17-9번지,126.918106725,37.526537134,948584.3876524366,1947629.4671218856,더하우스 소호 여의도 오피스텔,0.13312495604748828,0.3322777077296475,0.6776001027861347,-0.18535726149827722,0.9510144129136512,0.1856401645139875,0.1960615460019819,0.5727372328716047,3.2114097272989346,-1.4490770397018868,3,"POLYGON ((948535.230213883 1947565.54807064, 948535.230213883 1947665.54807064, 948635.230213883 1947665.54807064, 948635.230213883 1947565.54807064, 948535.230213883 1947565.54807064))",-0.9742171501542635,0.5262360375221145,0.06908881688733318,0.28011632092787475,-0.015933875992852068,1.0814010550429165,-0.4545174261748761,0.7815755273859665
