,grid_idx,bd_diff,bs_diff,pp_diff,sum_diff,phase,geom_dist,geom_feature_dist,pw_dist,final_cal
46,36118,0.7835285658655613,0.24011627760846524,0.5159110203558037,4.608936617674063,23,0.41231056256176607,1.9003132496447162,10.314147569816951,31.16050403286888
52,36168,0.9280943405399266,0.4508767573414586,0.5587031294872453,4.613861809832807,23,0.58309518948453,2.690320626259897,10.314147569816951,31.16050403286888
74,31162,0.9035835207199457,0.3765315109636576,0.0808769173493117,3.7056248142988677,24,0.9433981132056604,3.4958794580576273,10.23249376547783,39.32675652063702
5,36395,0.7254016177739757,0.534363247897728,0.17331774700959315,4.586969669752449,24,0.9219544457292888,4.228977079453678,10.23249376547783,39.32675652063702
84,36339,0.6634323391906095,0.6081024788901618,0.08776976930341547,4.614368784199858,24,0.8246211251235321,3.805105978561792,10.23249376547783,39.32675652063702
60,31101,0.9248241232010819,0.7518635724985335,0.14565937783897281,4.209992442657283,25,1.0,4.209992442657283,10.205166185889496,45.34898931774814
24,36504,0.6165889584755838,0.4191741521769747,0.5152782001350911,4.605679187567277,25,1.104536101718726,5.0871389356026295,10.205166185889496,45.34898931774814
74,31161,1.256301242694601,0.7507436209260001,0.11558417265233442,4.689493171444725,25,0.8602325267042626,4.034054559834281,10.205166185889496,45.34898931774814
83,36292,0.7281582486787381,0.6235175896814158,0.5470131280738723,4.6793738908475895,26,1.3038404810405297,6.101157104811216,10.12692608150797,62.423500524511496
34,36035,0.8483635952511995,0.6381983982797279,0.3245601059835532,4.679521808570601,26,1.118033988749895,5.231864433078311,10.12692608150797,62.423500524511496
75,36239,0.6505304998807606,0.5897135075445036,0.7290977136099855,4.700319040549944,26,1.5231546211727816,7.159312667600062,10.12692608150797,62.423500524511496
83,36291,0.4306254801558543,0.4374209164139375,0.4714875731286162,3.8050114886458757,27,1.2206555615733703,4.644608435466157,10.027874600235936,51.893404361146125
82,36289,0.7082993887171716,0.6633220833347195,0.3276227396454939,4.695934687453178,27,1.063014581273465,4.99184704547058,10.027874600235936,51.893404361146125
74,36236,0.6702165486239066,0.5219710598201561,0.4893570282063996,4.699367991903349,27,1.2529964086141667,5.8882912166112655,10.027874600235936,51.893404361146125
83,36290,0.6267380235380849,0.7178439083122463,0.3988685305412708,4.630892165340864,28,1.140175425099138,5.2800294432057875,9.940134859300162,62.33831481833954
12,36448,0.5976313913285634,0.4920236849378106,0.5563866747231838,4.742586949231267,28,1.0,4.742586949231267,9.940134859300162,62.33831481833954
39,36572,0.6167603508766931,0.42183180321101144,0.953383847717738,4.767865224059531,28,1.8439088914585775,8.791509079919512,9.940134859300162,62.33831481833954
49,36628,0.6149632395753412,0.5470514844405813,1.0324762006919552,3.976078166623693,29,1.9849433241279206,7.892289813050481,9.864964028405236,55.07150709789279
24,36502,0.5823640318017794,0.10862474804008582,0.6776457320646515,4.2032315703654,29,1.104536101718726,4.642621013352478,9.864964028405236,55.07150709789279
3,36392,0.5496537680024234,0.33715264068521306,0.5974490331420637,4.652142510300973,29,0.9055385138137417,4.212694214827672,9.864964028405236,55.07150709789279
64,36684,0.4160681228879408,0.4738882294315983,1.0253300412897712,3.6103557762129945,30,2.051828452868319,7.407830706611307,9.791687681565595,65.15408133413658
14,36447,0.5772460978338854,0.3268664744386671,0.5893397614928914,4.6616949950265045,30,1.004987562112089,4.684945488361813,9.791687681565595,65.15408133413658
10,36407,0.5701244823024537,0.4497408168945084,0.7749617867461208,4.7281935976934495,30,1.6643316977093239,7.869282477547495,9.791687681565595,65.15408133413658
85,36743,0.49427921547729026,0.34809944081496963,1.0204847922309808,4.15667285871597,31,2.1213203435596424,8.817634696716402,9.781998250892327,71.84398012382673
30,36516,1.3161646384731147,0.3260230741351314,0.8485574338725224,4.710820969339821,31,1.70293863659264,8.022239038759574,9.781998250892327,71.84398012382673
25,36503,0.8217981263866769,0.5582765185719958,0.5639837914248265,4.721504621667674,31,1.1,5.193655083834442,9.781998250892327,71.84398012382673
93,36806,0.49945117178877485,0.4456531291329204,1.0690739991176066,4.164358804137647,32,2.262741699796952,9.422868319038821,9.714265077414375,67.56556023716922
39,36570,0.5771011193866005,0.46830288770486095,0.79737759589406,4.4614911669083845,32,1.697056274847714,7.571401579979524,9.714265077414375,67.56556023716922
96,36335,0.7157097898436068,0.4226815094703823,0.5771091515528338,4.695015794875862,32,0.8246211251235321,3.8716092072432877,9.714265077414375,67.56556023716922
2,36869,0.3608614213743626,0.3258584297057535,1.0682666899296733,4.101217440273048,33,2.3345235059857505,9.574388517476143,9.651433688895276,87.63686549607105
51,36624,0.4395094820581292,0.5105289972661908,0.7483532425659716,4.367111855768923,33,1.70293863659264,7.436923509510684,9.651433688895276,87.63686549607105
89,36744,0.6570234408950232,0.5199628994793868,1.0858897879655123,4.664142123678652,33,2.1931712199461306,10.229262271390446,9.651433688895276,87.63686549607105
53,36623,0.8394022575705303,0.6427297362368051,0.6429953049766047,4.206756624866977,34,1.6401219466856727,6.899593864809677,9.631165457060108,83.62511217031044
11,36933,0.9182926920623781,0.5031866606597418,1.1401301507282717,4.540038690081189,34,2.4083189157584592,10.933861055597784,9.631165457060108,83.62511217031044
45,36571,0.5197653712436685,0.31090464004879514,0.8085802043557382,4.643296128260758,34,1.7691806012954132,8.214829436189031,9.631165457060108,83.62511217031044
54,36622,1.0834929246594787,0.6023393873171397,0.57132085665364,3.752289082804544,35,1.5811388300841898,5.932889970523254,9.664786685540658,84.3206107405516
23,36998,1.0315212632419495,0.35942085552392344,1.3009607990096663,4.445497895279252,35,2.5495097567963927,11.333840257832282,9.664786685540658,84.3206107405516
47,36573,0.5841980026903753,0.20319108149153792,0.8835302119926325,4.636708111965427,35,1.9209372712298545,8.906825428088197,9.664786685540658,84.3206107405516
69,36677,1.7154361734878056,1.5052659653062368,0.5299890172956189,4.183351768759824,36,1.6124515496597098,6.745452042308466,9.728115971776782,54.56847134639483
49,36566,0.7852821465465717,0.6193347850466104,0.4383957085837633,4.476325579377651,36,1.4422205101855956,6.455848560846867,9.728115971776782,54.56847134639483
