,grid_idx,center,pop2020,pop2021,pop2022,od2020,od2021,od2022
29028,25143,POINT (954085.230213883 1955115.54807064),26767.999093511877,26213.299693851615,25488.96405379875,1227508.36618222,683826.5222216878,872714.4907150873
29029,25144,POINT (954085.230213883 1955215.54807064),25742.453755434617,25214.45681832511,24531.938189704633,1105602.540806371,614058.9213275061,785363.117300711
29032,25145,POINT (954085.230213883 1956015.54807064),22346.66607432439,21916.931386071632,21386.59853521809,246357.95295322652,140679.15125007526,182770.22351654124
29033,25146,POINT (954085.230213883 1956115.54807064),22119.9543030187,21699.506695828622,21182.33934425746,46850.81730219046,32865.61823039766,37693.31565615608
29034,25147,POINT (954085.230213883 1956215.54807064),21846.874200591705,21435.84115270093,20932.017537701693,44152.12810946959,30972.501016275604,35522.11460873426
29035,25148,POINT (954085.230213883 1956315.54807064),21518.686161225727,21117.329764506496,20627.174385057835,41518.31450086099,29124.89370577285,33403.10850712412
29036,25149,POINT (954085.230213883 1956415.54807064),21128.72763613541,20737.425647015916,20261.385131224037,0.0,0.0,0.0
29037,25150,POINT (954085.230213883 1956515.54807064),18531.419072520614,18168.087476813063,17723.11865171576,0.0,0.0,0.0
29038,25151,POINT (954085.230213883 1956615.54807064),18102.993494568385,17749.560032687914,17318.801255913168,0.0,0.0,0.0
29039,25152,POINT (954085.230213883 1956715.54807064),16628.141584050074,16330.864493789864,15948.152344860966,0.0,0.0,0.0
29040,25153,POINT (954085.230213883 1956815.54807064),14922.669490692148,14651.422412696684,14315.056824579278,0.0,0.0,0.0
29041,25154,POINT (954085.230213883 1956915.54807064),13832.747291387486,13586.11217987259,13284.949428007065,0.0,0.0,0.0
29042,25155,POINT (954085.230213883 1957015.54807064),12559.916871606343,12328.01055922239,12055.410037063433,0.0,0.0,0.0
29043,25156,POINT (954085.230213883 1957115.54807064),11986.171926541621,11767.037260047937,11510.46500147119,0.0,0.0,0.0
29044,25157,POINT (954085.230213883 1957215.54807064),11540.850112418992,11327.942448626845,11080.656757400277,0.0,0.0,0.0
29045,25158,POINT (954085.230213883 1957315.54807064),11072.403938662941,10866.234948351508,10628.631172455634,0.0,0.0,0.0
29046,25159,POINT (954085.230213883 1957415.54807064),9409.198215881088,9214.388220450966,9011.004332346733,0.0,0.0,0.0
