,ADM_SECT_C,geometry,idx
12561,11560,"POLYGON ((945335.230213883 1947265.54807064, 945335.230213883 1947365.54807064, 945435.230213883 1947365.54807064, 945435.230213883 1947265.54807064, 945335.230213883 1947265.54807064))",10685
12562,11560,"POLYGON ((945335.230213883 1947365.54807064, 945335.230213883 1947465.54807064, 945435.230213883 1947465.54807064, 945435.230213883 1947365.54807064, 945335.230213883 1947365.54807064))",10686
12563,11560,"POLYGON ((945335.230213883 1947465.54807064, 945335.230213883 1947565.54807064, 945435.230213883 1947565.54807064, 945435.230213883 1947465.54807064, 945335.230213883 1947465.54807064))",10687
12564,11560,"POLYGON ((945335.230213883 1947565.54807064, 945335.230213883 1947665.54807064, 945435.230213883 1947665.54807064, 945435.230213883 1947565.54807064, 945335.230213883 1947565.54807064))",10688
12570,11560,"POLYGON ((945335.230213883 1950065.54807064, 945335.230213883 1950165.54807064, 945435.230213883 1950165.54807064, 945435.230213883 1950065.54807064, 945335.230213883 1950065.54807064))",10689
12571,11560,"POLYGON ((945335.230213883 1950165.54807064, 945335.230213883 1950265.54807064, 945435.230213883 1950265.54807064, 945435.230213883 1950165.54807064, 945335.230213883 1950165.54807064))",10690
12572,11560,"POLYGON ((945335.230213883 1950265.54807064, 945335.230213883 1950365.54807064, 945435.230213883 1950365.54807064, 945435.230213883 1950265.54807064, 945335.230213883 1950265.54807064))",10691
12573,11560,"POLYGON ((945335.230213883 1950365.54807064, 945335.230213883 1950465.54807064, 945435.230213883 1950465.54807064, 945435.230213883 1950365.54807064, 945335.230213883 1950365.54807064))",10692
12574,11560,"POLYGON ((945335.230213883 1950465.54807064, 945335.230213883 1950565.54807064, 945435.230213883 1950565.54807064, 945435.230213883 1950465.54807064, 945335.230213883 1950465.54807064))",10693
12575,11560,"POLYGON ((945335.230213883 1950565.54807064, 945335.230213883 1950665.54807064, 945435.230213883 1950665.54807064, 945435.230213883 1950565.54807064, 945335.230213883 1950565.54807064))",10694
12576,11560,"POLYGON ((945335.230213883 1950665.54807064, 945335.230213883 1950765.54807064, 945435.230213883 1950765.54807064, 945435.230213883 1950665.54807064, 945335.230213883 1950665.54807064))",10695
12582,11560,"POLYGON ((945435.230213883 1946565.54807064, 945435.230213883 1946665.54807064, 945535.230213883 1946665.54807064, 945535.230213883 1946565.54807064, 945435.230213883 1946565.54807064))",10696
12583,11560,"POLYGON ((945435.230213883 1946665.54807064, 945435.230213883 1946765.54807064, 945535.230213883 1946765.54807064, 945535.230213883 1946665.54807064, 945435.230213883 1946665.54807064))",10697
12584,11560,"POLYGON ((945435.230213883 1946765.54807064, 945435.230213883 1946865.54807064, 945535.230213883 1946865.54807064, 945535.230213883 1946765.54807064, 945435.230213883 1946765.54807064))",10698
12585,11560,"POLYGON ((945435.230213883 1946865.54807064, 945435.230213883 1946965.54807064, 945535.230213883 1946965.54807064, 945535.230213883 1946865.54807064, 945435.230213883 1946865.54807064))",10699
12586,11560,"POLYGON ((945435.230213883 1946965.54807064, 945435.230213883 1947065.54807064, 945535.230213883 1947065.54807064, 945535.230213883 1946965.54807064, 945435.230213883 1946965.54807064))",10700
12587,11560,"POLYGON ((945435.230213883 1947065.54807064, 945435.230213883 1947165.54807064, 945535.230213883 1947165.54807064, 945535.230213883 1947065.54807064, 945435.230213883 1947065.54807064))",10701
12588,11560,"POLYGON ((945435.230213883 1947165.54807064, 945435.230213883 1947265.54807064, 945535.230213883 1947265.54807064, 945535.230213883 1947165.54807064, 945435.230213883 1947165.54807064))",10702
12589,11560,"POLYGON ((945435.230213883 1947265.54807064, 945435.230213883 1947365.54807064, 945535.230213883 1947365.54807064, 945535.230213883 1947265.54807064, 945435.230213883 1947265.54807064))",10703
12590,11560,"POLYGON ((945435.230213883 1947365.54807064, 945435.230213883 1947465.54807064, 945535.230213883 1947465.54807064, 945535.230213883 1947365.54807064, 945435.230213883 1947365.54807064))",10704
12591,11560,"POLYGON ((945435.230213883 1947465.54807064, 945435.230213883 1947565.54807064, 945535.230213883 1947565.54807064, 945535.230213883 1947465.54807064, 945435.230213883 1947465.54807064))",10705
12592,11560,"POLYGON ((945435.230213883 1947565.54807064, 945435.230213883 1947665.54807064, 945535.230213883 1947665.54807064, 945535.230213883 1947565.54807064, 945435.230213883 1947565.54807064))",10706
12596,11560,"POLYGON ((945435.230213883 1949865.54807064, 945435.230213883 1949965.54807064, 945535.230213883 1949965.54807064, 945535.230213883 1949865.54807064, 945435.230213883 1949865.54807064))",10707
12597,11560,"POLYGON ((945435.230213883 1949965.54807064, 945435.230213883 1950065.54807064, 945535.230213883 1950065.54807064, 945535.230213883 1949965.54807064, 945435.230213883 1949965.54807064))",10708
12598,11560,"POLYGON ((945435.230213883 1950065.54807064, 945435.230213883 1950165.54807064, 945535.230213883 1950165.54807064, 945535.230213883 1950065.54807064, 945435.230213883 1950065.54807064))",10709
12599,11560,"POLYGON ((945435.230213883 1950165.54807064, 945435.230213883 1950265.54807064, 945535.230213883 1950265.54807064, 945535.230213883 1950165.54807064, 945435.230213883 1950165.54807064))",10710
12600,11560,"POLYGON ((945435.230213883 1950265.54807064, 945435.230213883 1950365.54807064, 945535.230213883 1950365.54807064, 945535.230213883 1950265.54807064, 945435.230213883 1950265.54807064))",10711
12601,11560,"POLYGON ((945435.230213883 1950365.54807064, 945435.230213883 1950465.54807064, 945535.230213883 1950465.54807064, 945535.230213883 1950365.54807064, 945435.230213883 1950365.54807064))",10712
12602,11560,"POLYGON ((945435.230213883 1950465.54807064, 945435.230213883 1950565.54807064, 945535.230213883 1950565.54807064, 945535.230213883 1950465.54807064, 945435.230213883 1950465.54807064))",10713
12603,11560,"POLYGON ((945435.230213883 1950565.54807064, 945435.230213883 1950665.54807064, 945535.230213883 1950665.54807064, 945535.230213883 1950565.54807064, 945435.230213883 1950565.54807064))",10714
12604,11560,"POLYGON ((945435.230213883 1950665.54807064, 945435.230213883 1950765.54807064, 945535.230213883 1950765.54807064, 945535.230213883 1950665.54807064, 945435.230213883 1950665.54807064))",10715
12608,11560,"POLYGON ((945535.230213883 1946365.54807064, 945535.230213883 1946465.54807064, 945635.230213883 1946465.54807064, 945635.230213883 1946365.54807064, 945535.230213883 1946365.54807064))",10716
12609,11560,"POLYGON ((945535.230213883 1946465.54807064, 945535.230213883 1946565.54807064, 945635.230213883 1946565.54807064, 945635.230213883 1946465.54807064, 945535.230213883 1946465.54807064))",10717
12610,11560,"POLYGON ((945535.230213883 1946565.54807064, 945535.230213883 1946665.54807064, 945635.230213883 1946665.54807064, 945635.230213883 1946565.54807064, 945535.230213883 1946565.54807064))",10718
12611,11560,"POLYGON ((945535.230213883 1946665.54807064, 945535.230213883 1946765.54807064, 945635.230213883 1946765.54807064, 945635.230213883 1946665.54807064, 945535.230213883 1946665.54807064))",10719
12612,11560,"POLYGON ((945535.230213883 1946765.54807064, 945535.230213883 1946865.54807064, 945635.230213883 1946865.54807064, 945635.230213883 1946765.54807064, 945535.230213883 1946765.54807064))",10720
12613,11560,"POLYGON ((945535.230213883 1946865.54807064, 945535.230213883 1946965.54807064, 945635.230213883 1946965.54807064, 945635.230213883 1946865.54807064, 945535.230213883 1946865.54807064))",10721
