,사용월,호선명,지하철역,0405O,0405D,0506O,0506D,0607O,0607D,0708O,0708D,0809O,0809D,0910O,0910D,1011O,1011D,1112O,1112D,1213O,1213D,1314O,1314D,1415O,1415D,1516O,1516D,1617O,1617D,1718O,1718D,1819O,1819D,1920O,1920D,2021O,2021D,2122O,2122D,2223O,2223D,2324O,2324D,0001O,0001D,0102O,0102D,0203O,0203D,0304O,0304D,code,y,x,year,x_5179,y_5179
50,202201,2호선,강변,13,1,7245,1588,21596,15449,66558,19187,97155,41022,69999,33883,51279,33090,47650,32218,46848,36349,46443,40288,43137,43409,44380,49706,45435,53705,47286,68235,51877,97575,33413,70122,27696,48261,25066,60603,11773,27594,3622,8714,1,95,0,0,0,0,0,0,214.0,37.535095,127.094681,2022,964190.5199883515,1948497.0339507672
51,202101,2호선,강변,6,0,6507,1522,20746,12651,62162,17119,82739,33761,55500,28013,35773,26116,34518,25392,36069,28671,35391,31506,35384,33395,35252,39192,35507,43717,39405,57550,45123,87744,32220,64331,24895,41097,21116,45213,8647,16940,2738,6600,7,226,0,0,0,0,0,0,214.0,37.535095,127.094681,2021,964190.5199883515,1948497.0339507672
52,202001,2호선,강변,22,3,8786,3308,26644,27161,83750,30798,131240,54634,102144,54638,81329,51965,78034,51500,76291,57859,74616,66491,69356,72566,70963,81920,72329,91972,78039,102568,84964,137322,67403,111576,54849,74848,45307,64264,30995,59467,12447,34050,2166,8371,40,144,1,4,0,0,214.0,37.535095,127.094681,2020,964190.5199883515,1948497.0339507672
53,201901,2호선,강변,18,0,9803,3838,29345,28033,99368,33030,148781,58847,112708,58071,90078,52739,87151,52926,83887,61189,82513,70581,74437,76623,74548,88963,78371,96447,83042,107865,91479,154340,73591,125838,55572,84817,52012,75477,34621,70347,13819,38563,2122,9968,4,243,1,0,0,0,214.0,37.535095,127.094681,2019,964190.5199883515,1948497.0339507672
54,201801,2호선,강변,23,4,9950,3835,29960,29780,98834,35475,152873,54949,110324,53804,87793,53238,86591,55187,84691,63438,83490,73460,77520,80005,76625,90646,78400,98374,87570,107907,91234,152398,75180,132914,60100,88087,48460,76383,37836,71427,14427,40301,2124,10137,3,120,4,3,0,0,214.0,37.535095,127.094681,2018,964190.5199883515,1948497.0339507672
55,202201,2호선,건대입구,160,3,11003,1831,17561,18036,43561,21970,84848,54215,55926,43859,32405,36266,31998,41044,37873,51566,41002,58567,42837,61094,49182,69960,60257,83167,68079,104840,77699,133532,58479,77686,89667,43347,121546,65237,29609,32911,6840,12199,12,1366,0,0,0,0,0,0,212.0,37.540693,127.07023,2022,962033.1297023539,1949127.6907836474
56,202101,2호선,건대입구,99,2,10196,1647,15521,14964,41543,22036,73021,51470,48020,39280,26759,29168,25530,31157,29378,38195,32171,43861,34681,46822,37936,52087,43920,60841,53211,77361,67571,106890,49289,66800,67062,38480,73464,48501,16354,21459,4654,9211,6,990,0,0,0,0,0,0,212.0,37.540693,127.07023,2021,962033.1297023539,1949127.6907836474
57,202001,2호선,건대입구,361,14,19296,2185,23853,17018,53568,24729,101425,61012,66971,49469,40200,44069,40058,52620,47231,63951,53460,73940,55380,74019,59621,79476,68913,90855,83393,119274,96144,180881,75490,143384,77146,79108,91670,69914,97736,63550,62769,39222,10976,12858,105,1401,0,18,0,0,212.0,37.540693,127.07023,2020,962033.1297023539,1949127.6907836474
58,201901,2호선,건대입구,298,11,20178,2206,25927,15658,59821,26327,113196,65846,73042,53154,43443,47604,42580,54985,50587,70737,57458,79246,58197,80373,63097,86307,72867,96567,87187,128658,106746,203440,83165,163065,84582,88166,101067,76980,109703,68651,69050,43037,12210,15945,5,1183,0,0,0,0,212.0,37.540693,127.07023,2019,962033.1297023539,1949127.6907836474
59,201801,2호선,건대입구,306,25,20628,2211,26821,16122,64420,29500,117621,68340,72855,55411,42401,46866,41771,54349,49339,67704,56898,76279,56612,77140,62438,81554,70921,92297,83896,120691,103666,189450,83460,166008,82859,89874,95061,76177,102180,71037,65118,44593,11190,15150,5,1312,2,0,0,0,212.0,37.540693,127.07023,2018,962033.1297023539,1949127.6907836474
60,202201,2호선,교대,26,0,2244,6340,10520,20765,20236,44463,30487,139142,24974,131023,24448,62666,29260,49107,32909,45532,40100,51502,47388,45937,52802,42252,57825,43122,90112,51783,128447,62219,58548,35292,54139,20389,67415,29864,24494,13316,5293,4967,0,15,0,0,0,0,0,0,223.0,37.493415,127.01408,2022,957045.5890303424,1943906.633381833
61,202101,2호선,교대,16,0,1831,6304,10190,22249,18684,43921,27004,132412,21432,114162,20350,57466,24357,41539,27771,37404,32984,43811,39325,40027,44520,36371,50526,35547,81945,40261,122747,47092,56682,29898,47941,17716,56347,20865,14777,7216,4504,3666,12,54,0,0,0,0,0,0,223.0,37.493415,127.01408,2021,957045.5890303424,1943906.633381833
62,202001,2호선,교대,19,0,2861,7483,13229,24275,26311,52155,40516,151558,32126,144987,29666,73956,37649,66342,41832,61900,53110,67575,61223,62683,66159,56649,68614,56102,95143,67771,150290,88372,76296,58980,59768,31111,64807,27122,58115,25856,24186,14961,5043,4337,20,71,0,7,0,0,223.0,37.493415,127.01408,2020,957045.5890303424,1943906.633381833
63,201901,2호선,교대,16,3,2848,7108,13423,24205,27365,58768,44501,170793,35621,157295,33540,79969,41787,73390,44253,67976,57320,73436,67118,67351,72251,62817,72994,60958,102651,72516,170031,97613,87215,66548,66158,34720,76043,30752,67092,29444,28257,16363,5915,5253,4,93,0,0,0,0,223.0,37.493415,127.01408,2019,957045.5890303424,1943906.633381833
64,201801,2호선,교대,6,3,2855,6636,14144,28686,28255,56403,43156,170609,34829,166083,32730,78768,41273,70432,44420,64680,57468,71456,64717,66981,70355,59008,72465,58511,98913,67104,172011,91355,91162,66542,66103,34885,73092,29655,64784,28161,27901,16295,5443,4750,1,23,0,0,0,0,223.0,37.493415,127.01408,2018,957045.5890303424,1943906.633381833
65,202201,2호선,구로디지털단지,171,1,30953,4584,45666,19732,115462,75250,166053,232448,99314,133395,57768,52171,53821,42184,59399,43188,60659,53925,57615,53966,61328,60867,72020,70677,118200,95606,206392,147253,94355,113482,64544,72612,66660,105544,22577,55253,5068,21466,1,62,0,0,0,0,0,0,232.0,37.485266,126.901401,2022,947079.1433385541,1943059.931703383
66,202101,2호선,구로디지털단지,149,3,31848,4770,45017,21267,111142,69658,154198,211123,92286,127296,51478,48906,45411,38770,48793,40228,51787,45958,49036,47016,50311,55875,60112,61801,105315,90648,186197,136745,93693,110343,61018,69837,55066,89145,19572,38694,5003,16148,4,148,0,0,0,0,0,0,232.0,37.485266,126.901401,2021,947079.1433385541,1943059.931703383
67,202001,2호선,구로디지털단지,176,8,36222,6567,50999,21744,139244,69743,190840,257694,123694,162115,77448,65489,69778,56558,76687,56283,80417,70543,73475,72047,77618,79279,90821,86852,129318,115856,238715,168175,128015,154457,79629,95397,66509,99533,55684,100145,27349,62035,4356,17001,33,747,0,1,0,0,232.0,37.485266,126.901401,2020,947079.1433385541,1943059.931703383
68,201901,2호선,구로디지털단지,148,8,40439,6037,55031,22520,154641,73916,208010,288198,134149,180191,81599,69991,74863,58807,79900,59899,83809,73895,74884,78369,78951,82391,92150,91667,130449,122445,269860,178764,148268,173608,89237,105516,77878,106905,62269,109174,31316,67337,4773,19678,9,351,0,0,0,0,232.0,37.485266,126.901401,2019,947079.1433385541,1943059.931703383
69,201801,2호선,구로디지털단지,185,29,38032,6162,56066,21176,152806,74800,205168,299442,127321,173273,77336,69318,71545,57259,76340,55900,80730,70641,72791,76885,73838,79126,84208,86207,117259,113762,265193,170440,164394,172684,91630,106069,78591,104684,61938,106400,31493,69617,4660,17249,0,289,0,0,0,0,232.0,37.485266,126.901401,2018,947079.1433385541,1943059.931703383
