,종목코드,회사명,시장구분,업종,업종명,항목명,2022,2021,2020,cc,est_dt,induty_code,address,corp_code,corp_name,stock_code,rlgnm,gu,x,y
708,192440,슈피겐코리아,코스닥시장상장법인,339,그 외 기타 제품 제조업,영업이익(손실),"44,439,629,582","79,674,418,917","44,084,208,861",00917861,20090218,339,서울특별시 강남구 봉은사로 446 슈피겐HQ,00917861,슈피겐코리아,192440,서울특별시,강남구,127.048516612,37.511361245
711,276040,스코넥,코스닥시장상장법인,582,소프트웨어 개발 및 공급업,III.영업이익(손실),"-3,253,645,177","-5,619,422,350","-5,938,290,116",01290248,20020416,5821,"서울특별시 강남구 선릉로 577, 9층(역삼동, 조선내화빌딩)",01290248,스코넥,276040,서울특별시,강남구,127.043649339,37.509908873
716,013810,스페코,코스닥시장상장법인,292,특수 목적용 기계 제조업,영업이익(손실),"2,805,011,555","12,007,958,474","6,635,585,349",00136165,19790207,29229,서울특별시 강남구 학동로 171 삼익빌딩 7층,00136165,스페코,013810,서울특별시,강남구,127.029502096,37.514060424
717,039670,스포츠서울,코스닥시장상장법인,581,"서적, 잡지 및 기타 인쇄물 출판업",영업이익(손실),"-3,459,155,532","-5,572,636,519","-5,878,278,549",00298687,19991230,58121,"서울특별시 중구 삼일대로6길 5 11층(충무로2가, 조양빌딩신관)",00298687,스포츠서울,039670,서울특별시,중구,126.989317835,37.562509847
729,215600,신라젠,코스닥시장상장법인,701,자연과학 및 공학 연구개발업,영업손실,"-20,350,080,938","-34,210,158,046","-58,492,593,158",00919966,20060328,70113,"서울특별시 중구 소공로 109 9층(소공동, 한화빌딩)",00919966,신라젠,215600,서울특별시,중구,126.978551635,37.564195309
732,006880,신송홀딩스,유가증권시장상장법인,462,산업용 농ㆍ축산물 및 동ㆍ식물 도매업,영업이익(손실),"6,867,678,554","5,152,838,429","-309,065,510",00136402,19701105,46201,서울특별시 영등포구 여의나루로 53-1,00136402,신송홀딩스,006880,서울특별시,영등포구,126.924981943,37.522738531
740,404990,신한서부티엔디리츠,유가증권시장상장법인,681,부동산 임대 및 공급업,영업이익(손실),"5,663,999,257","3,556,152,725","254,721,667",01436558,20200102,68112,"서울특별시 종로구 종로 33 (청진동, 그랑서울) 1동 18층",01436558,신한서부티엔디리츠,404990,서울특별시,종로구,126.981435735,37.571014181
741,293940,신한알파리츠,유가증권시장상장법인,681,부동산 임대 및 공급업,영업이익(손실),"22,814,306,766","13,350,362,969","13,968,000,283",01276594,20171218,6811,"서울특별시 종로구 종로 33 그랑서울, 18층",01276594,신한알파리츠,293940,서울특별시,종로구,126.981435735,37.571014181
742,293940,신한알파리츠,유가증권시장상장법인,681,부동산 임대 및 공급업,영업이익(손실),"22,073,213,032","22,814,306,766","13,350,362,969",01276594,20171218,6811,"서울특별시 종로구 종로 33 그랑서울, 18층",01276594,신한알파리츠,293940,서울특별시,종로구,126.981435735,37.571014181
745,004080,신흥,유가증권시장상장법인,465,기계장비 및 관련 물품 도매업,영업이익(손실),"13,042,805,671","3,157,339,788","1,628,388,570",00173795,19641113,4659,서울특별시 중구 청파로 450  (중림동) 신흥빌딩 8층 재경팀,00173795,신흥,004080,서울특별시,중구,126.968812783,37.559679100
751,102280,쌍방울,유가증권시장상장법인,141,봉제의복 제조업,영업이익(손실),"-2,306,484,345","-1,261,285,101","-10,342,326,742",00681142,20080502,14120,서울특별시 중구 퇴계로 390 -,00681142,쌍방울,102280,서울특별시,중구,127.015056129,37.564964666
765,112610,씨에스윈드,유가증권시장상장법인,251,"구조용 금속제품, 탱크 및 증기발생기 제조업",영업이익(손실),"100,965,948,942","97,574,461,877","60,135,938,305",00670340,20060816,2511,서울특별시 강남구 언주로 723 -,00670340,씨에스윈드,112610,서울특별시,강남구,127.034601294,37.518963993
766,359090,씨엔알리서치,코스닥시장상장법인,739,"그 외 기타 전문, 과학 및 기술 서비스업",영업이익(손실),"5,813,414,468","4,936,435,304",,01487446,20200618,739,"서울특별시 강남구 역삼로 412 (대치동, 씨엔알빌딩)",01487446,씨엔알리서치,359090,서울특별시,강남구,127.052340685,37.500740587
