,id,name,gu_nm,platplc,y,x,est_yyyymmdd,lcd,qr,count,x_5179,y_5179
769,3714, 송천센트레빌,강북구,서울특별시 강북구 미아동 461-4,37.61220932,127.0249786,2020-11-04,0.0,10.0,10.0,958075.6100148964,1957081.3072815663
770,3718,번동3단지 버스정류장,강북구,서울특별시 강북구 서울 강북구 번동 255도,37.628685,127.0439072,2021-01-27,0.0,8.0,8.0,959755.1000945764,1958900.9301302773
771,3720, 우이천 창번교,강북구,서울특별시 강북구 번동 655-8,37.63536072,127.037674,2022-10-11,0.0,5.0,5.0,959208.7386015308,1959644.2663805557
772,3724,삼양동주민센터 앞,강북구,강북구 솔매로69,37.62491226,127.0197907,2022-12-08,0.0,20.0,20.0,957624.9443560997,1958492.9756440115
773,3725,강북 청소년 문화정보도서관 앞,강북구,강북구 삼양로54길 68,37.62302017,127.0218658,2022-12-22,0.0,5.0,5.0,957806.9888216273,1958282.120952865
774,1702, 녹천역 1번출구 앞,도봉구,서울특별시 도봉구 창동 426-6,37.64582062,127.0504227,2017-05-08,10.0,0.0,10.0,960339.1301201986,1960799.2861501821
775,1703, 도봉산광역환승센터앞,도봉구,서울특별시 도봉구 도봉로 955 도봉동 637-1,37.68972015,127.0451965,2017-05-11,10.0,0.0,10.0,959901.707708219,1965672.0164964749
776,1705, 도봉구청 정문앞,도봉구,서울특별시 도봉구 마들로 656 방학동 720,37.66922379,127.0465164,2017-05-08,8.0,0.0,8.0,960007.0773233462,1963397.4447101618
777,1706, 방학동우체국 건너편,도봉구,서울특별시 도봉구 도봉로 683 방학동 726-92,37.66566467,127.0426712,2017-06-27,10.0,0.0,10.0,959666.0395177361,1963004.2192709243
778,1707, 도봉구민회관,도봉구,서울특별시 도봉구 도봉로 552 창동 723-11,37.65446091,127.0385132,2017-05-08,20.0,0.0,20.0,959293.2069516259,1961762.9971952918
779,1708, 도봉보건소사거리,도봉구,서울특별시 도봉구 해등로 150 창동 723-10,37.65682983,127.0398483,2017-05-11,7.0,0.0,7.0,959412.2635339685,1962025.2419154495
780,1709, 쌍문역4번출구 주변,도봉구,서울특별시 도봉구 도봉로 지하 486-1 쌍문동 83-5,37.65012741,127.035347,2017-05-08,17.0,0.0,17.0,959011.5396009944,1961283.5897256788
781,1713, 쌍문동 이안아파트 앞,도봉구,서울특별시 도봉구 쌍문동 315-488,37.65165329,127.0284882,2019-07-01,10.0,0.0,10.0,958407.351461208,1961455.900080522
782,1714, 도봉문화정보도서관 삼거리,도봉구,서울특별시 도봉구 덕릉로 315 도봉문화정보도서관 삼거리,37.64463043,127.0446091,2017-11-01,10.0,0.0,10.0,959825.6214022135,1960669.7128822578
783,1715, 서울특별시교육청도봉도서관,도봉구,서울특별시 도봉구 삼양로556 서울특별시교육청도봉도서관,37.65317917,127.0127869,2017-11-01,20.0,0.0,20.0,957023.1910396239,1961632.2699134776
784,1716, 창동역 1번출구 건너편,도봉구,서울특별시 도봉구 마들로11길 20 하나로마트 창동점,37.65420151,127.0507278,2017-11-01,10.0,0.0,10.0,960370.4993450843,1961728.9862930854
785,1717, 시립창동운동장 입구,도봉구,서울특별시 도봉구 창동 1-24 시립창동운동장 입구,37.65570831,127.0501022,2017-11-01,10.0,0.0,10.0,960316.1179344004,1961896.4249142068
786,1719, 신도봉사거리 버스정류장,도봉구,서울특별시 도봉구 도봉로 771 신도봉사거리 버스정류장,37.67328262,127.0439911,2017-11-01,10.0,0.0,10.0,959786.5591085355,1963848.8389827912
787,1720, 도봉구청 옆(중랑천변),도봉구,서울특별시 도봉구 마들로 656 도봉구청 옆(중랑천변),37.66867065,127.0479813,2017-11-01,27.0,0.0,27.0,960135.9723282622,1963335.4517815222
788,1721, 창동역 2번출구,도봉구,서울특별시 창동 74-2 창동역 2번출구,37.65301514,127.0469971,2017-11-01,12.0,0.0,12.0,960040.7834496887,1961598.9457185585
789,1722, 창동청소년수련관,도봉구,서울특별시 도봉구 노해로69길 132 창동청소년수련관,37.65779877,127.0500488,2017-11-28,15.0,0.0,15.0,960312.5204377502,1962128.3766727387
790,1723, 방학동학마을도서관,도봉구,서울특별시 도봉구 시루봉로 128 방학동학마을도서관,37.66207886,127.0277176,2017-11-28,10.0,0.0,10.0,958345.2004600628,1962612.9232443639
791,1725, 창1동주민센터,도봉구,서울특별시 도봉구 해등로 46 창1동주민센터,37.6475029,127.0433121,2017-11-28,10.0,0.0,10.0,959712.7515615802,1960988.9590427403
792,1726, 삼익세라믹아파트교차로,도봉구,서울특별시 도봉구 해등로 189 삼익세라믹아파트,37.65858841,127.0352097,2017-11-28,8.0,0.0,8.0,959004.079958064,1962222.367949762
793,1727, 서울도봉초등학교인근,도봉구,서울특별시 도봉구 도봉로173길 96 서울도봉초등학교인근,37.67867661,127.0407639,2017-11-28,15.0,0.0,15.0,959504.8965859241,1964448.6745113162
794,1728, 서울북부지방법원,도봉구,서울특별시 도봉구 마들로 749 서울북부지방법원,37.67771912,127.046814,2018-07-02,10.0,0.0,10.0,960037.8792524083,1964339.8474655608
795,1729, 도봉한신아파트 버스정류장,도봉구,서울특별시 도봉구 도봉로 891 파리바게트앞,37.68400955,127.0457916,2018-10-27,10.0,0.0,10.0,959951.1050693833,1965038.1877874574
796,1730, 도봉산역 교차로 앞,도봉구,서울특별시 도봉구 도봉산길 10 도봉산역 교차로 앞,37.68759155,127.0455017,2018-10-27,8.0,0.0,8.0,959927.4708370701,1965435.7239785488
797,1731, 도봉고등학교 맞은편,도봉구,서울특별시 도봉구 도봉동 282-16,37.6876297,127.0422134,2018-11-02,10.0,0.0,10.0,959637.5647725505,1965441.367747158
798,1732, 방학역사거리,도봉구,서울특별시 도봉구 도봉로 707 우리은행 앞,37.66759872,127.0429993,2018-10-27,10.0,0.0,10.0,959696.0222050089,1963218.6546186372
799,1733, 방학사거리 (봄마당 앞),도봉구,서울특별시 도봉구 방학로 102 방학사거리 (봄마당 앞),37.66297913,127.0419388,2018-10-27,12.0,0.0,12.0,959599.9898617216,1962706.5829242114
800,1734, 쌍문현대1차아파트 108동 앞,도봉구,서울특별시 도봉구 해등로 218 쌍문현대1차아파트 108동 앞,37.65814972,127.0326691,2018-10-27,10.0,0.0,10.0,958779.7474872704,1962174.8104799099
801,1735," 도봉역 1,2번 출구사이 건너편",도봉구,"서울특별시 도봉구 도봉로170길 2 도봉역 1,2번 출구사이 건너편",37.67911911,127.0449829,2018-10-27,13.0,0.0,13.0,959877.1652420784,1964495.954222228
