,sgg_nm,bjd_nm,sggbjd_nm,202001,202101,202201,y,x,x_5179,y_5179
77,광진구,구의1동,광진구 구의1동,23094,22661,22402,37.5424917,127.0856756,963398.5151527066,1949321.121579822
78,광진구,구의2동,광진구 구의2동,27844,27400,26977,37.5472481,127.0899111,963774.9832135205,1949847.1763645078
79,광진구,구의3동,광진구 구의3동,30111,29526,28833,37.5380706,127.0920204,963956.8901466263,1948828.1755419178
80,광진구,광장동,광진구 광장동,36067,35568,34831,37.546892,127.103025,964933.2316972673,1949802.697022768
81,광진구,자양1동,광진구 자양1동,24131,23614,23052,37.534508,127.082438,963108.5705689815,1948436.6421300399
82,광진구,자양2동,광진구 자양2동,26859,25925,24936,37.528825,127.084438,963282.4846695195,1947805.3647000773
83,광진구,자양3동,광진구 자양3동,29418,28946,28221,37.533842,127.072913,962266.7012037012,1948366.5324897596
84,광진구,자양4동,광진구 자양4동,22988,21346,21283,37.5341115,127.0662969,961682.3012566979,1948399.1070684495
86,동대문구,회기동,동대문구 회기동,13066,12600,12645,37.5908083,127.0553132,960741.6480579885,1954693.847630181
87,동대문구,휘경1동,동대문구 휘경1동,16456,15271,16109,37.592932,127.065725,961661.9286183963,1954925.1608927213
88,동대문구,휘경2동,동대문구 휘경2동,25071,24894,24752,37.5902093,127.0685788,961912.4775794095,1954621.9293360305
89,동대문구,청량리동,동대문구 청량리동,21778,20239,19269,37.5862586,127.0472767,960029.7237956813,1954192.4697432457
90,동대문구,용신동,동대문구 용신동,32239,32640,33502,37.5758185,127.0372169,959135.8479741395,1953038.5200030818
91,동대문구,제기동,동대문구 제기동,27337,26899,26514,37.5831612,127.0378551,959196.2092839662,1953852.8790054317
92,동대문구,전농1동,동대문구 전농1동,31123,30604,29620,37.5779984,127.0477575,960067.7613724357,1953275.83668634
93,동대문구,전농2동,동대문구 전농2동,19980,19312,18791,37.5781027,127.0600375,961152.124134301,1953282.2596319502
94,동대문구,답십리2동,동대문구 답십리2동,30493,29425,28477,37.567417,127.06125,961253.6504153677,1952096.2355214795
95,동대문구,장안1동,동대문구 장안1동,39195,39299,38743,37.567842,127.066375,961706.462931305,1952141.286253489
