,sgg_nm,bjd_nm,sggbjd_nm,202001,202101,202201,y,x,x_5179,y_5179
257,강서구,등촌1동,강서구 등촌1동,23757,24389,24515,37.5558155,126.8589287,943377.5584864485,1950911.7560916024
258,강서구,등촌2동,강서구 등촌2동,21857,21095,20394,37.542658,126.8625,943683.0969416479,1949449.847238147
259,강서구,등촌3동,강서구 등촌3동,32367,31588,30642,37.5589789,126.847881,942404.1976701375,1951269.4338792944
260,강서구,화곡본동,강서구 화곡본동,35917,34993,34635,37.544075,126.847725,942378.9460378535,1949616.0091556222
261,강서구,화곡2동,강서구 화곡2동,19400,18702,18040,37.531817,126.854613,942978.0950143187,1948251.8439247983
262,강서구,화곡3동,강서구 화곡3동,22676,21824,21703,37.5425392,126.8384231,941556.0209431826,1949451.3606991817
263,강서구,화곡4동,강서구 화곡4동,22023,21383,20827,37.5346476,126.8609068,943536.3115598889,1948562.0875616297
264,강서구,화곡6동,강서구 화곡6동,25233,25096,25152,37.5518173,126.8501301,942597.3493082284,1950473.5104371007
265,강서구,화곡8동,강서구 화곡8동,26487,25539,24800,37.5326541,126.848335,942424.0519502716,1948348.5410907718
266,강서구,가양1동,강서구 가양1동,34195,34545,34361,37.5695239,126.8447099,942132.2774969863,1952441.304624055
267,강서구,가양2동,강서구 가양2동,15135,14507,14089,37.5673763,126.8512826,942711.0647068307,1952199.0100236882
268,강서구,가양3동,강서구 가양3동,16205,15548,15107,37.561092,126.8605955,943528.7621697409,1951496.1574301312
269,강서구,발산1동,강서구 발산1동,38506,37390,36569,37.5531209,126.8331686,941100.1579664564,1950628.631796287
270,강서구,공항동,강서구 공항동,28274,27539,31442,37.5588296,126.8101437,939071.0393653212,1951276.6644156023
271,강서구,방화1동,강서구 방화1동,45647,44408,43143,37.5703659,126.817026,939688.2018591987,1952552.1303018928
272,강서구,방화2동,강서구 방화2동,24022,23486,23636,37.5666997,126.8067549,938778.1734387015,1952152.0222308845
273,강서구,방화3동,강서구 방화3동,24468,23473,22862,37.5787386,126.8135628,939389.1578909699,1953483.277339381
274,강서구,화곡1동,강서구 화곡1동,54561,53311,52729,37.530408,126.841562,941823.8919488449,1948103.5153618893
275,강서구,우장산동,강서구 우장산동,44766,43975,43068,37.5482468,126.8418849,941866.2738829587,1950082.4464465023
277,구로구,신도림동,구로구 신도림동,37203,36424,36352,37.5077664,126.8805826,945255.0427119257,1945568.128076798
278,구로구,구로1동,구로구 구로1동,22076,21622,21141,37.4930433,126.8757585,944817.8434110949,1943937.5005533102
279,구로구,구로3동,구로구 구로3동,26238,25655,25196,37.4873799,126.8903678,946105.230846317,1943300.7153859048
280,구로구,구로4동,구로구 구로4동,26165,24801,23698,37.4916271,126.8891697,946002.3687936809,1943772.6037196147
281,구로구,구로5동,구로구 구로5동,33420,32155,31739,37.5001593,126.8892945,946019.5431037745,1944719.1303536843
282,구로구,고척1동,구로구 고척1동,24151,23441,22594,37.5004631,126.8628603,943683.2191253753,1944768.325209406
283,구로구,고척2동,구로구 고척2동,28860,27771,27069,37.5067055,126.8587122,943321.2839782785,1945463.3756085846
284,구로구,개봉2동,구로구 개봉2동,32957,32100,31272,37.4925187,126.8620808,943608.3447202198,1943887.4054558421
285,구로구,개봉3동,구로구 개봉3동,21980,21158,20602,37.485993,126.853838,942874.7088880988,1943168.3863655047
286,구로구,오류1동,구로구 오류1동,23308,23349,23126,37.497009,126.845201,942119.6298731663,1944395.8255066068
287,구로구,수궁동,구로구 수궁동,24850,24238,23708,37.4939422,126.8314627,940902.8142374658,1944064.1180255364
288,구로구,가리봉동,구로구 가리봉동,15237,14045,13069,37.4825557,126.8897489,946047.0470049503,1942765.8537983703
289,구로구,구로2동,구로구 구로2동,35123,32753,31125,37.491377,126.8834703,945498.352865004,1943748.1412270435
290,구로구,개봉1동,구로구 개봉1동,33706,35232,34523,37.5003318,126.8511255,942645.8681798455,1944760.8449414775
291,구로구,오류2동,구로구 오류2동,40784,39566,39026,37.4888016,126.8395371,941612.5797320975,1943488.758296453
292,구로구,항동,구로구 항동,13366,16410,16514,37.4801833,126.8233756,940176.9530452143,1942542.752990839
294,금천구,가산동,금천구 가산동,24566,25986,26250,37.4769094,126.8917326,946218.3830602217,1942138.2963593
295,금천구,독산1동,금천구 독산1동,44277,44189,46818,37.4702453,126.897041,946683.0104320502,1941395.9374066996
296,금천구,독산2동,금천구 독산2동,21374,20581,20169,37.4631474,126.9034825,947247.6218218317,1940604.8436244114
297,금천구,독산3동,금천구 독산3동,29870,28421,27609,37.4751198,126.9032524,947235.6890589005,1941933.2341569997
298,금천구,독산4동,금천구 독산4동,18190,17397,16735,37.4675452,126.9022074,947137.9552688851,1941093.4661563768
299,금천구,시흥1동,금천구 시흥1동,36668,35659,34491,37.4535411,126.9032625,947221.415151996,1939539.210893213
300,금천구,시흥2동,금천구 시흥2동,22596,22037,21334,37.4495487,126.9148345,948242.1618982406,1939089.8612843307
301,금천구,시흥3동,금천구 시흥3동,11509,11229,10935,37.4403095,126.9057945,947436.103696715,1938069.839252135
302,금천구,시흥4동,금천구 시흥4동,22143,21461,20902,37.459029,126.9061924,947484.3908895421,1940146.419800475
303,금천구,시흥5동,금천구 시흥5동,20829,20301,19662,37.4523912,126.908294,947665.6302984514,1939408.8304170582
305,영등포구,여의동,영등포구 여의동,34683,34357,33322,37.5177232,126.934584,950034.4410364507,1946642.7303309627
306,영등포구,당산1동,영등포구 당산1동,21513,21196,20712,37.5249643,126.897443,946757.4227796459,1947466.4656594582
307,영등포구,당산2동,영등포구 당산2동,36410,37996,37935,37.5310483,126.8973273,946751.5243919654,1948141.519127017
308,영등포구,양평1동,영등포구 양평1동,18242,17742,18583,37.52365,126.888238,945943.1028553298,1947325.901217347
309,영등포구,양평2동,영등포구 양평2동,22798,22540,22460,37.5364739,126.8939535,946457.3122985336,1948745.3772833678
310,영등포구,신길1동,영등포구 신길1동,19753,19095,18740,37.5112667,126.9214285,948867.4802351425,1945933.4862382992
311,영등포구,신길3동,영등포구 신길3동,18747,18021,17603,37.5073003,126.9077425,947655.1692084472,1945500.9620070541
312,영등포구,신길4동,영등포구 신길4동,9973,13076,13089,37.5084555,126.9112884,947969.3672338017,1945627.1582930738
313,영등포구,신길5동,영등포구 신길5동,10593,12359,11646,37.5016177,126.9052679,947432.4730109317,1944871.8894333667
314,영등포구,신길6동,영등포구 신길6동,19415,19745,19820,37.498535,126.919437,948682.7612876295,1944522.0618052995
315,영등포구,신길7동,영등포구 신길7동,17266,20458,20213,37.506392,126.921475,948868.2647349351,1945392.640862163
316,영등포구,대림1동,영등포구 대림1동,16327,17616,17047,37.4954685,126.905818,947476.7890898244,1944189.3643872144
317,영등포구,대림2동,영등포구 대림2동,21371,19512,18133,37.4927521,126.8982938,946809.7483488837,1943892.220997947
318,영등포구,대림3동,영등포구 대림3동,28555,26783,25835,37.4983347,126.8980312,946790.4955978387,1944511.726286071
319,영등포구,영등포본동,영등포구 영등포본동,24750,23634,23145,37.5146826,126.9093046,947798.3735502379,1946319.11895271
320,영등포구,영등포동,영등포구 영등포동,27278,28981,29922,37.5203985,126.9106918,947924.9382811562,1946952.4978584142
321,영등포구,도림동,영등포구 도림동,21498,20529,19783,37.509475,126.89595,946614.4647312729,1945748.858010153
322,영등포구,문래동,영등포구 문래동,32001,33429,32851,37.517086,126.899466,946930.599043795,1946591.2674205075
324,동작구,노량진2동,동작구 노량진2동,13817,13484,11486,37.508509,126.937352,950272.9368305085,1945619.0009720505
325,동작구,상도1동,동작구 상도1동,48007,46546,45410,37.4981,126.953089,951657.0793994706,1944455.9844209824
326,동작구,상도1동,동작구 상도1동,48007,46546,45410,37.503289,126.950599,951440.3405417987,1945032.9546423317
327,동작구,상도2동,동작구 상도2동,29230,28006,28308,37.5055197,126.942296,950707.9276622224,1945284.7543656325
328,동작구,상도3동,동작구 상도3동,26043,25396,24785,37.4991123,126.9313793,949738.7635234527,1944579.665295537
329,동작구,상도4동,동작구 상도4동,29900,29302,28942,37.4994203,126.941422,950626.6630591894,1944608.5202946533
330,동작구,사당1동,동작구 사당1동,24021,23549,23277,37.4830639,126.9786682,953908.8713932808,1942774.993224322
331,동작구,사당3동,동작구 사당3동,25948,25223,24542,37.4845247,126.9734908,953452.0385780352,1942939.6067226469
332,동작구,사당4동,동작구 사당4동,14947,14543,14303,37.4809888,126.9716704,953288.8970288953,1942548.2229935026
333,동작구,사당5동,동작구 사당5동,12869,14769,14532,37.4857521,126.9668658,952867.0980562497,1943079.0750015837
334,동작구,대방동,동작구 대방동,40181,39136,38262,37.508133,126.92635,949300.312802834,1945583.1569942487
335,동작구,신대방1동,동작구 신대방1동,26575,25704,24978,37.488943,126.91005,947846.3464288836,1943463.0459550829
336,동작구,신대방2동,동작구 신대방2동,20723,20438,21819,37.4984422,126.9244085,949122.1440108968,1944509.067113622
337,동작구,흑석동,동작구 흑석동,35529,34411,33249,37.5058617,126.966612,952857.3030042928,1945310.2379500677
338,동작구,노량진1동,동작구 노량진1동,32668,32323,32237,37.512308,126.942013,950687.3807752195,1946038.0250442496
339,동작구,사당2동,동작구 사당2동,28289,27602,28195,37.4887323,126.9792598,953964.6537474592,1943403.5763461213
341,관악구,보라매동,관악구 보라매동,26457,25222,24976,37.4881456,126.9327389,949851.6093649508,1943362.2511339663
342,관악구,청림동,관악구 청림동,16253,15679,15228,37.4918329,126.9585773,952138.209263261,1943757.8834192397
343,관악구,행운동,관악구 행운동,30095,29745,29451,37.4806541,126.9570456,951995.6532743034,1942518.4460187159
344,관악구,낙성대동,관악구 낙성대동,17594,17542,17441,37.4762971,126.9583884,952111.5951055213,1942034.3812696806
345,관악구,중앙동,관악구 중앙동,15892,15718,15482,37.4842598,126.9497133,951349.7138387522,1942922.2390603789
346,관악구,인헌동,관악구 인헌동,27100,26458,26139,37.4750974,126.9652628,952718.6670717511,1941897.8085954618
347,관악구,남현동,관악구 남현동,18920,18533,18279,37.4745394,126.9778366,953830.1043098811,1941829.6632054301
348,관악구,서원동,관악구 서원동,24037,23524,23325,37.4797346,126.9313,949718.7665892907,1942429.8705456718
349,관악구,신원동,관악구 신원동,19741,19269,18747,37.4815883,126.9273519,949370.9456807595,1942637.6425770514
350,관악구,서림동,관악구 서림동,24336,24394,23669,37.4749956,126.9349995,950042.7035546799,1941902.1395428125
351,관악구,신사동,관악구 신사동,26015,25269,24842,37.4829831,126.9192856,948658.7347600511,1942796.7549996194
352,관악구,신림동,관악구 신림동,22588,22632,23205,37.487426,126.927075,949350.4053415199,1943285.448150469
353,관악구,난향동,관악구 난향동,16373,15890,15416,37.461429,126.918842,948604.7587308225,1940405.7071905932
354,관악구,조원동,관악구 조원동,19577,19119,18837,37.4826299,126.9078649,947648.7689009226,1942763.858668465
355,관악구,대학동,관악구 대학동,24480,24822,24857,37.4706145,126.9369907,950215.8609470987,1941415.0303284836
356,관악구,은천동,관악구 은천동,35362,34540,33619,37.4853086,126.9424278,950706.2940221772,1943042.38647244
357,관악구,성현동,관악구 성현동,30951,30426,29326,37.4895366,126.9481271,951212.9101722906,1943508.4878374045
358,관악구,청룡동,관악구 청룡동,34643,36337,36573,37.4791304,126.9416518,950633.624300507,1942357.3607664134
359,관악구,난곡동,관악구 난곡동,28888,28031,27194,37.4709634,126.9216507,948859.6460878623,1941461.9580396079
360,관악구,삼성동,관악구 삼성동,25204,23712,21757,37.470101,126.932963,949859.3652310204,1941360.1975715584
361,관악구,미성동,관악구 미성동,32733,31703,31011,37.4761761,126.9155534,948324.0785063918,1942043.6024916829
363,서초구,서초1동,서초구 서초1동,21594,21070,20779,37.4901186,127.0195082,957523.5678979339,1943538.4559797766
364,서초구,서초2동,서초구 서초2동,18939,22102,26674,37.49208,127.02496,958006.6188910166,1943753.6145051823
365,서초구,서초3동,서초구 서초3동,31088,32411,32805,37.4836682,127.0119725,956853.6831291679,1942826.2532744939
366,서초구,서초4동,서초구 서초4동,31978,31689,31077,37.5026685,127.0221589,957764.9649462838,1944929.5941082675
367,서초구,잠원동,서초구 잠원동,35190,28442,26903,37.5149619,127.0140771,957057.675977982,1946297.1288826517
368,서초구,반포본동,서초구 반포본동,12163,11894,1576,37.5004776,126.98606,954572.9354440619,1944703.33981489
369,서초구,반포1동,서초구 반포1동,33303,32557,34876,37.5050895,127.0135073,957001.6580236511,1945202.1067950102
370,서초구,반포2동,서초구 반포2동,16397,16248,15811,37.5046022,126.9945091,955322.2128600873,1945156.894007406
371,서초구,반포3동,서초구 반포3동,20387,22414,22203,37.5120925,127.0056289,956309.4081515918,1945982.6757478712
372,서초구,반포4동,서초구 반포4동,20220,19968,19786,37.4974314,127.0003853,955837.3606599849,1944358.564886212
373,서초구,방배본동,서초구 방배본동,21585,21261,21018,37.4941452,126.988785,954809.9835929766,1943999.4878213906
374,서초구,방배1동,서초구 방배1동,17620,17357,16962,37.4832801,126.9945569,955313.7354374169,1942791.319555283
375,서초구,방배2동,서초구 방배2동,20946,20366,19398,37.4797439,126.9855106,954511.8020311767,1942403.3332664554
376,서초구,방배3동,서초구 방배3동,22333,21271,18846,37.4784409,126.9999918,955791.387582058,1942251.8766551395
377,서초구,방배4동,서초구 방배4동,24073,24039,23749,37.489007,126.9923344,955120.6687781784,1943427.7391764703
378,서초구,양재1동,서초구 양재1동,45843,44700,43264,37.4716412,127.026744,958152.9273976954,1941485.272380131
379,서초구,양재2동,서초구 양재2동,23179,22680,22082,37.470601,127.041188,959429.5651803191,1941363.5492447736
380,서초구,내곡동,서초구 내곡동,18501,18078,17593,37.4493583,127.0583103,960932.5619442306,1938999.587279306
382,강남구,신사동,강남구 신사동,17551,16825,16180,37.5240101,127.0227814,957831.995509623,1947297.0352073826
383,강남구,개포3동,강남구 개포3동,,,,37.584966,127.093467,964107.1956947742,1954030.4099276196
384,강남구,논현1동,강남구 논현1동,23897,23687,22672,37.5115706,127.028461,958326.942206833,1945914.416907634
385,강남구,논현2동,강남구 논현2동,21977,21983,21358,37.517342,127.037213,959103.5689691175,1946550.8779995383
386,강남구,삼성1동,강남구 삼성1동,14928,13551,13125,37.5144424,127.062532,961339.5217849748,1946218.4802350323
387,강남구,삼성2동,강남구 삼성2동,30746,30269,30872,37.5112,127.04595,959872.3724063357,1945865.6989070566
388,강남구,대치1동,강남구 대치1동,25324,24808,24086,37.4931821,127.0567047,960813.4310068126,1943862.1968440022
389,강남구,대치4동,강남구 대치4동,20815,20627,19973,37.4997415,127.0579127,960923.6347574317,1944589.4170353645
390,강남구,역삼1동,강남구 역삼1동,36990,36658,36525,37.4954841,127.0333574,958750.8228865438,1944127.5641998204
391,강남구,역삼2동,강남구 역삼2동,37467,37244,36309,37.4959674,127.0468034,959939.655575922,1944175.3755661994
392,강남구,도곡1동,강남구 도곡1동,22673,22214,21552,37.488238,127.0390246,959247.8448296358,1943321.1885368167
393,강남구,도곡2동,강남구 도곡2동,34489,34000,33207,37.4837425,127.0464338,959900.449954404,1942819.2614406408
394,강남구,개포1동,강남구 개포1동,6925,6641,6674,37.4827409,127.055737,960722.4210275061,1942704.2190704134
395,강남구,개포4동,강남구 개포4동,18368,23345,23879,37.4788183,127.0516374,960357.8985364063,1942270.7514979804
396,강남구,일원본동,강남구 일원본동,24416,23913,23257,37.4833484,127.0864633,963439.2619136934,1942759.242284671
397,강남구,일원1동,강남구 일원1동,16482,15808,15241,37.491839,127.0879629,963575.9647270872,1943700.6350146215
398,강남구,일원2동,강남구 일원2동,18115,17763,17599,37.4922048,127.0737224,962317.2838591852,1943746.8234874897
399,강남구,수서동,강남구 수서동,15896,15265,14844,37.4889181,127.104929,965074.4125274775,1943370.1514979827
400,강남구,세곡동,강남구 세곡동,45055,44394,43381,37.4643683,127.1043555,965012.2696624582,1940646.7385108678
401,강남구,압구정동,강남구 압구정동,27755,27360,26412,37.530642,127.030713,958536.5229147772,1948029.2794642397
402,강남구,청담동,강남구 청담동,30211,27277,25890,37.525107,127.049291,960175.0336581488,1947407.1758356085
403,강남구,대치2동,강남구 대치2동,38685,37446,36794,37.5022848,127.0642072,961481.3188045374,1944868.9848306258
404,강남구,개포2동,강남구 개포2동,22290,22245,28145,37.4897723,127.0689523,961894.3717234753,1943478.8741426943
406,송파구,풍납1동,송파구 풍납1동,15490,14482,13387,37.538092,127.122075,966612.0949470019,1948819.4543299368
407,송파구,풍납2동,송파구 풍납2동,25585,25664,24947,37.5292584,127.1157686,966050.9478331162,1947841.6778816376
408,송파구,거여1동,송파구 거여1동,13241,13021,12604,37.4969643,127.1432324,968463.9555463099,1944249.3001901167
409,송파구,거여2동,송파구 거여2동,16903,19313,19611,37.4935803,127.1468764,968784.6551839381,1943872.654040833
410,송파구,마천1동,송파구 마천1동,20698,19828,19041,37.4960195,127.1499724,969059.3419301799,1944142.244231597
411,송파구,마천2동,송파구 마천2동,20222,19636,18810,37.4968477,127.1485193,968931.2379751336,1944234.6059738437
412,송파구,방이1동,송파구 방이1동,16541,16266,15768,37.510933,127.123925,966763.4878202839,1945805.6784167197
413,송파구,방이2동,송파구 방이2동,26265,26665,27017,37.5164444,127.1114868,965666.7531813281,1946421.5989690267
414,송파구,오륜동,송파구 오륜동,18923,18465,18029,37.515425,127.1343,967682.3431201694,1946300.4223349988
415,송파구,오금동,송파구 오금동,41031,39627,38594,37.5030528,127.1281494,967133.3758049903,1944929.9385644628
416,송파구,송파1동,송파구 송파1동,25974,25135,24145,37.5062595,127.1093393,965472.2845940322,1945292.4360748455
417,송파구,송파2동,송파구 송파2동,20919,20685,19316,37.502317,127.1167651,966126.8195262536,1944852.343109966
418,송파구,석촌동,송파구 석촌동,34269,33001,32162,37.503592,127.1037,964972.6187266383,1944998.57854576
419,송파구,삼전동,송파구 삼전동,32568,31759,30621,37.502714,127.0925354,963985.398091773,1944905.3842117381
420,송파구,가락본동,송파구 가락본동,27898,27328,26463,37.4955568,127.1217864,966567.6276272598,1944100.549074858
421,송파구,가락1동,송파구 가락1동,27877,27738,27427,37.4964898,127.1098653,965514.2811170242,1944208.3600580143
422,송파구,가락2동,송파구 가락2동,33908,33113,32273,37.4987054,127.1266714,967000.8266687517,1944448.1409689628
423,송파구,문정1동,송파구 문정1동,21342,20843,20190,37.4900982,127.1241719,966776.0779780527,1943494.1102729824
424,송파구,문정2동,송파구 문정2동,30006,29474,29099,37.489823,127.1108107,965594.7914743653,1943468.3780854756
425,송파구,잠실본동,송파구 잠실본동,29607,29001,28419,37.5061,127.084338,963262.5098619136,1945284.2074243433
426,송파구,잠실4동,송파구 잠실4동,22246,21776,21373,37.5201089,127.1122668,965737.3582964721,1946827.8676097882
427,송파구,잠실6동,송파구 잠실6동,17468,17322,16929,37.518142,127.10065,964709.8912752676,1946613.9467799396
428,송파구,잠실7동,송파구 잠실7동,10178,9882,9565,37.5086777,127.0771146,962625.3656542512,1945573.0311469499
429,송파구,잠실2동,송파구 잠실2동,36843,36121,35125,37.5119488,127.088559,963638.413800217,1945931.4546231565
430,송파구,잠실3동,송파구 잠실3동,36083,35299,34508,37.513333,127.094375,964153.0739912074,1946082.791047745
431,송파구,장지동,송파구 장지동,32750,30229,29667,37.4785,127.1354,967763.6841299932,1942203.4684170238
432,송파구,위례동,송파구 위례동,28320,31408,39437,37.4811656,127.1439378,968519.6794207353,1942496.3089529036
434,강동구,강일동,강동구 강일동,32032,37520,33044,37.5649783,127.173909,971201.7470869973,1951785.1882561834
435,강동구,상일동,강동구 상일동,14621,34230,,37.550583,127.1683007,970700.8208172083,1950189.8463880194
436,강동구,명일1동,강동구 명일1동,26732,26322,25952,37.5512453,127.1443656,968586.8915974293,1950271.0535396405
437,강동구,명일2동,강동구 명일2동,17768,17594,17565,37.546366,127.1513427,969201.1717265629,1949727.4154544764
438,강동구,고덕1동,강동구 고덕1동,27099,25933,24313,37.5572593,127.1515382,969222.9211956281,1950935.8993455046
439,강동구,고덕2동,강동구 고덕2동,20322,22683,22432,37.5605,127.16435,970355.7810134131,1951291.3184623946
440,강동구,암사2동,강동구 암사2동,14968,15471,15253,37.5517481,127.1272074,967071.5273453142,1950332.708112679
441,강동구,암사3동,강동구 암사3동,18678,18356,17927,37.5549912,127.1408249,968275.7291795143,1950687.8284830234
442,강동구,천호1동,강동구 천호1동,28408,27690,26946,37.5450159,127.1368066,967916.534596649,1949582.4909154708
443,강동구,천호3동,강동구 천호3동,28015,27094,26959,37.5361455,127.1332269,967596.4744036259,1948599.6008310078
444,강동구,성내1동,강동구 성내1동,20587,20319,20070,37.5304417,127.122425,966639.6082808468,1947970.5758899627
445,강동구,성내2동,강동구 성내2동,25205,24844,24040,37.532425,127.129563,967271.1505606906,1948188.1028705623
446,강동구,성내3동,강동구 성내3동,23954,23744,23297,37.5260101,127.13287,967560.5536706197,1947475.2638727976
447,강동구,둔촌1동,강동구 둔촌1동,283,260,144,37.5333656,127.1419851,968369.0689610165,1948288.2061886895
448,강동구,둔촌2동,강동구 둔촌2동,27709,25769,24745,37.5332885,127.1419221,968363.4702685485,1948279.6736101366
449,강동구,암사1동,강동구 암사1동,36689,35587,34823,37.551508,127.132663,967553.3137759938,1950304.173408206
450,강동구,천호2동,강동구 천호2동,35843,35070,33706,37.543525700000004,127.1254351,966911.346538184,1949421.1031675453
451,강동구,길동,강동구 길동,46230,46829,45927,37.5345598,127.1426791,968430.8880675588,1948420.4621353927
452,강동구,상일1동,강동구 상일1동,,,38922,37.550583,127.1683007,970700.8208172083,1950189.8463880194
453,강동구,상일2동,강동구 상일2동,,,10204,37.550583,127.1683007,970700.8208172083,1950189.8463880194
