grid_idx,pp_pop,pp_od,pp_drr,bs_ebit,geometry_grids,sigungunm,platplc,x,y,x_5179,y_5179,bdnm,bd_platarea,bd_archarea,bd_totarea,bd_totflrcnt,bd_elvtent,bs_gas,bs_elct,bd_height,bd_ilp,bd_vintage,count,geometry,gwr_const,gwr_bs_ebit,gwr_bs_elct,gwr_bd_height,gwr_bd_totflrcnt,gwr_pp_od,gwr_pp_drr,gwr_r2,cbdness,sim,cbdi
26122,-0.9995241223429284,1.537745201163043,3.339994971885699,2.292651124731936,"POLYGON ((954035.230213883 1952165.54807064, 954035.230213883 1952265.54807064, 954135.230213883 1952265.54807064, 954135.230213883 1952165.54807064, 954035.230213883 1952165.54807064))",중구,서울특별시 중구 다동 39번지,126.980207811,37.56850364,954097.3723719436,1952253.2942550213,"케이스퀘어시티, 광일빌딩",0.5359385214730922,0.4874887007914962,1.4015518689571838,0.7309678893493033,1.1380558941068546,0.6955707479910267,0.951243249611248,2.3738290568429847,1.990105554432235,1.1531953719742294,10,"POLYGON ((954035.230213883 1952165.54807064, 954035.230213883 1952265.54807064, 954135.230213883 1952265.54807064, 954135.230213883 1952165.54807064, 954035.230213883 1952165.54807064))",0.5627231884878157,-1.4199701952446873,0.0055597836162946,0.443177631659204,-0.2416822509436783,2.6053740214943173,0.1258784532503398,0.5918678096926624,0.9540579891140788,0.7905075971517811,0.7541900885180306
26130,-0.801180431255384,0.9005017125778598,1.2805587818691253,1.3226884682138742,"POLYGON ((954135.230213883 1951365.54807064, 954135.230213883 1951465.54807064, 954235.230213883 1951465.54807064, 954235.230213883 1951365.54807064, 954135.230213883 1951365.54807064))",중구,서울특별시 중구 충무로1가 52-5번지,126.980981049,37.560925287,954161.0137242876,1951412.1361351667,신세계백화점건물,0.1576278973818118,0.8183382863929082,0.015948951210819,-0.8295684389423874,0.6156669103940978,1.9475198666109828,-0.4199644086457162,0.0771091135308752,1.9411767616359237,5.505460230909411,9,"POLYGON ((954135.230213883 1951365.54807064, 954135.230213883 1951465.54807064, 954235.230213883 1951465.54807064, 954235.230213883 1951365.54807064, 954135.230213883 1951365.54807064))",-2.625314948306241,2.760988334949698,-0.1645696213280466,0.1930175859887234,0.602846738663665,0.667275412076309,0.1062758007320146,0.65505328817244,0.3312429293163486,0.5710422637393221,0.18915371220445196
26132,-0.7582806780950709,1.1595897586758117,0.2559032089732888,1.6418148167743551,"POLYGON ((954135.230213883 1951565.54807064, 954135.230213883 1951665.54807064, 954235.230213883 1951665.54807064, 954235.230213883 1951565.54807064, 954135.230213883 1951565.54807064))",중구,서울특별시 중구 남대문로2가 111-1번지,126.981050783,37.562525751,954168.1530184108,1951589.6655805472,"프리즈마111, 한진빌딩",-0.349018057570067,-0.0196566040159294,0.0523127329062759,-0.492155178771211,0.0932779266813407,-0.0991776821429214,0.2219450041455877,0.939373292696534,2.4187995469456154,2.63132305991448,9,"POLYGON ((954135.230213883 1951565.54807064, 954135.230213883 1951665.54807064, 954235.230213883 1951665.54807064, 954235.230213883 1951565.54807064, 954135.230213883 1951565.54807064))",-1.313159786205684,2.5270677312041325,-0.0890377825551002,0.0503840338188173,0.5697783569996118,-0.3429774363513842,-0.0707770346184833,0.521441616958069,0.41628773364559574,0.7531639690816545,0.3135329217525235
26133,-0.9205050658210332,1.364538618079591,0.645946645941581,1.798791354370974,"POLYGON ((954135.230213883 1951665.54807064, 954135.230213883 1951765.54807064, 954235.230213883 1951765.54807064, 954235.230213883 1951665.54807064, 954135.230213883 1951665.54807064))",중구,서울특별시 중구 남대문로2가 123번지,126.981517379,37.563430944,954209.9155373052,1951689.864782028,"롯데영플라자, 삼영빌딩",0.4149798564418377,1.364114342450422,0.4657749049077322,-0.0282119460358435,0.4415372491565121,0.7554020323523964,1.0397260240724668,0.9438179534138826,2.3782955793989995,2.138613830601063,9,"POLYGON ((954135.230213883 1951665.54807064, 954135.230213883 1951765.54807064, 954235.230213883 1951765.54807064, 954235.230213883 1951665.54807064, 954135.230213883 1951665.54807064))",0.0143946661526315,-1.6995009933854814,-0.069562422133503,0.0605577430522489,0.4535483176813445,4.070867585717982,-3.736439695907045e-05,0.4860949410538601,0.5721564878390781,0.8064597665946158,0.4614211876382981
26136,-1.0216814575599504,1.6497478647778092,3.203718133818572,2.1915825809200555,"POLYGON ((954135.230213883 1951965.54807064, 954135.230213883 1952065.54807064, 954235.230213883 1952065.54807064, 954235.230213883 1951965.54807064, 954135.230213883 1951965.54807064))",중구,서울특별시 중구 을지로1가 87번지,126.981034938,37.566496418,954169.1862972558,1952030.1991047128,더존을지타워,1.276699329821367,0.4827591920005427,1.663310876074023,0.0139647114855535,2.3569635227699544,0.6061497627922344,-0.4140519137500528,1.9695988610756876,3.5775370505191963,0.6604861426608125,9,"POLYGON ((954135.230213883 1951965.54807064, 954135.230213883 1952065.54807064, 954235.230213883 1952065.54807064, 954235.230213883 1951965.54807064, 954135.230213883 1951965.54807064))",0.2038646286178518,-2.72257998232685,-0.0463729865837644,0.3103094974389112,0.0409832948877604,5.079532830249018,-0.0765984948333564,0.4590684642702284,0.97272844885442,0.6477444002332909,0.6300794056930658
26137,-1.1577798107819954,1.6450788915379575,2.451237961104876,2.3081442598212414,"POLYGON ((954135.230213883 1952065.54807064, 954135.230213883 1952165.54807064, 954235.230213883 1952165.54807064, 954235.230213883 1952065.54807064, 954135.230213883 1952065.54807064))",중구,서울특별시 중구 다동 140번지,126.981134292,37.567147583,954178.3593913004,1952102.3942071528,"패스트파이브타워, 태성빌딩, 나전빌딩",2.65957476933331,1.3609047573655333,0.7088505786308653,1.321441094648862,0.0684022607902571,-0.0399549819870526,0.9451372684131462,0.100836249691158,1.0447198067699128,0.3202821509920248,9,"POLYGON ((954135.230213883 1952065.54807064, 954135.230213883 1952165.54807064, 954235.230213883 1952165.54807064, 954235.230213883 1952065.54807064, 954135.230213883 1952065.54807064))",0.742161153806146,-1.9506445436626672,-0.0314416395790427,0.3708606591270689,-0.1427933456154964,3.58091358272986,-0.037706427964308,0.4788590703257161,0.6060212244067251,0.6898697013221737,0.4180756810763655
26138,-1.0707082561615735,1.6172482697089234,2.4142698059767818,2.364083094952932,"POLYGON ((954135.230213883 1952165.54807064, 954135.230213883 1952265.54807064, 954235.230213883 1952265.54807064, 954235.230213883 1952165.54807064, 954135.230213883 1952165.54807064))",중구,서울특별시 중구 다동 92번지,126.981726026,37.567860541,954231.0527345004,1952181.205025508,"다동빌딩, 한외빌딩, 효광빌딩, 예금보험공사, 한국관광공사 서울센터",3.532482929366584,2.586896821654074,3.387745000103296,2.7554474503763613,0.3834940287439834,1.504487403304425,1.7007645345721447,1.2990009282827175,1.863841186266918,0.5783679377752431,15,"POLYGON ((954135.230213883 1952165.54807064, 954135.230213883 1952265.54807064, 954235.230213883 1952265.54807064, 954235.230213883 1952165.54807064, 954135.230213883 1952165.54807064))",0.316915437848815,-1.41074072704987,-0.0096350434881005,0.3957239791364657,-0.2616097547247537,2.902506739626358,0.0710337521775124,0.5719023878883038,0.6367555294730395,0.5202073389315138,0.331244899537097
26146,-0.8176564540860383,0.8754289336630984,1.173321682776289,1.3235888987591238,"POLYGON ((954235.230213883 1951365.54807064, 954235.230213883 1951465.54807064, 954335.230213883 1951465.54807064, 954335.230213883 1951365.54807064, 954235.230213883 1951365.54807064))",중구,서울특별시 중구 충무로1가 25-8번지,126.982277019,37.561062865,954275.5567673465,1951426.76843283,최엽성외과,-0.6228630897075769,-0.5254980148826192,-0.4441449783199141,-0.4078018637284169,-0.4291110570314162,-0.2311586687169285,-0.3029610090270017,-0.4500120522459247,2.7220932559346736,2.5081457525861257,15,"POLYGON ((954235.230213883 1951365.54807064, 954235.230213883 1951465.54807064, 954335.230213883 1951465.54807064, 954335.230213883 1951365.54807064, 954235.230213883 1951365.54807064))",-3.6816238007237536,4.903854061203288,-0.2644357120009443,0.2148754612649747,0.7924406897345084,-1.0708681412158323,0.1443338317508115,0.6584214548602534,0.18067707974431774,0.5758905964630807,0.10405023122116273
26147,-0.809423618148617,1.092550912711068,0.2628327747975645,1.4881922834739882,"POLYGON ((954235.230213883 1951465.54807064, 954235.230213883 1951565.54807064, 954335.230213883 1951565.54807064, 954335.230213883 1951465.54807064, 954235.230213883 1951465.54807064))",중구,서울특별시 중구 명동2가 104번지,126.981907293,37.562277311,954243.6456861036,1951561.6850589416,NoData,-0.4269495513812318,-0.3830495306944079,-0.0037592603689636,-0.0703886035572405,0.963926232869269,-0.1592302698517461,0.3155998163066005,2.952102809121202,3.483567845811048,-1.5567053892495633,15,"POLYGON ((954235.230213883 1951465.54807064, 954235.230213883 1951565.54807064, 954335.230213883 1951565.54807064, 954335.230213883 1951465.54807064, 954235.230213883 1951465.54807064))",-2.3162815526403984,3.662204297406357,-0.166501509778658,0.1523817586565193,0.6963821137978431,-0.7752392712199995,-0.0883464283408571,0.5541017941828086,0.74430580825432,0.6014632623970433,0.4476725996537115
26153,-1.1587506026095222,1.6985046733388482,3.740060848640877,2.374918455151713,"POLYGON ((954235.230213883 1952065.54807064, 954235.230213883 1952165.54807064, 954335.230213883 1952165.54807064, 954335.230213883 1952065.54807064, 954235.230213883 1952065.54807064))",중구,서울특별시 중구 다동 115번지,126.98195381,37.566932106,954250.6007129892,1952078.0888045137,"대한빌딩, 동부다동빌딩",-0.1302202282734143,-0.1216612299950412,0.1149778559247987,-0.0282119460358435,0.0932779266813407,0.0374675130258146,-0.0485897764579385,0.5671914399964355,2.106432949226116,1.4406090890737224,15,"POLYGON ((954235.230213883 1952065.54807064, 954235.230213883 1952165.54807064, 954335.230213883 1952165.54807064, 954335.230213883 1952065.54807064, 954235.230213883 1952065.54807064))",4.059548425144837,-2.59888367002883,-0.063782430863514,0.3191311226316271,-0.0847026936993962,2.258067760603799,0.1081615795598616,0.4304469214291333,0.9223492178535824,0.7646711837920581,0.7052938682857778
26154,-1.157221322009065,1.6689624282346671,2.7099781736379924,2.431386400516575,"POLYGON ((954235.230213883 1952165.54807064, 954235.230213883 1952265.54807064, 954335.230213883 1952265.54807064, 954335.230213883 1952165.54807064, 954235.230213883 1952165.54807064))",중구,서울특별시 중구 다동 85번지,126.982297573,37.568371295,954281.838779122,1952237.5924558104,DGB금융센터,0.0377114550653136,-0.0989163818453989,0.4716802506166602,-0.1969185761214317,1.3121855553444404,0.2758448948311065,0.4506867434224356,2.011706173134781,3.5827215583651637,0.9068407573175208,15,"POLYGON ((954235.230213883 1952165.54807064, 954235.230213883 1952265.54807064, 954335.230213883 1952265.54807064, 954335.230213883 1952165.54807064, 954235.230213883 1952165.54807064))",0.3529679336516526,-1.2197882597408902,-0.0366116249097017,0.349652894282168,-0.2400643762172034,2.601976402192493,0.1108932839317762,0.544475365490399,0.9512059764550155,0.7263597094785358,0.690917696712112
26162,-0.8006581372436561,0.9715895827067156,0.1999927373038159,1.3073855504587766,"POLYGON ((954335.230213883 1951365.54807064, 954335.230213883 1951465.54807064, 954435.230213883 1951465.54807064, 954435.230213883 1951365.54807064, 954335.230213883 1951365.54807064))",중구,서울특별시 중구 충무로1가 25-32번지,126.983122593,37.56110632,954350.2635138952,1951431.1785032456,"대용빌딩, 고려대연각타워",0.5649058243972295,1.4412678300679334,1.4082365699469013,2.6710941353335675,-0.2743291359313401,1.1698863638372703,1.2753514106476014,0.3205257662675484,2.587872108366866,2.354174118425683,9,"POLYGON ((954335.230213883 1951365.54807064, 954335.230213883 1951465.54807064, 954435.230213883 1951465.54807064, 954435.230213883 1951365.54807064, 954335.230213883 1951365.54807064))",-4.412025409692799,6.866896279312101,-0.3501579111826283,0.2830668714904501,0.8258069525785734,-3.0034392100544403,0.0487108986296198,0.6692439387493039,0.06698986202207624,0.6120449017336028,0.041000803518449265
26164,-0.9310396704041466,1.270501684774714,-0.2309166792377335,1.6359268152787791,"POLYGON ((954335.230213883 1951565.54807064, 954335.230213883 1951665.54807064, 954435.230213883 1951665.54807064, 954435.230213883 1951565.54807064, 954335.230213883 1951565.54807064))",중구,서울특별시 중구 명동2가 55-16번지,126.983734513,37.562547617,954405.186007036,1951590.786120009,NoData,-0.4909022837224958,-0.2707757755134054,-0.4082158601391922,0.435731286699524,-0.4291110570314162,-0.2646668820870037,-0.3135990347706781,-0.5602188443018237,3.1328214886207104,3.306517188973607,9,"POLYGON ((954335.230213883 1951565.54807064, 954335.230213883 1951665.54807064, 954435.230213883 1951665.54807064, 954435.230213883 1951565.54807064, 954335.230213883 1951565.54807064))",-1.4576032515692652,5.589869927616003,-0.1141313482926495,0.06814301299753,0.5741278785794134,-3.874995501117777,-0.4168156644679982,0.4177053688368249,0.11905583233642403,0.5890656438580794,0.07013170053031516
26166,-1.0241967594058898,1.5199858440542042,1.5613310170207555,1.996101366778873,"POLYGON ((954335.230213883 1951765.54807064, 954335.230213883 1951865.54807064, 954435.230213883 1951865.54807064, 954435.230213883 1951765.54807064, 954335.230213883 1951765.54807064))",중구,서울특별시 중구 명동1가 59-25번지,126.983671041,37.564236151,954400.6095507176,1951778.151326542,"타임워크명동빌딩, 명동증권빌딩, 영빌딩, 명동아르누보센텀",3.025978911360294,4.267500381031277,2.16946250339001,1.8275609849056265,0.1803427573001336,0.4236298269787958,1.2220831432301578,0.0675764859397191,1.7691159074979,2.0975547281582783,9,"POLYGON ((954335.230213883 1951765.54807064, 954335.230213883 1951865.54807064, 954435.230213883 1951865.54807064, 954435.230213883 1951765.54807064, 954335.230213883 1951765.54807064))",6.063432838867191,-1.603769284388975,-0.1068297042381292,0.1422131999896461,0.366425681827299,-0.4089645838491793,0.2315238178806856,0.3343888118804453,0.4097092983956916,0.5336353565244856,0.21863536752078172
26167,-1.0966234061631444,1.6406279884020212,1.7881328001887566,2.1711492078766845,"POLYGON ((954335.230213883 1951865.54807064, 954335.230213883 1951965.54807064, 954435.230213883 1951965.54807064, 954435.230213883 1951865.54807064, 954335.230213883 1951865.54807064))",중구,서울특별시 중구 을지로2가 199-77번지,126.983925512,37.56511997,954423.6216810896,1951876.083207155,"메트로호텔, 을지 한국빌딩",0.7071428652429804,0.949738391154292,0.6570340491309788,1.532324382255847,0.1513211470938693,0.8295651139326398,1.3616053717403482,0.6031386082542908,1.690700226327652,1.5774727638830042,9,"POLYGON ((954335.230213883 1951865.54807064, 954335.230213883 1951965.54807064, 954435.230213883 1951965.54807064, 954435.230213883 1951865.54807064, 954335.230213883 1951865.54807064))",9.167523523130225,-2.5135907121755445,-0.1138913189718714,0.2003421641901615,0.2336926121765543,-1.4243331964827348,0.4125424527993389,0.3534502697961028,0.6283709407272562,0.7866398685525554,0.49430163421593437
26168,-1.190000328309199,1.704152519028722,2.2052226945382203,2.320560214556476,"POLYGON ((954335.230213883 1951965.54807064, 954335.230213883 1952065.54807064, 954435.230213883 1952065.54807064, 954435.230213883 1951965.54807064, 954335.230213883 1951965.54807064))",중구,서울특별시 중구 을지로2가 9-10번지,126.984024062,37.566409131,954433.1103333964,1952019.0614446525,"하나은행별관빌딩, 내외빌딩",1.473764585077637,0.8870897592088727,1.345377907700107,0.435731286699524,1.3121855553444404,1.101907748629925,1.5714449876251444,1.709469244355066,3.247024675338813,1.194254474417014,9,"POLYGON ((954335.230213883 1951965.54807064, 954335.230213883 1952065.54807064, 954435.230213883 1952065.54807064, 954435.230213883 1951965.54807064, 954335.230213883 1951965.54807064))",9.07821644625618,-2.1377568073108604,-0.1021897066616749,0.2676430671563521,0.064662926455094,-1.7197403075245985,0.2806308854202453,0.3956053836295921,0.914429372353978,0.6640564985358263,0.6072327671636959
26169,-1.0994345402099193,1.6988931748424136,2.3946179151173643,2.41369054744359,"POLYGON ((954335.230213883 1952065.54807064, 954335.230213883 1952165.54807064, 954435.230213883 1952165.54807064, 954435.230213883 1952065.54807064, 954335.230213883 1952065.54807064))",중구,서울특별시 중구 수하동 65-1번지,126.983254345,37.566894761,954365.4308422392,1952073.313204605,경기빌딩,-0.4475912386112276,-0.1723047792671757,-0.0607245731399876,0.0139647114855535,-0.4291110570314162,0.2440517824038068,0.2232696411392039,0.7157366797604596,1.7231034003649446,2.2207320354866327,5,"POLYGON ((954335.230213883 1952065.54807064, 954335.230213883 1952165.54807064, 954435.230213883 1952165.54807064, 954435.230213883 1952065.54807064, 954335.230213883 1952065.54807064))",8.563125168306929,-2.094693648684101,-0.0795114393442873,0.2828962063655956,-0.1141606173852105,-1.4138228803917974,0.2668570337404371,0.4275227041086219,0.8174249423060249,0.7332686176905799,0.5993920575105409
26170,-1.0971886380201772,1.678356578306054,2.971803952736061,2.4336381851461426,"POLYGON ((954335.230213883 1952165.54807064, 954335.230213883 1952265.54807064, 954435.230213883 1952265.54807064, 954435.230213883 1952165.54807064, 954335.230213883 1952165.54807064))",중구,서울특별시 중구 삼각동 66-1번지,126.983676973,37.568061784,954403.4654001924,1952202.5835139912,"신한금융그룹, 그레이츠 청계",2.1353286331283505,-0.0630400101032561,-0.020780715595937,0.0139647114855535,-0.0808517345562449,0.5990536228466693,0.9387261741996608,1.18991179944814,2.688717986676262,2.138613830601063,5,"POLYGON ((954335.230213883 1952165.54807064, 954335.230213883 1952265.54807064, 954435.230213883 1952265.54807064, 954435.230213883 1952165.54807064, 954335.230213883 1952165.54807064))",0.488072749425137,-0.5083310069220909,-0.074184442162838,0.3146829448028678,-0.2255709160626215,1.4208963073968188,0.200130509283246,0.5331939837786241,0.9109519612025481,0.6586700019263279,0.6000167300400745
